,activeaddresses,adjustedtxvolume(usd),exchangevolume(usd),fees,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2017-09-24,8,,,0.699398,,0.170894,,4,,5,
2017-09-25,16,,,0.520637,,0.0,,3,,8,
2017-09-26,4,,,0.178761,,0.178761,,1,,1,
2017-09-27,12,,,0.683577,,0.1708065,,3,,6,
2017-09-28,65,,,2.245973,,0.0,,12,,36,
2017-09-29,4747,,,97.645858,,0.0,,548,,2487,
2017-09-30,4976,,,146.158702,,0.0,,823,,2528,
2017-10-01,5973,131165286.735,50068700.0,291.170785,0.0,0.17107,18065.296266,1661,0.021678,3096,436003334.537
2017-10-02,5858,151391424.74,57641300.0,316.074603,596765346.775,0.17107,24206.767145,1792,0.024607,2943,1025157737.96
2017-10-03,3701,125245327.846,16997800.0,182.280983,667797139.712,0.17107,21063.7437169,1018,0.025757,1808,604612406.44
2017-10-04,1769,48658685.9893,9000050.0,59.948744,540954733.002,0.0,16076.1638622,335,0.020864,859,207884312.824
2017-10-05,2454,105529746.38,5562510.0,156.805239,569117180.371,0.17107,39520.6167878,882,0.021951,1193,411326650.275
2017-10-06,1844,88156760.7305,7780710.0,114.499377,553779286.236,0.17107,67195.4243861,648,0.021359,889,312314745.455
2017-10-07,1371,52958699.3443,7411240.0,81.891164,477418796.67,0.17107,36179.109054,460,0.018414,671,185266331.519
2017-10-08,1406,66264825.0076,7727460.0,90.981593,542632959.348,0.17107,54499.9077244,521,0.020929,679,214142599.597
2017-10-09,1460,57131563.06,4663310.0,87.836065,527453167.687,0.17107,30458.8381498,492,0.020344,680,163939625.745
2017-10-10,1376,64279716.3825,2725600.0,80.536581,573307371.873,0.17107,46343.1169314,460,0.022112,660,211980536.346
2017-10-11,1172,61110954.7733,3606720.0,70.54622,556901110.311,0.17107,42745.99476,399,0.02148,557,147429298.943
2017-10-12,1411,66928182.473,8680640.0,86.246889,584346541.285,0.17107,46152.572646,492,0.022538,672,191961300.242
2017-10-13,1642,90728018.358,15613600.0,110.361223,675685385.315,0.17107,106924.705593,625,0.026061,782,243264094.953
2017-10-14,1944,101997900.982,27853200.0,142.220331,878302735.831,0.171246,699264.961828,812,0.033876,930,379080551.684
2017-10-15,1450,86825379.1343,7104990.0,104.520862,852315171.298,0.171246,663027.841217,593,0.032874,726,280089467.037
2017-10-16,1311,85276112.841,6196030.0,93.112895,776235927.408,0.171246,569556.699329,540,0.029939,626,229827474.898
2017-10-17,1343,94783780.9301,7039900.0,104.33597,750680263.292,0.171246,514046.846489,603,0.028953,669,305513404.208
2017-10-18,1042,210134539.479,2336180.0,78.68741,705701001.385,0.171246,446224.390488,449,0.027219,502,464452866.206
2017-10-19,1124,129830627.41,2897720.0,82.803862,692353930.324,0.171246,414421.284199,470,0.026704,536,206818645.137
2017-10-20,1477,80659810.0674,8716410.0,111.994747,699559649.274,0.171246,394919.568082,627,0.026982,705,189373019.895
2017-10-21,1204,55538537.8263,5344520.0,84.506958,798714952.334,0.17107,433132.634977,486,0.030806,578,154653813.895
2017-10-22,1118,51814314.8075,2930210.0,75.831882,740601428.649,0.171246,388142.264806,435,0.028565,517,128926681.227
2017-10-23,657,33508263.5887,3517050.0,42.534358,717753741.753,0.171246,194512.283729,238,0.027684,298,65490614.3749
2017-10-24,1556,61822211.6417,7589560.0,113.657667,656958792.531,0.171246,200718.934725,646,0.025339,714,131859234.357
2017-10-25,941,46434947.6763,2561430.0,69.408139,701028866.222,0.171246,329960.868399,397,0.027038,445,119840361.528
2017-10-26,910,62228720.3755,2437710.0,66.791287,710629837.595,0.171246,323338.531383,379,0.027409,429,114449869.941
2017-10-27,960,41077078.5749,2511440.0,70.030302,703603506.748,0.171246,305074.033181,399,0.027138,450,86978314.2657
2017-10-28,791,38369163.6677,1739460.0,58.897018,682895750.772,0.171246,289962.37592,338,0.026339,372,83751961.3979
2017-10-29,881,40777657.6307,4746180.0,61.400928,669719817.798,0.171246,275233.968429,350,0.025831,411,72005519.9121
2017-10-30,1195,122846645.36,3781270.0,93.926058,734200214.35,0.171246,314443.083854,530,0.028318,576,3379714002.53
2017-10-31,1328,111187703.289,7304450.0,100.983941,740152241.675,0.171246,296973.219581,579,0.028547,626,296413605.695
2017-11-01,1245,87059049.8258,9382780.0,95.194351,755184354.576,0.171246,290230.570981,538,0.029127,574,149875308.518
2017-11-02,1017,56428919.1582,6165050.0,75.110304,598368052.295,0.171246,221966.184076,425,0.023079,458,91767593.5423
2017-11-03,830,31546030.6937,2836080.0,59.906445,555308450.999,0.171246,199089.857787,340,0.021418,377,52618111.8523
2017-11-04,774,29050006.0539,2626920.0,55.404465,587017469.537,0.171246,200940.400159,317,0.022641,355,51279920.9842
2017-11-05,813,24963442.4062,2396230.0,60.284034,571795614.124,0.171246,189033.48942,349,0.022054,379,55581018.1343
2017-11-06,1046,35175315.007,4591160.0,78.82348,543872158.252,0.171246,171472.135356,447,0.020977,472,62292930.5621
2017-11-07,858,35370666.2359,2539540.0,63.690628,566395126.695,0.171246,171486.603886,362,0.021846,402,58612520.08
2017-11-08,790,26946585.9354,6367000.0,57.969264,568113970.003,0.171246,167158.142328,325,0.021912,356,45269129.9648
2017-11-09,1333,37720676.1839,18716200.0,95.284479,652323059.397,0.171246,184170.427507,540,0.02516,588,85053955.8293
2017-11-10,1160,119113220.519,6766780.0,88.204026,835350445.85,0.171246,231880.588519,494,0.032219,547,183850727.368
2017-11-11,737,21906468.9738,5532220.0,52.508007,697207394.892,0.171246,163368.469918,303,0.026891,334,44345210.3937
2017-11-12,800,20151196.6355,7280250.0,61.243157,712475898.052,0.171246,225369.951328,340,0.02748,394,123441913.742
2017-11-13,813,70934318.1637,4419440.0,62.372078,631677356.387,0.171246,170820.918736,352,0.024364,383,356746741.016
2017-11-14,986,29414203.911,3033290.0,71.83201,668843188.656,0.171246,72838.2969587,403,0.025797,448,46429195.963
2017-11-15,1000,28184188.5286,6858800.0,70.979033,677101132.81,0.171246,171049.28887,403,0.026116,442,51744248.3128
2017-11-16,968,38432722.5316,4888130.0,71.973901,689219315.689,0.171246,167099.360656,415,0.026583,443,61825795.3375
2017-11-17,817,87450277.882,3578870.0,60.749748,703724822.519,0.171246,167900.210884,348,0.027143,370,115083117.24
2017-11-18,963,20712804.4098,2930550.0,72.758308,663657741.63,0.171246,199100.668479,418,0.025597,448,117682013.955
2017-11-19,973,30160504.583,4725050.0,73.319392,680416226.305,0.171246,158312.039196,417,0.026243,443,50836557.0819
2017-11-20,1474,98453282.4774,16172400.0,112.526056,729906292.441,0.171246,165948.817918,641,0.028152,678,332733193.153
