Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-06-01,,1518.0,0.0,,0.684297,,
2017-06-02,,1802.0,0.0,,0.695903,,
2017-06-03,,2064.0,0.0,,0.742469,,
2017-06-04,,447.0,0.0,,0.861588,,
2017-06-05,,8803.0,0.0,,0.734906,,
2017-06-06,,14682.0,0.0,,1.08,,
2017-06-07,,1327.0,0.0,,1.43,,
2017-06-08,,9030.0,0.0,,1.32,,
2017-06-09,,1296.0,0.0,,1.4,,
2017-06-10,,16121.0,0.0,,1.41,,
2017-06-11,,6668.0,0.0,,1.31,,
2017-06-12,,32334.0,0.0,,2.38,,
2017-06-13,,2683.0,0.0,,3.17,,
2017-06-14,,14542.0,0.0,,3.25,,
2017-06-15,,6761.0,0.0,,2.95,,
2017-06-16,,3477.0,0.0,,2.66,,
2017-06-17,,10943.0,0.0,,2.87,,
2017-06-18,,10519.0,0.0,,3.05,,
2017-06-19,,17956.0,0.0,,3.73,,
2017-06-20,,5647.0,0.0,,2.39,,
2017-06-21,,2069.0,0.0,,2.25,,
2017-06-22,,4015.0,0.0,,2.44,,
2017-06-23,,3039.0,0.0,,2.1,,
2017-06-24,,3231.0,0.0,,1.91,,
2017-06-25,,3008.0,0.0,,1.85,,
2017-06-26,,11518.0,0.0,,1.85,,
2017-06-27,,22946.0,0.0,,0.974421,,
2017-06-28,,10351.0,0.0,,1.55,,
2017-06-29,,88074.0,0.0,,0.459457,,
2017-06-30,,24431.0,0.0,,0.582385,,
2017-07-01,,24158.0,0.0,,0.76005,,
2017-07-02,,9068.0,0.0,,0.503066,,
2017-07-03,,11545.0,0.0,,0.81655,,
2017-07-04,,16586.0,0.0,,0.923298,,
2017-07-05,,28112.0,0.0,,0.660474,,
2017-07-06,,13035.0,0.0,,0.766931,,
2017-07-07,,11107.0,0.0,,0.662619,,
2017-07-08,,4088.0,0.0,,0.505332,,
2017-07-09,,4281.0,0.0,,0.581255,,
2017-07-10,,3428.0,0.0,,0.541126,,
2017-07-11,,3379.0,0.0,,0.507854,,
2017-07-12,,7132.0,0.0,,0.505268,,
2017-07-13,,8671.0,0.0,,0.520207,,
2017-07-14,,3551.0,0.0,,0.325402,,
