,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-10-11,1310,,,,,1477,
2017-10-12,104,,,,,110,
2017-10-13,173,,,,,198,
2017-10-14,128,,,,,143,
2017-10-15,53,,,,,57,
2017-10-16,75,,,,,74,
2017-10-17,55,,,,,51,
2017-10-18,55,20958.0,0.0,1104.54426907,0.616026,60,480298.698047
2017-10-19,281,173574.0,0.0,925.730718341,0.624114,302,1229370.83422
2017-10-20,160,80848.0,0.0,1264.8585318,0.772789,177,1937980.55865
2017-10-21,99,26035.0,0.0,582.129685074,0.586844,117,922047.552136
2017-10-22,112,166006.0,0.0,990.23466913,0.569138,138,1320448.65276
2017-10-23,114,86389.0,0.0,1173.13498499,0.590999,131,1222398.42878
2017-10-24,105,62509.0,0.0,937.4085,1.05,113,1376143.26186
2017-10-25,92,76102.0,0.0,910.3695,0.606913,110,779416.557252
2017-10-26,138,265716.0,0.0,1014.10667821,0.596679,190,2927980.72435
2017-10-27,105,255065.0,0.0,767.8590585,0.660666,137,1304909.29652
2017-10-28,91,71166.0,0.0,551.969240652,0.552586,117,217571.51288
2017-10-29,58,40317.0,0.0,757.34155185,0.565539,75,163904.462876
2017-10-30,90,79874.0,0.0,767.325,0.61386,95,1075966.36063
2017-10-31,302,173262.0,0.0,60.7345,0.607345,326,1121276.03192
2017-11-01,42,10755.0,0.0,617.6869095,0.509853,54,413626.862525
2017-11-02,42,42525.0,0.0,663.240905945,0.498665,48,126372.341291
2017-11-03,62,44646.0,0.0,865.799615574,0.563104,76,503676.976302
2017-11-04,42,15315.0,0.0,450.124540385,0.594119,45,79948.058411
2017-11-05,70,45060.0,0.0,522.011640728,0.575603,78,955762.335738
2017-11-06,180,31526.0,0.0,60.55,0.6055,181,408126.44288
2017-11-07,76,142634.0,0.0,689.340531412,0.579105,86,190130.233399
2017-11-08,70,92374.0,0.0,451.30107168,0.628315,96,339635.182521
2017-11-09,100,46635.0,0.0,440.781,0.734635,123,980730.988715
2017-11-10,80,52205.0,0.0,654.523563158,0.761601,100,178215.498878
2017-11-11,66,55593.0,0.0,489.969784687,0.702115,66,140795.589478
2017-11-12,55,261653.0,0.0,421.9425,0.675108,65,1063580.70558
2017-11-13,59,65938.0,0.0,454.52203753,0.703398,72,294667.995005
2017-11-14,64,75478.0,0.0,670.8888075,0.768927,78,291668.203527
