,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-05-15,8.0,,,,,14.0,
2017-05-16,,,,,,,
2017-05-17,,,,,,,
2017-05-18,911.0,2745280.0,0.0,1009.48434342,1.49,1304.0,11426975.669
2017-05-19,477.0,1655390.0,41614077.0677,599.985,1.5,667.0,3869181.88964
2017-05-20,476.0,1272560.0,44820830.7273,133.0,1.33,610.0,10134209.1004
2017-05-21,311.0,1152680.0,48733712.2695,515.648448427,1.45,420.0,2599659.1812
2017-05-22,327.0,1358470.0,46926255.4545,518.0,1.4,478.0,2403064.31871
2017-05-23,359.0,2436560.0,49300093.6493,440.9265,1.47,541.0,2625560.47163
2017-05-24,587.0,3619740.0,70150252.1811,666.752948831,2.09,824.0,3392559.81119
2017-05-25,353.0,1535420.0,87655447.2796,632.054660317,2.61,460.0,1778722.38709
2017-05-26,335.0,1150820.0,70290699.7908,418.0,2.09,445.0,1870927.65341
2017-05-27,216.0,713711.0,66378076.8081,435.37,1.97,287.0,891252.225142
2017-05-28,215.0,801602.0,58629660.2935,480.24,1.74,307.0,572424.238755
2017-05-29,241.0,653050.0,55109462.1858,331.31412512,1.64,306.0,455192.676593
2017-05-30,338.0,1345200.0,61643846.3804,676.76755305,1.83,463.0,1568828.88869
2017-05-31,297.0,1365970.0,61842974.89,619.392328667,1.84,378.0,1176663.024
2017-06-01,205.0,630982.0,70148098.0,417.051892484,2.09,245.0,1522441.11291
2017-06-02,210.0,759428.0,70088476.0787,439.146400675,2.09,272.0,850912.524007
2017-06-03,240.0,963743.0,72128412.0946,430.0,2.15,306.0,940354.174188
2017-06-04,274.0,1065030.0,74423026.5381,855.762216725,2.21,381.0,1155688.14669
2017-06-05,219.0,973493.0,70428437.8378,415.373577014,2.1,260.0,697848.727089
2017-06-06,285.0,1266720.0,75429827.0164,650.160157091,2.24,414.0,1187303.76322
2017-06-07,327.0,1762630.0,80575200.0,949.769487948,2.4,530.0,1336643.2736
2017-06-08,452.0,3743020.0,85758061.7732,1031.24243786,2.55,880.0,2368243.08497
2017-06-09,431.0,1877340.0,106180099.382,654.236447912,3.16,566.0,2298858.02869
2017-06-10,333.0,2275360.0,111302623.528,378.523073275,3.31,440.0,742827.794692
2017-06-11,426.0,3049210.0,135777929.202,808.0,4.04,568.0,2727835.4577
2017-06-12,407.0,2292920.0,138278311.005,712.604794669,4.11,499.0,1383530.82739
2017-06-13,322.0,1369980.0,125296812.418,559.11208,3.73,395.0,1778657.39158
2017-06-14,326.0,1610150.0,130859828.639,509.083494699,3.9,377.0,3080628.67778
2017-06-15,264.0,1173940.0,106258303.921,799.48,3.16,311.0,712315.478832
2017-06-16,252.0,787317.0,135245064.745,456.892310954,4.02,313.0,993985.841801
2017-06-17,240.0,766546.0,108126176.367,165.717098959,3.22,360.0,510199.806396
2017-06-18,227.0,929574.0,104784488.855,935.98387648,3.12,316.0,838067.675734
2017-06-19,245.0,1110070.0,96590641.548,421.51360834,2.87,284.0,697196.090323
2017-06-20,207.0,938596.0,95007878.9623,798.571878571,2.83,221.0,539261.932515
2017-06-21,168.0,1428180.0,94407786.4741,1100.115,2.81,158.0,452164.750938
2017-06-22,273.0,788086.0,90939479.7834,433.130026868,2.71,317.0,1086362.76635
2017-06-23,233.0,878484.0,93214740.4475,330.916712871,2.77,268.0,933836.311177
2017-06-24,189.0,1043750.0,100223141.467,575.66895,2.98,240.0,1270822.30587
2017-06-25,198.0,656243.0,90703831.3693,842.99543883,2.7,297.0,911349.971006
2017-06-26,242.0,997967.0,81159270.5022,441.956268582,2.41,348.0,914001.081662
2017-06-27,163.0,608510.0,79188422.5306,284.036244595,2.36,221.0,618391.608182
2017-06-28,241.0,1176160.0,83029356.8788,248.75861898,2.47,315.0,610517.265328
2017-06-29,210.0,772157.0,97548747.803,465.746858041,2.9,281.0,9665129.58485
2017-06-30,188.0,585257.0,89200437.913,391.910589657,2.65,231.0,642648.771642
2017-07-01,165.0,450321.0,77520099.4615,416.9319,2.31,228.0,344975.758088
2017-07-02,178.0,388197.0,74121634.7284,342.55,2.21,245.0,593841.907238
2017-07-03,133.0,471371.0,81041078.135,723.0,2.41,165.0,386871.642719
2017-07-04,152.0,434296.0,78748885.0588,465.66,2.34,181.0,924933.155159
2017-07-05,138.0,404513.0,75177261.7931,226.716420022,2.24,157.0,365833.741392
2017-07-06,153.0,555626.0,78043224.2939,289.81412211,2.32,206.0,413782.197501
2017-07-07,274.0,647124.0,82246387.4641,116.92135,2.45,323.0,614275.129821
2017-07-08,232.0,350485.0,70374618.3657,49.1197586374,2.09,268.0,181823.34993
2017-07-09,226.0,305830.0,72769492.1268,101.99,2.17,271.0,237882.619849
2017-07-10,320.0,487679.0,71169940.6211,138.258075629,2.12,385.0,328731.705023
2017-07-11,592.0,907017.0,53723151.2644,85.112696688,1.6,723.0,723508.792842
2017-07-12,478.0,565016.0,58558945.71,87.811387665,1.74,609.0,387426.483828
2017-07-13,383.0,435082.0,67550138.0152,110.918630493,2.01,436.0,1009001.63555
2017-07-14,379.0,315431.0,66584550.3315,99.0,1.98,462.0,625016.703192
2017-07-15,284.0,288078.0,60843359.5789,108.878607255,1.81,357.0,326714.227397
2017-07-16,275.0,327985.0,51384624.1678,87.9903700128,1.53,345.0,549268.472085
2017-07-17,307.0,477114.0,48055108.1871,71.4714,1.43,373.0,125660.472051
2017-07-18,399.0,508917.0,57685572.0198,54.9362261908,1.72,479.0,399213.374233
2017-07-19,378.0,423748.0,67824737.6111,181.419578389,2.02,465.0,630411.115046
2017-07-20,381.0,445853.0,60880094.815,126.7,1.81,469.0,528782.047031
2017-07-21,333.0,312070.0,67972186.1731,54.6882393463,2.02,408.0,179519.296156
2017-07-22,344.0,322467.0,69955346.9027,106.271405604,2.08,432.0,370180.355506
2017-07-23,337.0,339806.0,75962589.5708,122.04,2.26,442.0,726578.586137
2017-07-24,351.0,276677.0,72704988.1674,96.8131021392,2.16,430.0,779379.663233
2017-07-25,345.0,593523.0,72114730.0592,119.50745932,2.15,434.0,1101492.27978
2017-07-26,355.0,445200.0,56432758.5085,83.9832,1.68,445.0,259434.284972
2017-07-27,356.0,265010.0,59596212.9107,54.100139916,1.77,418.0,274993.734167
2017-07-28,372.0,490408.0,56821664.6792,81.9934159135,1.69,469.0,566255.496926
2017-07-29,315.0,350613.0,53321417.6871,78.2347586925,1.59,363.0,368963.651939
2017-07-30,268.0,239215.0,54715633.2683,86.2789797383,1.63,315.0,163012.160205
2017-07-31,294.0,265313.0,55231883.881,80.3173420502,1.64,354.0,345717.756793
2017-08-01,107.0,299507.0,56461359.2486,145.146127955,1.68,100.0,1037337.6553
2017-08-02,234.0,306111.0,60347013.75,103.699390653,1.8,270.0,123175.609401
2017-08-03,429.0,409120.0,59168374.6383,88.0,1.76,543.0,412141.386379
2017-08-04,423.0,362206.0,63057281.7083,155.361018504,1.88,571.0,594181.752472
2017-08-05,497.0,472444.0,64560819.445,131.507420698,1.92,631.0,1265735.29474
2017-08-06,379.0,404444.0,71354761.1866,67.8356610702,2.12,452.0,343816.967659
2017-08-07,480.0,403798.0,69980352.0,105.789004422,2.08,622.0,545155.157642
2017-08-08,503.0,587613.0,69870463.1814,149.973493894,2.08,668.0,511431.434388
2017-08-09,477.0,727888.0,71264085.661,105.4594,2.12,578.0,344872.762719
2017-08-10,693.0,1299060.0,79742867.8594,143.435447867,2.37,878.0,1717863.34748
2017-08-11,737.0,2631060.0,85942035.8919,120.691425677,2.56,1004.0,776782.516271
2017-08-12,571.0,1078570.0,96999196.9212,154.371651885,2.89,672.0,685582.433759
2017-08-13,604.0,1102490.0,98327557.2341,146.624989493,2.93,741.0,1005743.85402
2017-08-14,508.0,932953.0,85597326.1667,127.4745,2.55,614.0,490811.61322
2017-08-15,422.0,767516.0,91099367.7429,150.102277689,2.71,489.0,411256.973244
2017-08-16,369.0,750076.0,82013071.5433,165.467729091,2.44,475.0,523767.708149
2017-08-17,406.0,742746.0,85432029.1429,180.736694622,2.54,486.0,461236.24089
2017-08-18,347.0,543222.0,82170370.3149,183.0,2.44,419.0,654121.734094
2017-08-19,406.0,795690.0,79001139.6875,182.170542624,2.35,482.0,888712.137186
2017-08-20,392.0,739923.0,85579949.7834,97.11774603,2.55,467.0,8215506.10276
2017-08-21,430.0,867557.0,92507320.566,159.240887465,2.75,524.0,805957.728427
2017-08-22,322.0,405765.0,89450627.6614,121.0034,2.66,360.0,225585.23935
2017-08-23,375.0,467406.0,85251094.5391,130.614801864,2.54,448.0,435697.277326
2017-08-24,374.0,624648.0,84817836.3885,149.887457168,2.52,449.0,421542.585673
2017-08-25,384.0,399046.0,94531450.2754,97.3629954944,2.81,464.0,432176.751278
2017-08-26,386.0,613011.0,93166647.6747,119.087628441,2.77,452.0,511397.489243
2017-08-27,393.0,482067.0,98797799.3662,95.8285560036,2.94,496.0,401236.606499
2017-08-28,470.0,958386.0,95576130.2264,100.737339585,2.84,591.0,515172.783961
2017-08-29,485.0,904782.0,107346147.382,213.803227933,3.19,620.0,747490.003892
2017-08-30,493.0,563509.0,101152211.84,121.529471346,3.01,566.0,797657.476984
2017-08-31,515.0,689530.0,101069474.61,131.213327926,3.06,629.0,789200.865886
2017-09-01,587.0,904657.0,96865891.4326,145.221630393,2.93,725.0,1142448.58361
2017-09-02,403.0,505254.0,93847248.6406,113.957294337,2.84,399.0,219724.285883
2017-09-03,295.0,382014.0,84554157.6434,104.186243277,2.56,292.0,450943.850674
2017-09-04,449.0,991351.0,85210253.1589,252.283396037,2.58,513.0,991322.034248
2017-09-05,611.0,527783.0,70198703.4464,73.1744553081,2.13,670.0,524102.763781
