Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-05-29,2.0,,,,,4.0,
2017-05-30,,,,,,,
2017-05-31,,,,,,,
2017-06-01,722.0,4373940.0,168230000.0,841.1415885,0.16823,1384.0,23266126.6481
2017-06-02,482.0,3121920.0,171186000.0,905.177269667,0.171186,818.0,9697626.92456
2017-06-03,493.0,4738010.0,156534000.0,1142.6982,0.156534,1247.0,17574048.6498
2017-06-04,1289.0,27578300.0,165980000.0,705.9112802,0.16598,3017.0,34181956.2521
2017-06-05,893.0,14297400.0,285023000.0,1076.78887356,0.285023,1796.0,22778630.6134
2017-06-06,758.0,10708800.0,291649000.0,872.03051,0.291649,1503.0,22683850.2218
2017-06-07,713.0,11149700.0,259213000.0,1229.86446164,0.259213,1494.0,18506786.0437
2017-06-08,572.0,8890730.0,239285000.0,1112.23593607,0.239285,1142.0,10282513.6849
2017-06-09,582.0,5996870.0,222104000.0,726.27785896,0.222104,1107.0,5193670.07066
2017-06-10,562.0,8265660.0,224807000.0,728.678599532,0.224807,1032.0,9471559.42073
2017-06-11,570.0,6837190.0,195443000.0,782.968783973,0.195443,1106.0,7580657.75933
2017-06-12,521.0,7175260.0,182321000.0,1048.12325558,0.182321,952.0,10124164.1574
2017-06-13,665.0,5539180.0,182940000.0,658.084206052,0.18294,1119.0,5978640.43706
2017-06-14,464.0,3766080.0,193745000.0,628.238568336,0.193745,758.0,4941459.47172
2017-06-15,511.0,6576040.0,170145000.0,1020.86937087,0.170145,964.0,5501904.78184
2017-06-16,809.0,12209000.0,212512000.0,950.624799998,0.212512,1801.0,9525091.21137
2017-06-17,558.0,5614210.0,231731000.0,717.20512769,0.231731,944.0,3855429.50875
2017-06-18,497.0,2829350.0,210064000.0,418.027417083,0.210064,756.0,2880238.47017
2017-06-19,605.0,5328250.0,197917000.0,512.871500855,0.197917,903.0,3338972.59994
2017-06-20,335.0,3728710.0,181185000.0,706.579235493,0.181185,508.0,2547824.07584
2017-06-21,261.0,3436530.0,190874000.0,383.74835952,0.190874,336.0,70983929.2408
2017-06-22,405.0,2615650.0,187434000.0,298.080291524,0.187434,544.0,4946473.70461
2017-06-23,518.0,3165000.0,177803000.0,533.409,0.177803,815.0,3847467.37863
2017-06-24,402.0,2256800.0,201123000.0,429.893160793,0.201123,570.0,5326150.74361
2017-06-25,341.0,2662640.0,184799000.0,652.749577293,0.184799,509.0,6847223.71069
2017-06-26,389.0,3398570.0,170003000.0,873.95233157,0.170003,658.0,5208639.06676
2017-06-27,399.0,3861500.0,156799000.0,769.268098456,0.156799,691.0,6489271.90129
2017-06-28,416.0,2624600.0,153965000.0,395.914796871,0.153965,694.0,2783258.44294
2017-06-29,412.0,1880280.0,174455000.0,317.179514373,0.174455,690.0,5500303.75007
2017-06-30,350.0,1558240.0,155257000.0,323.881345163,0.155257,485.0,1690439.07489
