,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2017-07-31,,,,,,1075960.0,,,0.0,,,,346.36,,
2017-08-01,,,,,,65988800.0,,,4855615612.79,,,,294.6,,
2017-08-02,,,,,,416207008.0,,,6302412307.06,,,,382.38,,
2017-08-03,74547.0,331906322.71,295657053175.0,35.0,16479358.0,161518000.0,20.23473119,437.5,7392235056.31,0.00033919,644.959722782,12444.0,448.49,20909.0,421398544.18
2017-08-04,89602.0,331263600.376,225505642692.0,19.0,21743417.0,185038000.0,21.32449804,237.5,5969656149.71,0.00025842,676.81952884,16108.0,362.18,26517.0,449196829.237
2017-08-05,54665.0,174792481.253,225505642692.0,13.0,12025454.0,144043008.0,11.22425776,162.5,3809332514.43,0.00025225,458.248975536,9989.0,231.11,15194.0,232012894.523
2017-08-06,41841.0,130809246.441,151123557512.0,65.0,8983068.0,107606000.0,9.15282496,812.5,3497474586.91,0.00023615,381.697737613,7905.0,212.18,11791.0,191645705.459
2017-08-07,57375.0,150346417.535,144323701657.0,78.0,11194094.0,346545984.0,8.6803523,975.0,3688627309.69,0.00019493,538.023965539,12207.0,223.76,16114.0,282879190.79
2017-08-08,38121.0,142413578.694,133028839463.0,23.0,10794377.0,274880000.0,8.44009814,287.5,5297452201.45,0.00021661,643.875630054,9440.0,321.35,12855.0,312630132.366
2017-08-09,31772.0,124659820.276,115459053828.0,95.0,6894409.0,165032000.0,5.51291228,1187.5,5692395447.26,0.00019493,860.455617882,7460.0,345.28,10798.0,191201527.031
2017-08-10,31655.0,88893023.9619,115459053828.0,100.0,7010906.0,136636992.0,5.30796253,1250.0,5032212212.17,0.00021382,623.570448978,7609.0,305.21,9949.0,135527819.536
2017-08-11,30846.0,87362030.0575,115459053828.0,67.0,6132245.0,233971008.0,4.78128428,837.5,4548837163.09,0.000187,789.495501458,8549.0,275.88,10507.0,190050948.035
2017-08-12,24982.0,84793179.3707,115459053828.0,72.0,8563011.0,126007000.0,4.60345208,900.0,5405527079.59,0.00021728,620.380651147,5010.0,327.82,7543.0,246686489.678
