Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-07-07,6,,,,,8,
2017-07-08,24,,,,,35,
2017-07-09,82,,,,,137,
2017-07-10,55,,,,,68,
2017-07-11,304,,,,,404,
2017-07-12,421,,,,,534,
2017-07-13,389,,,,,511,
2017-07-14,362,,,,,422,
2017-07-15,52,,,,,58,
2017-07-16,28,,,,,29,
2017-07-17,27,,,,,23,
2017-07-18,29,,,,,30,
2017-07-19,41,,,,,53,
2017-07-20,18,,,,,13,
2017-07-21,32,,,,,33,
2017-07-22,16,,,,,14,
2017-07-23,14,,,,,12,
2017-07-24,30,,,,,30,
2017-07-25,21,145269.0,11520300.0,574.286955,0.115203,29,41775.7365983
2017-07-26,11,200395.0,10589300.0,282.946096,0.105893,9,5858.57167152
2017-07-27,22,344499.0,10510800.0,348.645233052,0.105108,17,16231.6427037
2017-07-28,19,342568.0,10763200.0,290.498768,0.107632,14,9536.22290056
2017-07-29,6,340218.0,10478200.0,755.059092,0.104782,3,24588.7270223
2017-07-30,6,224261.0,10793500.0,319.8006115,0.107935,3,1472.43739715
2017-07-31,9,240309.0,10682800.0,80.41317458,0.106828,8,107658.601588
2017-08-01,12,300413.0,10459479.0531,1661.09547373,0.104595,10,221259.889177
2017-08-02,17,256793.0,9972100.0,166.53407,0.099721,13,11605.314107
2017-08-03,10,293008.0,10032800.0,460.605848,0.100328,9,6547.97413976
2017-08-04,19,287621.0,10668500.0,170.589315,0.106685,15,11301.0326232
2017-08-05,27,542878.0,10741800.0,1616.533482,0.107418,22,339962.085134
2017-08-06,10,393681.0,12929300.0,710.982207,0.129293,11,15571.1826569
2017-08-07,28,748177.0,13395800.0,501.6325226,0.133958,28,58380.141718
2017-08-08,35,2617340.0,14899800.0,1191.9542004,0.148998,37,68935.7482865
2017-08-09,43,3075320.0,22474800.0,1114.31878859,0.224748,54,517400.677509
2017-08-10,51,4118070.0,25182700.0,676.637743705,0.251827,55,128707.675212
2017-08-11,55,4413920.0,34878500.0,1046.006215,0.348785,67,713871.823784
2017-08-12,71,5080760.0,39219300.0,1058.8818807,0.392193,81,449314.815936
2017-08-13,94,13852100.0,44599000.0,1039.19817707,0.44599,100,1484082.3623
2017-08-14,199,51698100.0,86994336.4046,402.688421334,0.872918,266,1809039.50292
2017-08-15,137,19824400.0,132567122.642,464.17,1.33,201,1122312.74697
2017-08-16,120,31363100.0,111785333.333,485.91088,1.12,149,635970.509915
2017-08-17,166,61296500.0,143791675.127,489.6,1.44,234,1583517.79628
2017-08-18,285,69048000.0,193324369.748,517.24,1.93,391,6020701.34628
2017-08-19,158,43391300.0,233375698.565,545.5462,2.33,202,777488.903434
2017-08-20,168,65350400.0,211217752.0,410.546455102,2.11,230,689031.241378
2017-08-21,283,72000600.0,243099900.0,486.0,2.43,369,1133104.95794
2017-08-22,204,52091300.0,271483309.237,678.97592,2.72,276,1256138.44042
2017-08-23,284,64925100.0,247041166.667,631.935924473,2.47,351,1292158.02057
2017-08-24,233,45080400.0,262924857.143,396.057631267,2.63,274,802641.713126
2017-08-25,235,49977600.0,238700772.0,1431.61,2.39,269,19291235.578
2017-08-26,136,26690700.0,252925382.488,857.67,2.53,154,759993.319189
2017-08-27,144,17214900.0,217478318.408,610.4,2.18,144,416973.169849
2017-08-28,135,15413900.0,202287156.863,473.00118,2.02,137,344692.676536
2017-08-29,161,20372000.0,210780849.785,462.09,2.11,146,639843.035316
2017-08-30,136,24830000.0,228004851.064,1162.8,2.28,146,616828.820517
2017-08-31,143,20214800.0,233401395.455,1169.66,2.33,139,595761.638363
2017-09-01,108,20990700.0,220385462.185,851.4,2.2,100,359975.321882
2017-09-02,146,22995400.0,250336683.417,432.125,2.5,162,617621.799272
2017-09-03,153,11662000.0,192486962.025,460.803934968,1.93,172,4670154.49611
2017-09-04,306,20075100.0,157935295.238,590.92,1.58,379,2007509.18287
2017-09-05,183,9453770.0,103000000.0,428.995,1.03,205,403886.75851
