,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2010-01-01,136,,1.18289953431,132,28770,,0.0,6600.0,,0.0,,0.0,,2,
2010-01-02,126,,1.18289953431,126,27169,,0.0,6300.0,,,,,,0,
2010-01-03,186,,1.18289953431,186,40132,,0.0,9300.0,,,,,,0,
2010-01-04,266,,1.18289953431,181,48697,,0.0,9050.0,,0.0,,1.0,,2,
2010-01-05,198,,1.18289953431,198,42695,,0.0,9900.0,,,,,,0,
2010-01-06,163,,1.18289953431,163,35166,,0.0,8150.0,,,,,,0,
2010-01-07,154,,1.18289953431,154,33208,,0.0,7700.0,,,,,,0,
2010-01-08,153,,1.18289953431,153,33011,,0.0,7650.0,,,,,,0,
2010-01-09,151,,1.18289953431,151,32590,,0.0,7550.0,,,,,,0,
2010-01-10,190,,1.18289953431,190,41002,,0.0,9500.0,,,,,,0,
2010-01-11,159,,1.19135103475,159,34296,,0.0,7950.0,,,,,,0,
2010-01-12,375,,1.30506213159,159,59150,,0.26,7950.0,,0.13,,2.0,,2,
2010-01-13,168,,1.30506213159,164,35835,,0.0,8200.0,,0.0,,2.0,,2,
2010-01-14,155,,1.30506213159,143,32114,,0.0,7150.0,,0.0,,1.0,,2,
2010-01-15,147,,1.30506213159,141,31006,,0.0,7050.0,,0.0,,0.0,,1,
2010-01-16,132,,1.30506213159,125,27785,,0.0,6250.0,,0.0,,0.0,,1,
2010-01-17,131,,1.30506213159,131,28239,,0.0,6550.0,,,,,,0,
2010-01-18,128,,1.30506213159,125,27166,,0.0,6250.0,,0.0,,1.0,,1,
2010-01-19,124,,1.30506213159,124,26708,,0.0,6200.0,,,,,,0,
2010-01-20,158,,1.30506213159,158,34041,,0.0,7900.0,,,,,,0,
2010-01-21,187,,1.30506213159,175,41166,,0.0,8750.0,,0.0,,6.0,,9,
2010-01-22,141,,1.30506213159,133,29447,,0.0,6650.0,,0.0,,1.0,,3,
2010-01-23,164,,1.30506213159,160,34954,,0.0,8000.0,,0.0,,1.0,,2,
2010-01-24,156,,1.30506213159,154,33372,,0.0,7700.0,,0.0,,0.0,,1,
2010-01-25,272,,1.32325150713,211,53015,,0.0,10550.0,,0.0,,1.0,,4,
2010-01-26,215,,1.34422497077,195,44875,,0.0,9750.0,,0.0,,1.0,,6,
2010-01-27,181,,1.34422497077,164,37729,,0.0,8200.0,,0.0,,0.0,,2,
2010-01-28,199,,1.34422497077,177,40633,,0.0,8850.0,,0.0,,0.0,,2,
2010-01-29,213,,1.34422497077,197,44868,,0.0,9850.0,,0.0,,0.0,,4,
2010-01-30,248,,1.34422497077,210,49436,,0.0,10500.0,,0.0,,0.0,,4,
2010-01-31,184,,1.34422497077,165,37792,,0.0,8250.0,,0.0,,0.0,,2,
2010-02-01,203,,1.34422497077,184,43041,,0.0,9200.0,,0.0,,3.0,,9,
2010-02-02,167,,1.34422497077,145,33665,,0.0,7250.0,,0.0,,0.0,,1,
2010-02-03,277,,1.34422497077,270,58978,,0.0,13500.0,,0.0,,0.0,,2,
