Date,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2017-11-13,,,,,,45916500.0,,,0.0,,,,277.0,,
2017-11-14,,,,,,39340400.0,,,0.0,,,,253.21,,
2017-11-15,,,,,,30094100.0,,,0.0,,,,160.54,,
2017-11-16,19187.0,10028220.2097,3246568.7323,151.0,3893483.0,27949200.0,0.6987999,1887.49999985,0.0,2.278e-05,161.866357925,12155.0,161.87,5090.0,12852783.3092
2017-11-17,15323.0,15343376.8391,2988552.06532,144.0,3483477.0,24935100.0,4.38828602,1799.99999984,0.0,2.622e-05,141.090693075,10599.0,138.75,5059.0,18768116.123
2017-11-18,19932.0,13832488.7117,2909324.81655,151.0,4628962.0,24642900.0,4.04755235,1887.49999996,0.0,3.42e-05,221.1892114,14657.0,153.07,5993.0,17648111.525
2017-11-19,15071.0,13834166.6133,3489825.11507,136.0,3606402.0,19503400.0,0.9303063,1699.99999996,0.0,2.281e-05,203.690816649,8905.0,154.91,4636.0,17580055.2668
2017-11-20,56520.0,68331897.2685,2724814.72349,153.0,11813794.0,93826896.0,6.3746348,1912.5,0.0,6.41e-05,303.796978264,14313.0,135.2,14294.0,127876884.637
2017-11-21,80004.0,173879662.037,5154291.53934,171.0,18881595.0,370782016.0,11.06228395,2137.49999996,0.0,2.575e-05,501.978428449,21929.0,250.85,25481.0,246198643.261
2017-11-22,77019.0,166634699.286,4973247.91154,145.0,19492626.0,111451000.0,8.03925191,1812.5,0.0,2.25e-05,424.711003261,18614.0,264.18,11965.0,181608640.722
2017-11-23,42422.0,66492052.6639,4984716.07522,154.0,9843659.0,154038000.0,7.84789094,1924.99999991,0.0,2.27e-05,370.852670929,17349.0,241.97,10930.0,92479311.5833
2017-11-24,73395.0,239914837.188,7122678.78789,157.0,15743304.0,537472000.0,7.2356648,1962.5,0.0,5e-05,1010.84721374,28333.0,295.75,22061.0,381455111.673
2017-11-25,77362.0,162186859.289,6976159.47258,144.0,18831785.0,208662000.0,3.79134717,1800.0,6569216429.29,1.93e-05,756.048058896,22373.0,394.04,13333.0,381400726.135
2017-11-26,138204.0,145975313.71,6879050.52308,147.0,44424813.0,141228000.0,3.49975986,1837.49999999,5931014450.99,3.42e-05,232.720525708,25657.0,355.72,15488.0,440330678.321
2017-11-27,106654.0,175266771.573,6575275.03379,152.0,23114049.0,129160000.0,2.89751696,1899.99999994,6172971083.39,1.94e-05,370.821540449,25877.0,370.18,11717.0,413057365.444
