Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-07-13,2.0,,,,,1.0,
2017-07-14,2.0,,,,,1.0,
2017-07-15,,,,,,,
2017-07-16,,,,,,,
2017-07-17,,,,,,,
2017-07-18,,,,,,,
2017-07-19,,,,,,,
2017-07-20,2.0,,,,,2.0,
2017-07-21,2.0,,,,,1.0,
2017-07-22,,,,,,,
2017-07-23,,,,,,,
2017-07-24,365.0,,,,,422.0,
2017-07-25,848.0,,,,,1120.0,
2017-07-26,2963.0,,,,,5069.0,
2017-07-27,888.0,,,,,1288.0,
2017-07-28,452.0,,,,,674.0,
2017-07-29,191.0,,,,,261.0,
2017-07-30,106.0,,,,,133.0,
2017-07-31,204.0,,,,,304.0,
2017-08-01,165.0,,,,,236.0,
2017-08-02,301.0,,,,,458.0,
2017-08-03,787.0,,,,,1243.0,
2017-08-04,964.0,,,,,1669.0,
2017-08-05,374.0,,,,,604.0,
2017-08-06,582.0,,,,,885.0,
2017-08-07,613.0,,,,,842.0,
2017-08-08,421.0,7543670.0,46831994.9016,1109.38905,0.11095,652.0,6406119.52562
2017-08-09,370.0,5319330.0,47972508.7576,907.909002,0.113652,506.0,1827569.40496
2017-08-10,322.0,9412790.0,43397367.6634,1025.5082685,0.102813,472.0,2401169.29627
2017-08-11,1054.0,28319900.0,47736133.0743,1461.60677569,0.113092,1489.0,12268588.0394
2017-08-12,433.0,14449400.0,75747955.2532,1615.2028704,0.179455,566.0,3022424.74663
2017-08-13,2548.0,26199000.0,91854866.5882,939.154499348,0.144317,3682.0,17736311.4074
2017-08-14,2132.0,61300700.0,118083963.887,1113.17489575,0.181307,3384.0,23703969.8346
2017-08-15,1253.0,33235400.0,217378869.265,1980.9,0.33015,1635.0,24256955.751
2017-08-16,933.0,20149800.0,184038134.966,1563.4470215,0.277113,1186.0,9839764.35736
2017-08-17,1341.0,17016300.0,200780617.283,3008.369133,0.300867,1588.0,37994474.0319
2017-08-18,931.0,19448900.0,187744289.039,1540.9735,0.280177,1349.0,10023043.5874
2017-08-19,612.0,20150200.0,153947543.338,1275.50263037,0.229741,836.0,3647250.04595
2017-08-20,418.0,19136800.0,151521140.893,773.913882309,0.22612,507.0,2055242.59806
2017-08-21,553.0,18912500.0,145374773.278,1071.127305,0.216171,677.0,8660398.7831
2017-08-22,455.0,20542100.0,119211775.275,926.623152,0.176904,568.0,2179053.75086
2017-08-23,580.0,21797700.0,125218915.773,922.84314,0.185124,715.0,3200988.28207
2017-08-24,429.0,8670120.0,137667487.325,958.491845,0.202427,589.0,2687322.39909
2017-08-25,2904.0,9366220.0,125499413.238,1806.45916571,0.184535,3060.0,27030181.1267
2017-08-26,338.0,7509990.0,122278591.152,654.5878677,0.179665,401.0,1217259.15219
2017-08-27,377.0,11480300.0,124478264.211,914.485,0.182897,446.0,1947040.507
2017-08-28,520.0,11391400.0,123430650.762,1048.71048797,0.180416,648.0,6493036.23572
2017-08-29,415.0,9879820.0,118259554.463,784.029896,0.172808,461.0,1705183.31457
2017-08-30,1020.0,16132100.0,113484487.173,1654.73361,0.165639,1148.0,116045127.112
2017-08-31,441.0,21798500.0,95858795.5614,1132.64323546,0.139913,520.0,2992305.4629
2017-09-01,391.0,10602100.0,117030726.878,1126.24745097,0.170815,508.0,5341561.95334
2017-09-02,465.0,13028900.0,100704045.178,1374.81174971,0.146985,658.0,5159065.91415
2017-09-03,567.0,10973300.0,86977436.26,998.677565,0.12695,754.0,3849662.05558
2017-09-04,2222.0,15506700.0,72261169.293,777.581509031,0.10547,2768.0,9386987.9219
2017-09-05,2683.0,7891520.0,41956164.8497,415.58857366,0.061238,3302.0,7255359.32691
2017-09-06,5447.0,2617590.0,33565786.4774,187.993071388,0.048992,6534.0,17768631.9741
2017-09-07,3964.0,890057.0,39812901.0098,203.1281538,0.05811,4799.0,7460702.7095
2017-09-08,5637.0,3627010.0,31341079.2663,143.520312681,0.045745,7198.0,15116753.9177
2017-09-09,4284.0,835800.0,33168801.6565,265.2807853,0.048412,4550.0,8865409.37464
2017-09-10,1693.0,835852.0,44895470.8018,129.20421326,0.045487,1870.0,5596901.1949
2017-09-11,1621.0,847176.0,44623948.144,110.56006844,0.045212,1823.0,2224787.83528
2017-09-12,1239.0,5085.0,44646517.1921,116.685133327,0.045235,1374.0,1603652.49097
2017-09-13,1492.0,560776.0,42910269.1694,173.857728493,0.043476,1615.0,2022088.61708
2017-09-14,1148.0,532320.0,38922838.1484,123.26096442,0.039436,1267.0,2937613.39903
2017-09-15,1422.0,405219.0,39003454.2673,197.585,0.039517,1426.0,2095994.76273
2017-09-16,869.0,142071.0,44590881.7177,122.296846,0.045178,895.0,1371245.28356
2017-09-17,786.0,135199.0,44817796.8818,129.730656,0.045408,843.0,880503.450634
2017-09-18,756.0,175066.0,43948583.4698,88.0638130267,0.044527,769.0,976695.787592
2017-09-19,660.0,84345.0,50117470.0803,87.2284171392,0.050778,704.0,860791.637118
2017-09-20,471.0,43725.0,47439168.0,57.959007776,0.048064,501.0,250057.314559
2017-09-21,648.0,128745.0,45299574.8802,68.7705664,0.045896,693.0,907760.303219
2017-09-22,639.0,174161.0,61279234.0221,123.55114,0.062086,874.0,625114.87455
2017-09-23,1024.0,144667.0,68647543.3878,1363.7300975,0.069552,1066.0,4139674.00319
2017-09-24,838.0,392543.0,72408294.0,126.274047589,0.073362,998.0,827542.894766
2017-09-25,901.0,209318.0,107843568.0,375.989164198,0.109264,985.0,1465713.87772
2017-09-26,627.0,100199.0,105488586.0,463.33109292,0.106878,663.0,822582.939664
2017-09-27,454.0,142389.0,99096774.0,234.338268,0.100402,495.0,536360.922625
2017-09-28,349.0,146314.0,98720727.0,216.194891395,0.100021,420.0,885162.207606
2017-09-29,585.0,152087.0,102869088.0,464.964765411,0.104224,614.0,8821945.90739
2017-09-30,670.0,140640.0,108184083.0,154.334899838,0.109609,788.0,934349.80302
2017-10-01,244.0,234758.0,105518196.0,320.724,0.106908,321.0,587624.67805
2017-10-02,261.0,103832.0,108204810.0,290.790556511,0.10963,283.0,487858.605813
2017-10-03,223.0,138255.0,101509989.0,370.866282,0.102847,246.0,484351.025232
2017-10-04,211.0,110372.0,100142588.251,420.260230667,0.101462,220.0,428439.66014
2017-10-05,194.0,134367.0,97527037.078,435.365672,0.098812,225.0,471758.105357
2017-10-06,191.0,100707.0,94762265.144,479.95399,0.09601,208.0,364039.684493
2017-10-07,200.0,123146.0,93862819.0942,488.518237456,0.095099,259.0,382614.257317
2017-10-08,206.0,123010.0,88074834.349,368.36208,0.089235,249.0,395893.531328
2017-10-09,175.0,76588.0,78833269.0297,399.36,0.079872,155.0,351745.822148
2017-10-10,223.0,300982.0,79224873.7135,668.286826059,0.080268,324.0,658897.230955
2017-10-11,223.0,96426.0,65552253.3616,351.5581524,0.066416,244.0,271797.327226
