,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2018-03-10,3.0,,,,,2.0,
2018-03-11,,,,,,,
2018-03-12,,,,,,,
2018-03-13,,,,,,,
2018-03-14,,,,,,,
2018-03-15,,,,,,,
2018-03-16,,,,,,,
2018-03-17,,,,,,,
2018-03-18,,,,,,,
2018-03-19,,,,,,,
2018-03-20,,,,,,,
2018-03-21,,,,,,,
2018-03-22,,,,,,,
2018-03-23,,,,,,,
2018-03-24,,,,,,,
2018-03-25,,,,,,,
2018-03-26,,,,,,,
2018-03-27,10119.0,,,,,10121.0,
2018-03-28,1871.0,,,,,1881.0,
2018-03-29,1858.0,,,,,1761.0,
2018-03-30,210.0,,,,,138.0,
2018-03-31,76.0,,,,,46.0,
2018-04-01,133.0,,,,,99.0,
2018-04-02,42.0,,,,,23.0,
2018-04-03,49.0,,,,,28.0,
2018-04-04,60.0,,,,,36.0,
2018-04-05,65.0,,,,,43.0,
2018-04-06,193.0,,,,,180.0,
2018-04-07,38.0,,,,,23.0,
2018-04-08,112.0,,,,,96.0,
2018-04-09,124.0,,,,,171.0,
2018-04-10,36.0,,,,,301.0,
2018-04-11,47.0,,,,,34.0,
2018-04-12,111.0,,,,,87.0,
2018-04-13,123.0,,,,,92.0,
2018-04-14,124.0,,,,,106.0,
2018-04-15,50.0,,,,,29.0,
2018-04-16,56.0,28409300.0,0.0,28.60697,0.817342,32.0,112616.50999
2018-04-17,241.0,37356500.0,0.0,21.0765,0.84306,142.0,274196.204238
2018-04-18,304.0,48279500.0,0.0,15.15,1.01,229.0,1723315.57037
2018-04-19,151.0,48380200.0,96569622.073,23.6,1.18,84.0,981461.52292
2018-04-20,193.0,51033600.0,112261473.44,13.7,1.37,129.0,1026953.39183
2018-04-21,341.0,46757600.0,109155543.023,6.7,1.34,290.0,2128360.81769
2018-04-22,134.0,48457600.0,105347346.515,135.45,1.29,90.0,4546028.55606
2018-04-23,237.0,50573400.0,109266432.425,67.0,1.34,184.0,1540808.4875
2018-04-24,226.0,77297504.0,168081833.143,239.9184,1.6,169.0,42679811.2025
2018-04-25,111.0,48124100.0,261577940.799,280.0,1.75,82.0,84391214.0367
2018-04-26,211.0,46230600.0,216751005.692,611.046646,1.45,224.0,5172155.28905
2018-04-27,162.0,17370600.0,239126345.974,780.8,1.6,164.0,2599272.11377
2018-04-28,216.0,66764900.0,228204957.524,50.16,1.52,301.0,789329.4552
2018-04-29,204.0,90217000.0,253242291.611,1342.7219,1.69,212.0,3604475.23587
2018-04-30,183.0,103586000.0,351478188.744,87.369005,2.35,216.0,2877002.76505
2018-05-01,193.0,89914096.0,306247427.714,81.6,2.04,195.0,685700.864529
2018-05-02,186.0,186579008.0,314493029.397,1045.8,2.1,180.0,1566184.68264
2018-05-03,142.0,131761000.0,297881413.892,1324.9412637,1.99,152.0,928785.682349
2018-05-04,113.0,127653000.0,303257900.068,3632.2327,2.02,147.0,1247984.35525
2018-05-05,131.0,123465000.0,307985696.56,2472.0,2.06,185.0,1457863.15843
2018-05-06,141.0,112872000.0,289385434.785,3860.0,1.93,169.0,1575635.47312
2018-05-07,115.0,94935800.0,278992947.0,1865.58,1.86,131.0,571737.230737
2018-05-08,159.0,97971400.0,280877118.408,1010.4919,1.87,189.0,1087112.72087
2018-05-09,141.0,91524200.0,268611427.006,1544.83086,1.79,143.0,576738.58019
2018-05-10,99.0,89252400.0,270388666.351,2628.2648,1.81,105.0,993374.527087
2018-05-11,122.0,77504096.0,255856940.25,3584.823309,1.71,173.0,1503472.61904
2018-05-12,99.0,63130400.0,213466990.244,2080.42064595,1.43,120.0,475407.3334
2018-05-13,88.0,59402300.0,200963859.466,2060.92,1.34,112.0,1466652.67515
2018-05-14,102.0,59256700.0,216612496.677,1610.1235,1.45,101.0,335005.728619
2018-05-15,2699.0,65950800.0,246729251.18,1.385175,1.65,2688.0,695188.298207
2018-05-16,1584.0,65309300.0,241773293.475,1.38299,1.61,1571.0,245833.100019
2018-05-17,97.0,70628400.0,240352474.771,1783.73635826,1.6,104.0,377518.560498
2018-05-18,85.0,61662200.0,229309619.632,675.495,1.53,70.0,516473.768015
2018-05-19,363.0,80593600.0,232278648.317,9.3,1.55,347.0,443658.066609
2018-05-20,380.0,81296704.0,294381539.448,259.46676,1.96,391.0,4010818.43502
2018-05-21,4270.0,77110496.0,273208489.942,1.540448,1.82,4271.0,3257686.86558
2018-05-22,326.0,72662400.0,259758117.138,5.19,1.73,313.0,841562.179605
2018-05-23,107.0,71897504.0,226987345.336,15.1,1.51,91.0,672487.999987
2018-05-24,2089.0,74810600.0,205066675.568,1.167103,1.37,2072.0,206450.791559
2018-05-25,135.0,65560900.0,218187188.405,41.61,1.46,104.0,656409.475095
2018-05-26,119.0,64347500.0,220320517.141,42.63,1.47,96.0,555326.224729
2018-05-27,83.0,47952600.0,212573688.417,28.4,1.42,65.0,160210.870104
2018-05-28,49.0,38465600.0,208437224.563,190.0269,1.39,37.0,639787.002233
2018-05-29,53.0,36554000.0,176206229.083,708.0,1.18,50.0,459146.64305
2018-05-30,64.0,37990800.0,198793089.535,1831.397498,1.33,59.0,293490.648451
2018-05-31,91.0,34623800.0,193567959.46,1116.52209,1.29,72.0,309103.34052
2018-06-01,100.0,35871500.0,205609622.0,68.5,1.37,83.0,538882.806989
2018-06-02,109.0,30737800.0,205099867.036,19.18,1.37,82.0,131862.04136
2018-06-03,77.0,30196700.0,210050793.431,152.460357,1.4,49.0,634354.987895
2018-06-04,71.0,27680300.0,206998824.326,886.455006,1.38,57.0,169996.249165
2018-06-05,102.0,26475300.0,193547387.654,12.9,1.29,100.0,163014.459908
2018-06-06,75.0,25084700.0,194626037.364,27.28375,1.3,44.0,37380.5837291
2018-06-07,65.0,22373800.0,193734370.654,14.19,1.29,48.0,170448.034939
2018-06-08,83.0,20014100.0,190294719.863,12.7,1.27,73.0,113847.571682
