,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-07-12,5,,,,,4,
2017-07-13,2,,,,,1,
2017-07-14,10,,,,,16,
2017-07-15,4,,,,,6,
2017-07-16,8021,,,,,8653,
2017-07-17,3579,9750800.0,54709219.5383,806.185,0.161237,4820,21742491.2222
2017-07-18,1505,7932920.0,58127421.598,822.2928,0.171311,1917,7569521.49696
2017-07-19,947,3096710.0,58941425.1993,694.39756063,0.17371,1341,4243593.06222
2017-07-20,695,2553680.0,48809987.4562,359.6275,0.143851,959,2918760.13671
2017-07-21,456,1299210.0,52735456.794,388.55,0.15542,634,1655692.99388
2017-07-22,457,1828370.0,51911274.3615,152.838009,0.152991,991,832044.356482
2017-07-23,473,1297280.0,62768155.7705,230.254854421,0.184988,674,1444508.59695
2017-07-24,702,5167200.0,62441400.6054,297.820620365,0.184025,974,2615070.89239
2017-07-25,514,2490100.0,69006517.1875,323.044184841,0.203348,696,1729506.37326
2017-07-26,473,1086920.0,58935572.4167,302.453331855,0.173671,614,1982234.45423
2017-07-27,498,1193380.0,58979800.0,208.047767663,0.17347,607,2427048.4839
2017-07-28,487,1140120.0,55226880.0,349.56404724,0.162432,748,1170446.41367
2017-07-29,271,617954.0,52046520.0,187.125068485,0.153078,359,836791.842857
2017-07-30,318,601016.0,56897980.0,167.429836765,0.167347,440,487265.608527
2017-07-31,397,633192.0,55617880.0,176.57204662,0.163582,495,778749.461983
2017-08-01,276,965800.0,55378180.0,164.716144933,0.162877,372,362180.97208
2017-08-02,364,917333.0,58418120.0,229.132743487,0.171818,461,855911.149186
2017-08-03,379,860385.0,54895380.0,161.456192715,0.161457,522,641004.858305
2017-08-04,491,1658350.0,59011080.0,213.305176032,0.173562,674,1645079.12806
2017-08-05,602,2692140.0,66318700.0,195.054804945,0.195055,830,1128732.16071
2017-08-06,501,1383270.0,73802440.0,216.848934,0.217066,1058,1503715.36618
2017-08-07,754,1543070.0,70704700.0,207.747045,0.207955,1173,1629674.23164
2017-08-08,515,1775290.0,67176860.0,197.579,0.197579,763,2097519.25455
2017-08-09,470,1663640.0,69601060.0,204.504291,0.204709,624,560901.164637
2017-08-10,3089,51701100.0,75757100.0,450.0863,0.222815,5781,21861528.4118
2017-08-11,3717,71905400.0,154268540.0,453.277269,0.453731,6089,18976377.2553
2017-08-12,1906,30224400.0,217032200.0,474.9111367,0.63833,2895,10116501.2417
2017-08-13,1631,25452100.0,191635560.0,514.1751165,0.563634,2565,6315738.0819
2017-08-14,1858,23191200.0,251244700.0,738.216045,0.738955,3567,16001421.4967
2017-08-15,1263,11123900.0,219216020.0,644.108247,0.644753,1915,6945645.01463
2017-08-16,1231,11901600.0,202020520.0,593.583822,0.594178,1937,6633139.47553
2017-08-17,1392,11211700.0,210596680.0,463.799206967,0.619402,2032,5859280.84136
2017-08-18,1271,10102400.0,194143740.0,465.265031867,0.571011,2014,5213907.95153
2017-08-19,1111,9626780.0,166665620.0,338.938390664,0.490193,1605,3119312.51137
2017-08-20,1106,8170140.0,188791120.0,554.712732,0.555268,1893,7335543.97618
2017-08-21,1061,6230230.0,190642420.0,504.6417,0.560713,1655,5910354.6762
2017-08-22,878,4403160.0,167882480.0,469.0834,0.493772,1305,2211062.7462
2017-08-23,1055,7812220.0,166230080.0,438.309608,0.488912,1436,4152441.37919
2017-08-24,1223,8358530.0,172506480.0,507.372,0.507372,1912,13933155.7139
2017-08-25,801,3269230.0,180047000.0,297.998042337,0.52955,1082,2059017.54566
2017-08-26,895,3825960.0,171569780.0,252.3085,0.504617,1174,2422347.70593
2017-08-27,858,3202900.0,173955220.0,460.4697,0.511633,1209,2396549.8445
2017-08-28,949,5596950.0,175040160.0,513.279528,0.514824,1321,2883416.80676
2017-08-29,947,6538250.0,180190820.0,270.250717082,0.529973,1271,7933187.90572
2017-08-30,1129,4372520.0,183043080.0,424.869454954,0.538362,1511,4472388.21969
2017-08-31,1175,5411070.0,175619860.0,309.9174,0.516529,1560,5080254.62155
2017-09-01,1162,5070740.0,176971020.0,416.590806143,0.520503,1591,3109225.63783
2017-09-02,980,4603280.0,166577220.0,420.071124631,0.489933,1404,3173515.50181
2017-09-03,766,2665590.0,149919260.0,288.537058352,0.440939,1086,1592216.87671
2017-09-04,1264,5168010.0,147842880.0,434.397168,0.434832,1839,3199239.48096
2017-09-05,1077,4372530.0,128046380.0,373.02546743,0.376607,1512,3539780.88795
2017-09-06,987,3002330.0,144458520.0,256.737719458,0.424878,1230,2028932.85041
2017-09-07,934,2327450.0,150332020.0,265.28737847,0.442153,1275,2752711.55052
2017-09-08,1188,3212060.0,146947320.0,309.938434837,0.432198,1588,3029881.03409
2017-09-09,932,1723970.0,130275080.0,216.744502116,0.383162,1217,1564899.47355
