Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-12-18,32,,,,,161,
2017-12-19,81,,,,,598,
2017-12-20,49,,,,,511,
2017-12-21,54,,,,,301,
2017-12-22,100,,,,,2141,
2017-12-23,108,,,,,630,
2017-12-24,109,,,,,740,
2017-12-25,257,,,,,729,
2017-12-26,58,,,,,434,
2017-12-27,62,324695.0,0.0,3660.636,0.915159,389,3657719.68351
2017-12-28,52,342596.0,0.0,3875.264,0.968816,603,4905594.78592
2017-12-29,45,107929.0,0.0,3021.07344798,0.992185,293,1600423.48892
2017-12-30,44,157220.0,3441859.42129,3996.408,0.999102,399,2603851.40592
2017-12-31,55,435465.0,3399923.67021,3947.716,0.986929,209,1864795.30802
2018-01-01,42,187507.0,3439640.91747,3993.832,0.998458,254,1822313.92599
2018-01-02,75,328776.0,3417007.26499,3967.552,0.991888,600,4563243.97762
2018-01-03,49,457807.0,3407268.0848,3956.244,0.989061,385,2877496.95909
2018-01-04,67,749044.0,3431058.78197,3990.228,0.997557,453,4250309.92363
2018-01-05,67,892893.0,3479402.12491,4040.0,1.01,451,4343320.29307
2018-01-06,45,798358.0,3442357.40086,3989.964,0.997491,156,1457793.31268
2018-01-07,56,571177.0,3444952.98008,6356.0,1.0,429,4213092.84415
2018-01-08,82,647729.0,3441221.30033,3995.668,0.998917,736,5962944.48804
2018-01-09,43,1190990.0,3423111.60386,8981.30123796,0.99366,380,4628212.17109
2018-01-10,46,1403670.0,3442027.48489,7993.208,0.999151,436,3301903.95659
2018-01-11,42,2396900.0,2696051.39159,18694.008,0.778917,416,7497568.65683
2018-01-12,40,220227.0,3479402.07075,40400.0,1.01,256,8335506.79402
2018-01-13,66,977432.0,3426917.64768,23919.144,0.996631,384,9991273.06795
2018-01-14,36,539692.0,9448914.50919,40800.0,1.02,310,9694329.83679
2018-01-15,40,437562.0,9248254.46371,39933.56,0.998339,242,7907571.47986
2018-01-16,71,1028360.0,9237184.33553,23931.456,0.997144,888,25846252.6791
2018-01-17,99,732904.0,8764264.63211,23414.712,0.975613,877,21943923.0666
2018-01-18,76,698147.0,9446209.21919,33098.2739529,0.998447,370,10435069.7606
2018-01-19,73,452323.0,9433498.8585,39841.76,0.996044,340,8935554.12954
2018-01-20,69,385589.0,9599612.6744,20765.62708,1.0,316,7116434.26505
2018-01-21,64,460369.0,10028991.0,40000.0,1.0,451,13857125.2547
2018-01-22,74,717274.0,9716123.0,40000.0,1.0,513,15403111.853
2018-01-23,99,470957.0,9728795.52241,23868.816,0.994534,379,9027460.09286
2018-01-24,81,446502.0,9795184.56152,23963.712,0.998488,328,7181239.02389
2018-01-25,72,849223.0,9738373.41176,41600.0,1.04,368,9976025.6199
2018-01-26,72,722646.0,9561579.02913,8362.5006,1.02,335,6409308.83695
2018-01-27,54,291649.0,9647274.42453,29965.0156464,1.03,255,6164739.79183
