,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2014-01-19,3691,,0.274700923554,4138,1272622,,0.628,1812104.0,,0.0,,680,,1151,
2014-01-20,4476,,3.60433708939,765,1189408,,1.6935,201357.0,,0.0,,4215,,4239,
2014-01-21,2262,,4.71770142771,454,631205,,1.7975,16840.0,,0.001,,2118,,2118,
2014-01-22,338,,6.10650391353,99,94905,,0.226,2079.0,,0.001,,266,,267,
2014-01-23,238,,6.10650391353,79,74541,,0.158,8729.0,,0.001,,187,,188,
2014-01-24,352,,6.10650391353,85,84481,,0.083,10370.0,,0.0,,226,,212,
2014-01-25,329,,6.10650391353,72,97265,,0.083,8784.0,,0.0,,234,,235,
2014-01-26,319,,6.10650391353,64,83657,,0.168,7808.0,,0.001,,260,,260,
2014-01-27,710,,1.56864320715,327,242059,,0.298,47000.0,,0.0,,607,,607,
2014-01-28,1452,,1.2201358272,781,555328,,0.563,114048.0,,0.0,,1283,,1290,
2014-01-29,984,,1.75465005785,428,337240,,0.405,61396.0,,0.0,,861,,861,
2014-01-30,1783,,1.63087770709,859,677504,,0.8335,123956.0,,0.0,,1632,,1633,
2014-01-31,971,,3.16947263681,345,310053,,0.503,46920.0,,0.001,,860,,860,
2014-02-01,1179,,2.3511484618,558,421177,,0.526,78372.0,,0.001,,1037,,1037,
2014-02-02,1540,,2.4593751406,821,520902,,0.651,114600.0,,0.001,,1214,,1214,
2014-02-03,1209,,4.4585356384,776,637790,,0.63,100451.0,,0.0,,1079,,1079,
2014-02-04,1433,,5.98929705854,644,502434,,0.532,79096.0,,0.0,,1050,,1050,
2014-02-05,1912,,6.88633340778,817,705684,,0.638,97417.0,,0.0,,1684,,1690,
2014-02-06,2541,,13.0919073079,820,868338,,1.182,80040.0,,0.0,,2269,,2277,
2014-02-07,2581,,17.2681276688,493,779152,,1.599,42044.0,,0.001,,2165,,2174,
2014-02-08,4760,,18.152618769,951,1313248,,2.15800691,78780.0,,0.001,,3094,,3110,
2014-02-09,1865,,49.5712549657,728,766208,,1.182,32240.0,,0.001,,1297,,1318,
2014-02-10,598,,94.4437462188,96,307518,,0.482,2400.0,,0.001,,303,,321,
2014-02-11,2576,,37.7281167036,613,964971,,1.67606502,32159.0,,0.001,,2004,,2016,
2014-02-12,3429,,34.3413981951,567,939719,,2.30654024,32235.0,,0.001,,2684,,2698,
2014-02-13,4237,,31.2298888157,575,1104139,,3.35501,33849.0,,0.001,,3407,,3421,
2014-02-14,4558,31434.875356,31.4530138956,565,1241911,15422.0,3.73903516,33235.0,705486.853477,0.001,7.49796035364,3644,0.213899,3663,53161.4091288
2014-02-15,3916,54982.057277,38.0124093595,596,1337727,21119.0,5.23855816,30944.0,1100630.56773,0.001,11.0955028364,3206,0.331111,3236,78550.2272196
2014-02-16,3858,49051.506495,60.0304840004,588,1115416,28017.0,2.47301,20713.0,1091569.12408,0.001,7.82358132,2746,0.32584,2766,82677.6510069
2014-02-17,3608,272593.188469,87.5899947219,599,1755856,178618.0,2.82708248,15940.0,1363387.11318,0.001,7.7983211194,2571,0.406039,2631,325760.284113
2014-02-18,3724,711897.426111,137.328598113,579,1354561,160779.0,2.3635103,13548.0,3965447.86538,0.001,21.7884519168,2487,1.18,2551,846556.542731
2014-02-19,3263,173067.68909,129.011878478,577,908175,60551.0,2.01676346,13647.0,3528852.23444,0.001,17.415379384,2315,1.04,2354,199690.731235
2014-02-20,3006,231518.138851,149.531457367,585,856185,93281.0,1.96045798,13649.0,3207708.53837,0.001,16.6146527972,2022,0.941944,2058,256291.001322
2014-02-21,3175,100631.650555,185.359284584,581,952680,83008.0,1.7273869,13145.0,3586556.54867,0.001,17.442085668,2046,1.05,2086,116947.418199
2014-02-22,3435,354267.664349,226.250231567,575,898532,101024.0,1.72937083,12638.0,3851624.0,0.001,16.981733216,2256,1.12,2308,376515.882043
2014-02-23,3737,396906.906904,189.637526272,565,1200378,115234.0,1.84767328,12845.0,3965894.0,0.001,19.379345888,2211,1.15,2275,426748.711727
2014-02-24,4079,976543.21545,215.154370415,583,1448743,109256.0,3.35293013,12904.0,4080754.55248,0.001,23.5618019132,2219,1.18,2327,1248609.53651
2014-02-25,3498,489189.681294,182.643547772,557,1028023,69493.0,1.7752096,12683.0,2913510.71941,0.001,14.2639079674,2126,0.839383,2203,771487.299343
2014-02-26,3101,395891.974246,167.891674766,556,953617,49321.0,2.51096324,12851.0,2161386.70454,0.001,10.4263934697,1943,0.620399,1991,697623.306777
2014-02-27,2742,230317.702456,138.422505216,581,770854,15148.0,2.10231798,13735.0,2156608.81333,0.001,10.3661796499,1704,0.616643,1748,353628.068862
2014-02-28,2706,192159.61075,145.006994461,579,926064,60517.0,1.51229179,13530.0,2172188.82518,0.001,10.3150059744,1662,0.618662,1697,202777.493508
2014-03-01,3590,305544.730065,189.581721695,588,1280647,252311.0,2.61194146,13223.0,1937041.33219,0.001,10.2046652994,2133,0.549616,2202,404139.489929
2014-03-02,3770,455618.008165,258.850429991,566,1299194,148259.0,2.72228333,12131.0,3305853.77634,0.001,14.8064500997,2346,0.936036,2373,1101462.91372
2014-03-03,4247,285599.972695,276.655250391,585,1400701,271197.0,2.97333854,12409.0,3644010.61157,0.001,16.4802285055,2573,1.03,2641,315294.760757
2014-03-04,3669,257134.566682,250.684211575,575,1250881,90550.0,3.05792366,12457.0,4309158.61059,0.001,18.3932017357,2247,1.21,2250,302910.723277
2014-03-05,3694,449368.501583,278.858864511,563,1351719,93138.0,2.50435306,11960.0,3533872.28805,0.001,15.7661156152,2338,0.987192,2319,650713.359196
2014-03-06,3635,240298.206622,262.767493448,576,1025556,68896.0,2.78243028,12374.0,3703491.54286,0.001,16.0729231322,2316,1.03,2342,665765.224309
2014-03-07,3411,420327.516405,263.21482758,564,1018578,112877.0,3.35926835,12112.0,3813086.27744,0.001,15.5532047714,2261,1.06,2192,652222.887824
2014-03-08,3441,197983.167974,281.527891954,582,1065842,70281.0,2.22247301,12289.0,3291918.55784,0.001,14.3465650026,2145,0.911867,2169,220048.70158
2014-03-09,3498,58829.4727024,309.735511056,584,1072011,48781.0,2.21135685,12138.0,3307774.9534,0.001,12.6257416625,2141,0.913189,2155,77370.4683175
2014-03-10,3158,202199.944871,334.730208782,570,1011261,45946.0,1.82931886,11735.0,3169189.83376,0.001,13.3244548997,1998,0.872114,1964,216479.369997
2014-03-11,3444,192499.500091,293.929571711,566,1056566,42234.0,2.22846024,11890.0,2944380.16707,0.001,11.6771752512,2206,0.807598,2194,208603.184039
2014-03-12,3434,74635.9704743,340.071504459,579,1119413,39530.0,2.31378429,11872.0,3248816.75461,0.001,11.4730762199,2195,0.888208,2117,87125.9313417
2014-03-13,3442,91789.6805131,293.28744858,591,1037388,31123.0,2.05663358,12427.0,3175227.57863,0.001,11.4269318566,2184,0.865569,2135,101922.903668
2014-03-14,3695,62949.7962455,291.358632566,568,1129213,26274.0,2.29987776,11931.0,3057146.20686,0.001,11.25223794,2344,0.83338,2392,76438.6572024
2014-03-15,3052,34114.3090715,293.202281236,566,1005001,30817.0,1.97059852,11900.0,2999795.19471,0.001,10.9777061953,1805,0.812077,1846,42459.8669293
2014-03-16,3212,105728.847435,285.781358576,578,1072794,39429.0,2.13373561,12227.0,2934103.66634,0.001,11.7577800815,1909,0.791673,1951,237175.661708
2014-03-17,3020,132390.669648,299.014854056,570,985301,34416.0,2.32474566,11948.0,2872259.52071,0.001,11.3670685365,1798,0.772496,1845,181156.657944
2014-03-18,3065,115500.560726,297.479179983,574,1043850,39252.0,1.79335379,12033.0,2906806.28596,0.001,11.4661288366,1888,0.77927,1936,161130.367769
2014-03-19,3016,126742.224412,314.660963771,571,1084036,35742.0,1.69461168,11841.0,2809860.83767,0.001,10.5200672478,1850,0.750897,1891,160356.132379
2014-03-20,2879,274867.127865,324.071428335,568,923424,42290.0,1.41302348,11703.0,2789965.60371,0.001,10.6053113287,1703,0.743256,1757,339225.309841
2014-03-21,2818,46420.7458763,305.70361493,576,957385,28087.0,1.51820531,12010.0,2728240.0894,0.001,10.5440966933,1732,0.724498,1774,54128.8392152
2014-03-22,2886,120378.362112,299.7529175,576,942981,24618.0,1.58883313,12050.0,2660541.50232,0.001,9.71933561556,1787,0.704266,1820,135934.672309
2014-03-23,3007,60838.7447381,333.143502023,577,1068873,34977.0,1.85235113,11807.0,2711820.8808,0.001,10.2370977543,1807,0.715596,1852,72075.1401531
2014-03-24,3774,91672.5208306,368.682949232,574,1611240,136677.0,2.64496362,11466.0,2736186.11797,0.001,10.7380046328,2155,0.719851,2212,104831.65595
2014-03-25,3483,61942.2666593,402.001463869,574,1201657,78095.0,2.02580276,11209.0,3312496.81937,0.001,11.2757436415,2032,0.868912,2082,72572.1624235
2014-03-26,3315,58696.1805838,450.322259856,570,1135692,39790.0,2.03186693,10782.0,3132970.65342,0.001,10.6233046203,1916,0.819494,1959,66426.3753607
2014-03-27,3239,63516.1018864,418.0201546,573,1127271,32991.0,1.68482459,11091.0,3315444.32597,0.001,11.5657529023,1940,0.864728,1874,74450.7693132
2014-03-28,2899,51918.5086043,445.594079641,578,938486,27851.0,1.53328678,10957.0,2660894.07352,0.001,8.69369624232,1821,0.692062,1670,57190.7667111
2014-03-29,2515,38864.9268038,462.656549294,574,883852,23667.0,1.39914609,10753.0,2734882.79345,0.001,9.03669055433,1685,0.709294,1384,43279.2248499
2014-03-30,3035,71791.4749864,491.334152049,570,927569,30985.0,1.56430547,10518.0,2738563.45122,0.001,8.69062599239,2156,0.708306,1525,79027.2695818
2014-03-31,2841,35668.7091025,449.245992103,574,959521,15608.0,1.55831983,10852.0,2578818.88277,0.001,7.87782743526,1923,0.665123,1583,41011.4211678
