Date,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2016-02-08,7235,,35675.0194462,331,791498,,84.46512,1687121.77083,,0.05,,1820,,1705,
2016-02-09,15783,,148829.140604,359,2807946,,426.9427,7412.56853176,,0.05,,4757,,8580,
2016-02-10,5469,110402.466191,228174.595913,161,1317896,127149.0,235.42523003,3280.34443101,0.0,0.05,17.7978146773,1875,0.953412,4053,124724.002425
2016-02-11,6910,59750.2739921,149393.504022,292,2220122,44529.0,369.59019,6006.83677288,0.0,0.06,17.9143564684,3683,0.990628,6668,69927.1165892
2016-02-12,6857,73994.8345859,142203.52811,371,1390380,41599.0,203.5009,7898.05527544,0.0,0.05,21.6370427468,2219,1.22,3854,90314.9033558
2016-02-13,3004,37732.2911504,215942.487071,286,526738,37094.0,64.88115,6180.52334104,0.0,0.05,22.8669450575,639,1.31,1304,49414.2522803
2016-02-14,3985,52385.8838864,225406.918173,238,824362,15138.0,97.9489,5099.27581632,0.0,0.05,21.0942704574,845,1.13,1687,59569.9486903
2016-02-15,3650,51318.1364968,176440.887917,250,735240,45922.0,100.9396,5358.33006,0.0,0.05,22.0276452564,1333,1.18,1848,62681.264847
2016-02-16,3014,43262.360471,160498.81225,395,829088,59303.0,109.72655,8515.9195128,0.0,0.05,23.5516834616,1609,1.36,1957,52903.1713536
2016-02-17,3413,33075.4043583,251283.064279,282,598848,41295.0,75.7706,6082.28557648,0.0,0.05,24.5742952836,686,1.48,1452,42094.6245037
2016-02-18,2568,23600.4375347,275746.534239,270,495654,31431.0,62.33965,5833.6715828,0.0,0.05,26.297527189,568,1.58,1236,32299.9438327
2016-02-19,2261,20927.7747896,253105.096077,272,439069,18000.0,50.29595,5889.38944008,0.0,0.05,23.5952650362,532,1.43,970,27812.7515834
2016-02-20,6611,96436.8188249,220949.518225,298,1960729,23922.0,110.6219,6396.82753472,0.0,0.01,25.6161370445,4557,1.45,5184,107357.187585
2016-02-21,7603,29225.9937565,246628.295113,311,1126081,27627.0,151.2717,6808.72100669,0.0,0.05,26.934224481,624,1.55,2977,38238.11398
