,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2014-01-10,59,,0.000244140625,59,11218,,0.0,4248000.0,,,,,,0,
2014-01-11,290,,0.000262558415778,1258,274266,,0.54,90576000.0,,0.0,,6.0,,6,
2014-01-12,3700,,0.927893755832,1522,891579,,3.66,31184000.0,,0.0,,2345.0,,2365,
2014-01-13,7175,,4.57664853247,1416,1892876,,5.00000002,22656000.0,,0.0,,6263.0,,6286,
2014-01-14,9611,,6.17734192021,1472,2522440,,8.76,23552000.0,,0.0,,8562.0,,8606,
2014-01-15,7123,,8.83333755943,1488,1957150,,10.3390368,12160000.0,,0.0,,6158.0,,6187,
2014-01-16,6437,,10.139620151,1409,1810118,,10.8201,11272000.0,,0.0,,5599.0,,5629,
2014-01-17,7268,,12.3599573991,1490,2028079,,19.0401,11920000.0,,0.0,,6237.0,,6250,
2014-01-18,10274,,15.2810158609,1414,2627194,,21.50492317,11312000.0,,0.0,,9196.0,,9221,
2014-01-19,15987,,18.6538315189,1515,4499740,,72.02139797,12120000.0,,0.0,,14509.0,,14605,
2014-01-20,13750,,19.1711254107,1305,4088364,,40.97361633,10440000.0,,0.0,,12053.0,,12180,
2014-01-21,14538,,10.0829886954,1425,4034164,,38.73024572,11400000.0,,0.0,,12944.0,,13006,
2014-01-22,16061,,10.7719748353,1431,4443950,,46.92,11448000.0,,0.0,,14827.0,,14876,
2014-01-23,17691,,14.1491489582,1508,5459267,,60.50298813,12064000.0,,0.0,,16131.0,,16246,
2014-01-24,16323,,23.5701781384,1431,4884995,,52.31190942,11448000.0,,0.0,,14759.0,,14846,
2014-01-25,15555,,22.3774700085,1466,4601741,,50.74319952,11728000.0,,0.0,,13823.0,,13893,
2014-01-26,15770,,22.8990186822,1378,4635464,,49.36861888,11024000.0,,0.0,,14192.0,,14273,
2014-01-27,13443,,18.2562338667,1438,3729389,,47.12460878,11504000.0,,0.0,,11996.0,,12040,
2014-01-28,10779,,20.2543668064,1390,3244427,,42.88065545,11120000.0,,0.0,,9229.0,,9323,
2014-01-29,10397,,18.034762522,1482,3041331,,24.90907026,11856000.0,,0.0,,8878.0,,8935,
2014-01-30,7662,,17.8169740594,1347,2488166,,23.99996983,10776000.0,,0.0,,6347.0,,6422,
2014-01-31,6892,,16.9814668579,1470,2017093,,21.6733168,11760000.0,,0.0,,5641.0,,5696,
2014-02-01,6992,,19.0066230297,1388,2691865,,29.76033283,11104000.0,,0.0,,5716.0,,5762,
