Date,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2013-12-08,6990,,0.49441820533,2486,1707027,,4245.6959,1240744202.0,,1.0,,4655,,4665,
2013-12-09,10863,,2.37690357417,1526,2759110,,7641.85360106,761942868.0,,1.0,,9367,,9339,
2013-12-10,12132,,3.36173338859,1417,2971715,,5478.65050542,710930177.0,,1.0,,9561,,9450,
2013-12-11,43044,,5.09298051533,1575,8431778,,2863.19016957,770966106.0,,0.0001,,28074,,28951,
2013-12-12,61432,,7.27743561459,1460,13549784,,954.04911307,698818257.0,,0.0001,,40245,,44036,
2013-12-13,64759,,9.75423077792,1590,14896480,,2052.73151398,787422756.0,,0.0001,,48925,,50657,
2013-12-14,98292,,17.8385246487,1555,24502291,,1724.45333574,776751325.0,,0.0001,,78988,,80424,
2013-12-15,157712,2621350.03259,36.8633035944,1670,40722710,0.0,399098.336028,834560247.0,3677207.04698,0.0001,3.62134450723,124968,0.000559,128955,15152060.7887
2013-12-16,127087,784465.963375,81.5244964711,1545,30370178,0.0,3890423.27865,791014644.0,2201055.68293,0.0001,0.30870794695,89664,0.000299,94694,21465162.9071
2013-12-17,131166,648366.780172,107.799270954,1444,26736025,0.0,374.49340192,707277501.0,1669611.2119,0.0001,0.24463057997,90932,0.000207,92528,2575472.1562
2013-12-18,134838,1052711.31515,135.952246647,1493,29189764,0.0,5188.43440385,739786847.0,2352065.69337,0.0001,1.22310146754,94616,0.000267,95216,3789441.18208
2013-12-19,248993,2100675.54072,215.996910789,1581,60808521,0.0,4689.41557583,771582898.0,3790347.59466,0.0001,3.34556296175,198885,0.000395,192523,10919230.6999
2013-12-20,255225,3403902.1873,332.268261525,1494,62215562,0.0,1412.57905471,758765431.0,11826700.5554,0.0001,30.7361778665,314334,0.001143,199950,50441971.0138
2013-12-21,226438,2339533.42154,349.595069609,1418,49588061,0.0,1842.71322368,726686334.0,7746754.31472,0.0001,57.3173540696,166880,0.0007,167414,27934092.8902
2013-12-22,210197,1252195.46002,327.980727775,1393,45628001,0.0,1341.83389603,700004797.0,4600880.86349,0.0001,43.5952815556,157774,0.000391,158224,14860540.0915
2013-12-23,197803,1007073.92543,321.195655154,1480,41837129,0.0,1234.36398376,734348244.0,3917561.43902,0.0001,39.2077087846,156423,0.000313,149008,12741031.2674
2013-12-24,176977,1918051.40926,398.555517276,1458,38892970,0.0,1089.82450371,727433683.0,5953603.64431,0.0001,45.0,122691,0.00045,126443,14600987.6813
2013-12-25,244147,2495243.49897,441.602329732,1470,39518980,0.0,855.74549395,730638124.0,9576516.7598,0.0001,86.7273195906,194036,0.000686,131133,24691477.8122
2013-12-26,286503,1703473.05482,431.825575618,1429,68392091,0.0,14802.2908991,713324497.0,8631118.18605,0.0001,64.3782339424,1097171,0.000588,125828,18865055.904
2013-12-27,173620,1891399.39436,426.648824876,1373,37771678,477422.0,47260.0128444,683197526.0,9260559.7931,0.0001,42.9878687095,131932,0.000603,133542,19117491.3978
2013-12-28,149526,1671592.74997,437.552363116,1444,31799281,341581.0,38676.2920018,718112583.0,8418418.46623,0.0001,79.2972308562,112068,0.000524,113776,16034986.4983
2013-12-29,160057,1511904.08209,385.165456287,1423,33037206,360974.0,37271.6310425,717340085.0,7718799.78634,0.0001,65.5797465395,126795,0.000459,116612,13280687.8223
2013-12-30,157988,1600446.08858,364.304787637,1412,33722860,276660.0,58368.5124157,708484813.0,7899723.51923,0.0001,69.742077412,120288,0.000452,122836,14113717.6856
2013-12-31,141755,1601593.24556,345.960671629,1422,30123830,273400.0,53396.4810747,703929399.0,7616771.23697,0.0001,73.2682725634,108630,0.000418,108639,12408014.5063
2014-01-01,142092,1638544.11461,357.264060713,1453,30408529,307917.0,56073.0714057,743166326.0,8012970.71591,0.01013265,68.3418674839,107165,0.000423,110500,13560793.9733
