Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-12-01,5635,,,,,6483,
2017-12-02,729,,,,,1036,
2017-12-03,894,1142060.0,0.0,363.092494453,0.260317,1177,3501682.60597
2017-12-04,619,592937.0,0.0,751.3506,0.27027,763,55948406.4779
2017-12-05,432,461626.0,0.0,550.790831488,0.243052,504,2037589.49764
2017-12-06,262,327862.0,54590040.6173,634.066467032,0.228964,305,765500.110354
2017-12-07,313,431774.0,55658886.6693,501.91105,0.233447,387,810559.479345
2017-12-08,990,1560460.0,84842446.9875,462.605,0.35585,1243,3847611.73192
2017-12-09,761,758682.0,105555591.767,464.8623,0.442726,908,2804474.38974
2017-12-10,660,443550.0,102495923.202,429.893,0.429893,728,1373845.14904
2017-12-11,696,621039.0,95202833.8775,399.304,0.399304,789,2102414.54249
2017-12-12,640,985551.0,90699758.8148,397.146762479,0.380417,751,2232156.4281
2017-12-13,718,736731.0,109764453.891,453.857271086,0.460379,823,2294341.29241
2017-12-14,489,539000.0,103780301.684,436.80348,0.43528,562,1270327.46715
2017-12-15,689,499531.0,102685944.895,412.382571288,0.43069,799,1668080.35351
2017-12-16,666,591577.0,99243847.7265,363.388869,0.416253,789,1947048.68002
2017-12-17,1486,2841200.0,130848106.368,413.798693146,0.548809,1914,5423979.36507
2017-12-18,2004,4383170.0,174528485.64,451.593885,0.734299,2655,7468801.70484
2017-12-19,1992,4642800.0,278655383.05,747.472641437,1.17,2467,15187681.6376
2017-12-20,1171,2862170.0,235378245.358,971.696608927,0.987234,1323,9851310.54978
2017-12-21,1120,1137010.0,233773665.473,392.205522016,0.980504,1177,5118431.52595
2017-12-22,1092,1351870.0,226957898.377,606.800281741,0.951917,1206,6713403.86457
2017-12-23,1109,2173300.0,191197705.95,508.248468927,0.80193,1285,4870315.61401
2017-12-24,749,1570190.0,208610614.016,651.84818,0.874964,906,2983073.86763
2017-12-25,717,1934050.0,204693341.799,535.634211396,0.858534,850,3218056.38706
2017-12-26,901,2233780.0,201839907.769,660.32148,0.846566,996,5993028.26639
2017-12-27,968,2234530.0,219876765.715,525.66369,0.922217,1075,6155804.13287
2017-12-28,902,2505870.0,202336302.699,643.187773256,0.848648,1061,4007079.68371
2017-12-29,1136,3421320.0,215223485.033,579.52067193,0.9027,1312,6126810.07502
2017-12-30,889,2259960.0,214315574.521,494.98386872,0.898892,998,4636804.03574
2017-12-31,1537,6452750.0,202499058.845,593.1989,0.847427,1866,6455366.4943
2018-01-01,1909,10405100.0,330971948.276,764.5,1.39,2403,23485176.694
2018-01-02,2594,21727200.0,467755983.827,978.04,1.96,3429,27471237.5127
2018-01-03,1656,14808700.0,633684504.137,1325.96345,2.66,1922,20928965.7608
2018-01-04,1407,8249550.0,661968961.461,796.758564,2.78,1433,7545264.40115
2018-01-05,1664,15285000.0,636924766.172,1182.069609,2.67,1613,17487485.0594
2018-01-06,1601,14449200.0,751675345.221,939.70767281,3.15,1502,11557635.5923
2018-01-07,2591,22543000.0,1026884580.23,1215.675583,4.31,2716,42635593.6282
2018-01-08,1685,12855100.0,1091797357.88,1062.123068,4.58,1686,16040077.0412
2018-01-09,1928,23710100.0,1003925296.82,1048.56443209,4.21,1779,19165703.2477
2018-01-10,2145,16877500.0,1221532432.71,915.085860352,5.12,2075,21513470.1501
2018-01-11,1870,11370700.0,1131265104.41,1376.97,4.74,1772,38379159.7173
2018-01-12,1726,7709280.0,909337363.128,744.672068565,3.81,1714,8614463.63832
2018-01-13,1554,10089700.0,1043591054.36,1037.962326,4.38,1561,13426178.3006
2018-01-14,1332,6793310.0,977157435.757,820.0,4.1,1289,8357634.4709
2018-01-15,1183,8476080.0,887406779.052,933.166836,3.72,1125,9217963.5489
2018-01-16,1351,9082720.0,777165840.888,847.6,3.26,1251,6379100.41521
2018-01-17,1509,7666870.0,671359039.616,631.68,2.82,1542,6208176.19509
2018-01-18,1518,6580280.0,780904094.033,663.941781,3.27,1481,14149215.0628
2018-01-19,1892,4365230.0,721606961.38,672.206712,3.03,2062,9889697.33255
2018-01-20,1252,5276380.0,720679484.545,647.19053,3.02,1309,8380293.22394
2018-01-21,1103,3738050.0,740254047.079,529.51919437,3.1,1106,10408501.7446
2018-01-22,1060,3921250.0,643840216.941,730.221615,2.7,1150,5706396.42426
2018-01-23,1021,3391630.0,606431581.004,639.755642,2.54,1064,7137750.5489
2018-01-24,974,4067940.0,579302810.365,551.087793,2.43,1001,3730147.52224
2018-01-25,955,4509670.0,582692911.459,885.286412,2.44,1065,8044414.42924
2018-01-26,954,3836800.0,531007618.502,701.345927,2.23,1009,4776030.12528
2018-01-27,1112,6334040.0,543581753.614,720.710622,2.28,1292,9706828.61071
2018-01-28,1057,5412030.0,690528414.316,621.612825,2.9,1142,5093043.03795
2018-01-29,889,5241770.0,670606941.728,955.4,2.81,957,5471220.58059
2018-01-30,1636,4674080.0,613937314.833,307.02,2.58,1751,9157072.51263
2018-01-31,1036,3516870.0,524869328.969,457.6,2.2,1087,2549153.89729
2018-02-01,928,3899860.0,534488060.102,739.3232,2.24,1000,7397068.75586
2018-02-02,1095,6316130.0,470534646.161,794.09715,1.97,1256,8532126.32654
2018-02-03,885,3883380.0,448543219.542,532.50624,1.88,1007,3789788.65388
2018-02-04,720,2900980.0,479874015.522,559.65234,2.01,784,2692753.92124
2018-02-05,911,3969650.0,377974342.875,688.952088,1.59,985,5151877.52389
2018-02-06,1043,5385540.0,305740852.0,548.610432,1.28,1115,2812017.95079
2018-02-07,761,3328500.0,377782495.021,599.960901,1.59,819,4587214.18005
2018-02-08,613,2263900.0,338677986.795,410.28841,1.42,689,2029086.45504
2018-02-09,668,2347860.0,362941532.327,454.48,1.52,643,1198975.32205
2018-02-10,890,3225700.0,379503963.31,516.75,1.59,1047,5503571.80779
2018-02-11,657,2401000.0,346162519.185,434.7908375,1.45,704,1095061.63771
2018-02-12,752,3299450.0,328199721.464,412.62,1.38,833,1466460.78547
2018-02-13,627,2674410.0,395556830.688,600.92,1.66,723,2188058.51276
2018-02-14,671,4000780.0,365599461.618,535.5,1.53,693,3051236.33889
2018-02-15,650,3406740.0,485681271.464,660.042256557,2.04,734,2655770.01466
2018-02-16,668,3665130.0,459209688.238,579.0,1.93,713,5609769.86152
2018-02-17,708,2359780.0,451081535.507,421.5645,1.89,721,2508384.96836
2018-02-18,526,2108840.0,473615594.514,503.47,1.99,494,1184899.01427
2018-02-19,627,2375640.0,431140159.67,430.964907251,1.81,625,3457810.62532
2018-02-20,806,4563910.0,440980343.506,707.551909571,1.85,778,2882722.91147
2018-02-21,652,2865930.0,366116390.428,683.675569465,1.54,660,3560615.43492
2018-02-22,674,2666600.0,348200461.708,510.467156237,1.46,706,1956525.42268
2018-02-23,493,2164630.0,310729761.986,351.754,1.3,530,1429038.96598
2018-02-24,508,1697040.0,349709195.422,455.7,1.47,517,2140792.19614
2018-02-25,459,1758350.0,319083169.583,471.6666,1.34,475,913679.156928
