Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-12-18,3,,,,,2,
2017-12-19,41,,,,,42,
2017-12-20,72,,,,,71,
2017-12-21,907,83836704.0,0.0,33246.4,1.1,1351,314902180.905
2017-12-22,290,47206300.0,0.0,14505.12,1.12,291,44224296.6545
2017-12-23,194,146587008.0,0.0,4011.77528151,0.814893,192,13699331.4485
2017-12-24,220,109527000.0,0.0,5044.95,1.11,229,20612502.8475
2017-12-25,228,141999008.0,0.0,5652.4,1.04,259,18789793.4554
2017-12-26,246,96674400.0,0.0,3776.03,1.07,363,18698431.5792
2017-12-27,267,101350000.0,289787155.963,4619.12,1.16,362,13364522.8497
2017-12-28,214,83430600.0,272500000.0,4694.63,1.09,272,19988337.3811
2017-12-29,201,104384000.0,245672311.827,2454.997299,0.979257,278,8792335.65874
2017-12-30,214,73298200.0,252500000.0,3027.97798,1.01,286,7334006.97262
2017-12-31,170,125966000.0,220021089.675,2110.84651236,0.878205,233,1846966.96491
2018-01-01,203,102594000.0,247530299.029,4960.472836,0.993784,258,6585532.5967
2018-01-02,261,94632304.0,260361523.81,3883.36,1.04,342,17892677.9739
2018-01-03,310,112121000.0,262673177.083,3152.322075,1.05,460,13530246.1702
2018-01-04,442,175774000.0,356835792.35,2961.985455,1.43,794,19072284.4654
2018-01-05,16322,145088000.0,444131575.758,1.78,1.78,16909,12602265.3779
2018-01-06,415,142120000.0,412304166.667,2553.39644984,1.65,495,7839523.28939
2018-01-07,568,257380992.0,494591625.0,3847.14,1.98,911,24129557.317
2018-01-08,425,193158000.0,586159166.667,2335.32,2.34,554,14621964.7473
2018-01-09,383,190280992.0,542488883.197,2569.714,2.17,482,11343665.6839
2018-01-10,433,144928000.0,611108557.692,1890.268,2.44,527,12552230.2814
2018-01-11,319,125951000.0,519029850.746,2080.621296,2.08,351,4445608.93532
2018-01-12,395,92879000.0,505061131.579,3151.69995,2.02,584,8900197.71765
2018-01-13,374,110863000.0,474727459.016,2850.0,1.9,497,10791899.7681
2018-01-14,333,87942000.0,455016347.305,2578.71068,1.82,390,9557567.73808
2018-01-15,353,87526600.0,415335661.765,3210.03496,1.66,451,9088255.15432
2018-01-16,371,81588400.0,339822201.835,2314.1692,1.36,442,10590599.6332
2018-01-17,358,77727200.0,269738372.093,1597.27464,1.08,379,5039861.92092
2018-01-18,328,100792000.0,324634963.768,1526.38915,1.3,404,5005544.79752
2018-01-19,331,110191000.0,341974693.252,1458.40747,1.37,375,3481305.26381
2018-01-20,344,73716000.0,406008409.091,2371.41918,1.62,436,5171020.84804
2018-01-21,329,98559504.0,494235569.62,3395.6999998,1.98,463,10021737.5071
2018-01-22,289,90484304.0,401074125.874,2035.392,1.6,352,5904591.31996
2018-01-23,215,95158000.0,356917500.0,1466.162555,1.43,256,2223794.676
2018-01-24,435,176700992.0,354288027.778,3233.34,1.42,695,17430745.7006
2018-01-25,632,306731008.0,447714956.332,3828.184395,1.79,1248,16667230.8209
2018-01-26,366,200738000.0,572393169.856,3407.32764,2.29,573,12162099.0311
2018-01-27,298,149428000.0,523164512.821,1550.78,2.09,471,4415943.85697
2018-01-28,280,147646000.0,493029623.116,3881.491,1.97,428,5545732.16758
2018-01-29,306,146344992.0,496407869.048,2844.1824061,1.99,412,13115086.0264
2018-01-30,309,131353000.0,517416724.138,2645.147844,2.07,439,8469889.26876
2018-01-31,283,175035008.0,436595531.088,2147.4845,1.75,386,40908422.1849
2018-02-01,605,185272000.0,486055588.235,1320.41444,1.94,847,8278894.64676
2018-02-02,327,93876096.0,424494811.321,4249.99999983,1.7,439,10872486.4055
2018-02-03,245,75581904.0,397970659.509,1749.157092,1.59,333,6275063.27439
2018-02-04,254,49945300.0,406221798.561,2326.825,1.63,348,3934316.07441
2018-02-05,309,34179900.0,343018551.402,3458.38279,1.37,437,7366006.91223
2018-02-06,336,42383700.0,266726531.008,2989.14879,1.07,461,3405884.18392
2018-02-07,279,43931000.0,321415966.387,2763.18,1.29,359,3744232.52622
2018-02-08,130,32603300.0,295866562.5,1206.862818,1.18,111,348954.554441
2018-02-09,269,41205000.0,322132111.111,2260.684881,1.29,453,7419754.02414
2018-02-10,345,40916500.0,338390778.689,1273.7898,1.35,439,4048893.13432
2018-02-11,303,35072900.0,304651814.159,725.496715995,1.22,353,5463738.05514
2018-02-12,227,35150000.0,282637689.076,1130.0,1.13,236,3677540.6567
2018-02-13,147,20446200.0,298666513.158,1178.1,1.19,162,1475210.12162
2018-02-14,165,18454700.0,284861818.182,3411.573804,1.14,191,2657821.54948
2018-02-15,268,23015500.0,329496923.077,270.166479322,1.32,288,2084552.50633
2018-02-16,165,18476700.0,356888953.901,1269.84,1.43,183,2443170.44731
2018-02-17,191,18496700.0,351780805.369,1644.16609525,1.41,218,3354669.37928
2018-02-18,177,25955400.0,372406875.0,1878.6473237,1.49,205,2090092.55187
2018-02-19,167,17262600.0,368340334.395,776.195574,1.47,152,6711891.72607
2018-02-20,201,19347700.0,395234275.862,1430.69,1.58,202,1534093.03179
2018-02-21,145,15763500.0,363325384.615,1965.0835,1.45,169,1507539.25016
2018-02-22,267,15460500.0,323852182.54,802.37664,1.3,373,4511615.01309
2018-02-23,602,18534900.0,311929450.758,734.450375,1.25,970,6981958.06222
2018-02-24,237,14462300.0,330906829.268,229.13616,1.32,229,102927425.778
2018-02-25,158,10710300.0,307906525.424,1346.426265,1.23,142,1505061.99568
2018-02-26,163,13658300.0,295768487.395,1936.41776,1.18,196,2558409.06265
2018-02-27,181,16407700.0,299346610.169,1509.0,1.2,190,2052951.88794
2018-02-28,198,11133600.0,294176126.126,248.39,1.18,277,1829042.17071
2018-03-01,157,13889600.0,277535883.621,1939.384674,1.11,187,1521164.47102
2018-03-02,188,11975500.0,290922500.0,842.88152,1.16,210,1581240.79629
2018-03-03,162,14035500.0,289882619.048,2008.1253,1.16,302,2066003.96826
