,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-10-12,6116,,,,,6830,
2017-10-13,3815,,,,,3485,
2017-10-14,1160,,,,,1158,
2017-10-15,681,,,,,618,
2017-10-16,541,,,,,562,
2017-10-17,471,,,,,459,
2017-10-18,369,,,,,375,
2017-10-19,293,,,,,322,
2017-10-20,314,,,,,292,
2017-10-21,174,,,,,167,
2017-10-22,235,,,,,195,
2017-10-23,194,,,,,168,
2017-10-24,206,,,,,198,
2017-10-25,332,,,,,317,
2017-10-26,205,,,,,182,
2017-10-27,187,,,,,161,
2017-10-28,127,,,,,113,
2017-10-29,144,,,,,129,
2017-10-30,171,,,,,151,
2017-10-31,155,,,,,121,
2017-11-01,264,,,,,241,
2017-11-02,214,,,,,196,
2017-11-03,145,,,,,121,
2017-11-04,73,,,,,63,
2017-11-05,141,,,,,126,
2017-11-06,121,,,,,103,
2017-11-07,168,,,,,144,
2017-11-08,154,,,,,139,
2017-11-09,183,,,,,179,
2017-11-10,166,,,,,144,
2017-11-11,104,,,,,76,
2017-11-12,101,,,,,99,
2017-11-13,147,,,,,123,
2017-11-14,128,,,,,114,
2017-11-15,117,,,,,105,
2017-11-16,127,,,,,105,
2017-11-17,133,,,,,138,
2017-11-18,125,,,,,101,
2017-11-19,150,,,,,128,
2017-11-20,123,,,,,110,
2017-11-21,129,,,,,93,
2017-11-22,677,,,,,573,
2017-11-23,260,,,,,205,
2017-11-24,146,,,,,122,
2017-11-25,141,,,,,131,
2017-11-26,181,,,,,164,
2017-11-27,131,,,,,111,
2017-11-28,195,,,,,164,
2017-11-29,187,,,,,160,
2017-11-30,2480,,,,,3897,
2017-12-01,407,,,,,535,
2017-12-02,238,,,,,276,
2017-12-03,324,,,,,351,
2017-12-04,255,,,,,341,
2017-12-05,140,,,,,147,
2017-12-06,174,,,,,281,
2017-12-07,200,,,,,275,
2017-12-08,566,,,,,667,
2017-12-09,1508,,,,,1556,
2017-12-10,194,,,,,212,
2017-12-11,281,,,,,366,
2017-12-12,225,,,,,322,
2017-12-13,208,,,,,301,
2017-12-14,209,,,,,291,
2017-12-15,185,,,,,273,
2017-12-16,215,,,,,316,
2017-12-17,352,,,,,507,
2017-12-18,329,,,,,450,
2017-12-19,331,,,,,526,
2017-12-20,254,,,,,392,
2017-12-21,451,,,,,566,
2017-12-22,250,,,,,340,
2017-12-23,306,,,,,469,
2017-12-24,326,,,,,560,
2017-12-25,945,,,,,1451,
2017-12-26,549,,,,,959,
2017-12-27,535,,,,,896,
