Date,activeaddresses,blockcount,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2017-06-20,2.0,,,,,1.0,,1.0,
2017-06-21,,,,,,,,,
2017-06-22,,,,,,,,,
2017-06-23,,,,,,,,,
2017-06-24,,,,,,,,,
2017-06-25,,,,,,,,,
2017-06-26,,,,,,,,,
2017-06-27,,,,,,,,,
2017-06-28,,,,,,,,,
2017-06-29,,,,,,,,,
2017-06-30,,,,,,,,,
2017-07-01,,,13613000.0,0.0,,,1.03,,
2017-07-02,8274.0,,320452000.0,0.0,303.374325532,13430.0,0.996521,13430.0,43805833.2079
2017-07-03,12510.0,,414950016.0,435552942.279,248.805591061,25440.0,2.72,25440.0,115767930.243
2017-07-04,7174.0,,218559008.0,669328232.552,66.1009344418,15360.0,4.1,15360.0,64268039.193
2017-07-05,5758.0,,124339000.0,560701592.64,3.36,13733.0,3.36,13733.0,77512692.3777
2017-07-06,9250.0,,177463008.0,509157190.521,31.239285,20241.0,3.01,20241.0,96279511.9036
2017-07-07,5357.0,,96596496.0,575649024.304,60.1149599405,11415.0,3.35,11415.0,47604785.3616
2017-07-08,3824.0,,151162000.0,532857517.274,56.4,8490.0,2.82,8490.0,82262221.4372
2017-07-09,4472.0,,87525104.0,536670870.742,80.6,8924.0,2.6,8924.0,88548363.1793
2017-07-10,7129.0,,79608800.0,469612058.607,292.5,11608.0,2.25,11608.0,42827979.9981
2017-07-11,8069.0,,111023000.0,375736916.982,197.035685812,13162.0,1.79,13162.0,66540266.169
2017-07-12,11870.0,,104621000.0,349336241.546,307.9798968,18155.0,1.64,18155.0,86440534.9106
2017-07-13,4446.0,,51203900.0,446072451.126,83.2,8664.0,2.08,8664.0,24739184.2788
2017-07-14,4836.0,,41025200.0,376673103.135,112.171315707,10261.0,1.73,10261.0,26216280.8565
2017-07-15,3551.0,,34208800.0,342147383.923,84.3295945,7194.0,1.55,7194.0,18677267.6436
2017-07-16,2884.0,,30802800.0,287649603.552,11.61,7227.0,1.29,7227.0,14510090.0731
2017-07-17,2809.0,,62295100.0,279980094.156,0.625,7914.0,1.25,7914.0,12352143.679
2017-07-18,2850.0,,58108000.0,347780331.541,0.0,8893.0,1.54,8893.0,18354027.8538
2017-07-19,2896.0,,55057600.0,387936348.269,0.0,8208.0,1.7,8208.0,27620826.7512
2017-07-20,2804.0,,45949800.0,362706410.466,17.113,6403.0,1.57,6403.0,23032064.1422
2017-07-21,3471.0,,58164900.0,409047898.286,10.56,8498.0,1.76,8498.0,20821369.8318
2017-07-22,6290.0,,41809000.0,426742682.786,182.0,11755.0,1.82,11755.0,27790392.2442
