,activeaddresses,averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2015-07-30,,121335493201.0,6911,4449897,,,39311.09375,,,,,,,
2015-07-31,,602941851594.0,6863,3994458,,,36191.71875,,,,,,,
2015-08-01,,887254173531.0,5293,3044344,,,27702.1875,,,,,,,
2015-08-02,,1020253707550.0,5358,3112348,,,28227.1875,,,,,,,
2015-08-03,,1125837358850.0,5280,3099953,,,27976.71875,,,,,,,
2015-08-04,,1216587344570.0,5368,3150854,,,28478.4375,,,,,,,
2015-08-05,,1327837857490.0,5235,3030780,,,27528.59375,,,,,,,
2015-08-06,,1380846362250.0,5116,2986060,,,27075.46875,,,,,,,
2015-08-07,1086.0,1470838650660.0,5189,3282693,,37.3184135113,27437.65625,,0.00132077886624,,1977.0,,2050.0,
2015-08-08,826.0,1586123528940.0,5256,3508878,,68.0999700719,27943.4375,,0.00124319442967,,1973.0,,2881.0,
2015-08-09,732.0,1709479787480.0,5123,3167541,,14.0989497032,27178.28125,,0.00122301053332,,1213.0,,1329.0,
2015-08-10,1001.0,1837695763270.0,5255,3316883,,31.1651444384,27817.34375,,0.00122826248427,,1451.0,,2037.0,
2015-08-11,2342.0,2036390797500.0,5280,3653834,,11.311448586,28027.8125,,0.00121796486677,,3029.0,,4963.0,
2015-08-12,906.0,2207079742290.0,5124,3348157,,32.5869924044,27370.9375,,0.00124406951189,,1479.0,,2036.0,
2015-08-13,1274.0,2336979708060.0,5286,3519008,,24.9291691099,28268.125,,0.00121009572004,,2486.0,,2842.0,
2015-08-14,1594.0,2671253150470.0,5809,3832496,,14.3548341128,31106.71875,,0.00121011072806,,3015.0,,3174.0,
2015-08-15,1313.0,3378028425870.0,5382,3435520,,8.83659302805,28512.65625,,0.00120976066167,,2170.0,,2284.0,
