,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2015-07-30,,,121335493201.0,6911,4449897,,,39311.09375,,,,,,,
2015-07-31,,,602941851594.0,6863,3994458,,,36191.71875,,,,,,,
2015-08-01,,,887254173531.0,5293,3044344,,,27702.1875,,,,,,,
2015-08-02,,,1020253707550.0,5358,3112348,,,28227.1875,,,,,,,
2015-08-03,,,1125837358850.0,5280,3099953,,,27976.71875,,,,,,,
2015-08-04,,,1216587344570.0,5368,3150854,,,28478.4375,,,,,,,
2015-08-05,,,1327837857490.0,5235,3030780,,,27528.59375,,,,,,,
2015-08-06,,,1380846362250.0,5116,2986060,,,27075.46875,,,,,,,
2015-08-07,1086.0,5684487.22712,1470838650660.0,5189,3282693,164329.0,37.3184135113,27437.65625,170219447.888,0.00132077886624,41.6117128722,1977.0,2.83,2050.0,5684487.22712
2015-08-08,826.0,37899681.7885,1586123528940.0,5256,3508878,674188.0,68.0999700719,27943.4375,168464386.898,0.00124319442967,0.279,1973.0,2.79,2881.0,37899681.7885
2015-08-09,732.0,823605.517746,1709479787480.0,5123,3167541,532170.0,14.0989497032,27178.28125,42655638.7617,0.00122301053332,7.06136,1213.0,0.706136,1329.0,823605.517746
2015-08-10,1001.0,1194050.4877,1837695763270.0,5255,3316883,405283.0,31.1651444384,27817.34375,43153260.2167,0.00122826248427,0.359784483416,1451.0,0.713989,2037.0,1194050.4877
2015-08-11,2342.0,1053129.87257,2036390797500.0,5280,3653834,1463100.0,11.311448586,28027.8125,42729601.3384,0.00121796486677,0.0340063030272,3029.0,0.708087,4963.0,1053129.87257
2015-08-12,906.0,797474.189141,2207079742290.0,5124,3348157,2150620.0,32.5869924044,27370.9375,63986648.9016,0.00124406951189,7.63496196467,1479.0,1.06,2036.0,797474.189141
