,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-06-27,2,,,,,1,
2017-06-28,297,,,,,317,
2017-06-29,117,,,,,122,
2017-06-30,96,,,,,97,
2017-07-01,48,,,,,50,
2017-07-02,97,,,,,108,
2017-07-03,79,,,,,80,
2017-07-04,52,,,,,58,
2017-07-05,298,,,,,316,
2017-07-06,404,,,,,453,
2017-07-07,246,,,,,263,
2017-07-08,183,,,,,202,
2017-07-09,205,,,,,223,
2017-07-10,79,,,,,84,
2017-07-11,83,,,,,88,
2017-07-12,85,,,,,88,
2017-07-13,370,,,,,416,
2017-07-14,719,,,,,871,
2017-07-15,498,,,,,608,
2017-07-16,636,,,,,742,
2017-07-17,209,,,,,236,
2017-07-18,193,61497.0,4578224.44099,335.798042536,0.06865,242,491764.959648
2017-07-19,182,69380.0,3787978.84187,279.035680031,0.0568,216,296786.887298
2017-07-20,296,64516.0,4481867.59283,661.24,0.066124,344,268624.238116
2017-07-21,101,34470.0,3584257.34173,217.658195995,0.052881,126,66652.557919
2017-07-22,88,23393.0,4133007.23787,304.89,0.060978,91,102670.883724
2017-07-23,76,29665.0,4087961.83429,203.904717222,0.060313,92,65957.1137382
2017-07-24,87,30338.0,3836524.98665,296.075310186,0.056603,110,78957.3635072
2017-07-25,76,12101.0,3114559.95754,229.76,0.045952,91,71397.8732642
2017-07-26,601,14125.0,3403345.67314,24.0631126863,0.049604,611,120886.541108
2017-07-27,86,23320.0,3119496.27648,208.244816063,0.045467,97,52859.7827891
2017-07-28,53,23079.0,2949035.57749,361.048799993,0.042982,54,31693.4322459
2017-07-29,63,24330.0,2646890.20245,85.0846712023,0.038578,70,31394.2221954
2017-07-30,87,34094.0,2965267.03874,201.40480269,0.043219,99,29049.8711566
2017-07-31,67,21423.0,2907502.27451,127.131,0.042377,70,24554.0171265
2017-08-01,59,31951.0,2569622.49382,182.634817507,0.037452,48,16861.1157107
2017-08-02,1506,26129.0,2891909.24917,12.4338290588,0.042149,1544,6122371.30911
2017-08-03,427,35677.0,2871030.67393,16.4588666215,0.041845,465,51518.7129229
2017-08-04,243,27831.0,3013864.79083,17.2297892428,0.043927,273,51313.3301763
2017-08-05,233,78172.0,3284529.04457,58.8102080147,0.047872,245,70785.5043471
2017-08-06,413,110909.0,5374697.53173,64.5754504574,0.067007,524,217396.626998
2017-08-07,793,618445.0,8090971.75323,180.8986025,0.100639,1168,784482.920254
2017-08-08,410,266988.0,12537464.6182,346.0304111,0.177745,560,2635233.78266
2017-08-09,245,222484.0,13018944.9543,239.757729,0.184571,345,327823.554927
2017-08-10,289,365852.0,12044289.7527,330.748740102,0.170729,484,533090.608926
2017-08-11,804,1337950.0,15772305.8926,223.350426,0.223574,1174,3125061.38572
2017-08-12,1129,2246300.0,35352168.3943,501.224,0.501224,1740,3259618.50685
2017-08-13,1048,1902750.0,73576197.0328,1021.28,1.04,1508,5301583.53048
2017-08-14,581,1201880.0,53024526.3059,534.351999375,0.749502,767,2276693.78418
2017-08-15,420,975342.0,56833846.7699,584.98831633,0.80329,541,3665744.34446
2017-08-16,576,1380050.0,50239362.3028,538.839147114,0.709933,727,2075216.65072
2017-08-17,845,2583040.0,66819138.9706,823.87980115,0.940835,1157,5222352.41201
2017-08-18,608,1942910.0,82473999.9828,966.49721766,1.17,845,4155300.31891
2017-08-19,419,993767.0,81354601.8,1011.425,1.15,520,2261288.75906
2017-08-20,576,856033.0,87833476.931,818.1768,1.24,719,3398275.22059
2017-08-21,767,1001250.0,81826804.9455,992.454124,1.16,875,3533388.91899
2017-08-22,437,955651.0,77771637.0588,809.6,1.1,643,2840210.98163
2017-08-23,348,707674.0,72183454.8265,834.914914007,1.02,437,1562242.45425
