,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-06-27,,8783.0,0.0,,0.01741,,
2017-06-28,,28676.0,0.0,,0.014053,,
2017-06-29,,46736.0,0.0,,0.018567,,
2017-06-30,,177531.0,0.0,,0.020367,,
2017-07-01,,109529.0,0.0,,0.337854,,
2017-07-02,,96684.0,73652585.94,,0.019183,,
2017-07-03,,96913.0,345600200.691,,0.090013,,
2017-07-04,,323348.0,94387402.5803,,0.024583,,
2017-07-05,,4821760.0,72953641.1197,,0.019001,,
2017-07-06,,3178290.0,87841020.4852,,0.022878,,
2017-07-07,2805.0,1493760.0,76429230.9853,647.694152,0.019907,5971.0,645343305.774
2017-07-08,,825656.0,51650266.0982,,0.013453,,
2017-07-09,,1276830.0,49648507.9222,,0.012931,,
2017-07-10,,935060.0,47413923.6886,,0.012349,,
2017-07-11,,2749220.0,46881046.1623,,0.01221,,
2017-07-12,,1315430.0,59454419.82,,0.015485,,
2017-07-13,,826019.0,69089779.8062,,0.017995,,
2017-07-14,,363148.0,58158606.7455,,0.015147,,
2017-07-15,131.0,292390.0,49267992.5801,360.40247128,0.012832,214.0,510577.929505
2017-07-16,202.0,424293.0,39990470.563,176.2199712,0.010416,329.0,804334.725187
2017-07-17,160.0,580590.0,42267010.4832,164.584384865,0.011009,216.0,633890.6047
2017-07-18,159.0,557570.0,49527621.5324,230.1773058,0.0129,218.0,730796.249256
2017-07-19,165.0,594138.0,50939490.5744,313.106785011,0.013267,214.0,621982.769944
2017-07-20,142.0,518285.0,43985241.3627,195.515397658,0.011456,194.0,4149286.21413
2017-07-21,129.0,734587.0,47692962.5865,235.872725723,0.012422,167.0,426078.93389
2017-07-22,142.0,604149.0,42792263.839,100.305,0.011145,195.0,412454.475767
2017-07-23,175.0,714335.0,44792485.8869,129.013598415,0.011666,216.0,605716.471502
2017-07-24,204.0,1074080.0,52136868.0395,196.141105076,0.013579,285.0,785778.527298
2017-07-25,154.0,541693.0,50292671.1033,209.58386901,0.013099,205.0,4758936.3586
2017-07-26,152.0,513288.0,42542054.819,207.943977591,0.01108,193.0,639742.690729
