,activeaddresses,exchangevolume(usd),fees,marketcap(usd),price(usd),txcount,txvolume(usd)
2016-10-17,2.0,,10000.0,,,5.0,
2016-10-18,93.0,,0.0,,,192.0,
2016-10-19,134.0,,500.0,,,265.0,
2016-10-20,122.0,,0.0,,,268.0,
2016-10-21,110.0,,0.0,,,275.0,
2016-10-22,87.0,,0.0,,,209.0,
2016-10-23,63.0,,0.0,,,142.0,
2016-10-24,92.0,,0.0,,,204.0,
2016-10-25,195.0,,0.0,,,393.0,
2016-10-26,93.0,,0.0,,,166.0,
2016-10-27,86.0,,17000.0,,,165.0,
2016-10-28,81.0,,20500.0,,,173.0,
2016-10-29,75.0,,0.0,,,211.0,
2016-10-30,64.0,,0.0,,,100.0,
2016-10-31,76.0,,0.0,,,176.0,
2016-11-01,57.0,,0.0,,,119.0,
2016-11-02,39.0,,0.0,,,70.0,
2016-11-03,32.0,,0.0,,,70.0,
2016-11-04,31.0,,10000.0,,,46.0,
2016-11-05,28.0,,0.0,,,51.0,
2016-11-06,22.0,,0.0,,,38.0,
2016-11-07,29.0,,0.0,,,65.0,
2016-11-08,25.0,,0.0,,,59.0,
2016-11-09,21.0,,0.0,,,32.0,
2016-11-10,52.0,,10500.0,,,109.0,
2016-11-11,166.0,,11000.0,,,369.0,
2016-11-12,38.0,,0.0,,,66.0,
2016-11-13,24.0,,0.0,,,52.0,
2016-11-14,69.0,,0.0,,,152.0,
2016-11-15,56.0,,0.0,,,106.0,
2016-11-16,36.0,,0.0,,,72.0,
2016-11-17,30.0,,0.0,,,67.0,
2016-11-18,40.0,,0.0,,,97.0,
2016-11-19,37.0,,0.0,,,62.0,
2016-11-20,15.0,,0.0,,,22.0,
2016-11-21,52.0,,0.0,,,137.0,
2016-11-22,29.0,,0.0,,,48.0,
2016-11-23,29.0,,0.0,,,67.0,
2016-11-24,40.0,,0.0,,,74.0,
2016-11-25,26.0,,0.0,,,49.0,
2016-11-26,18.0,,0.0,,,31.0,
2016-11-27,26.0,,0.0,,,49.0,
2016-11-28,53.0,,0.0,,,107.0,
2016-11-29,34.0,,0.0,,,64.0,
2016-11-30,21.0,,0.0,,,41.0,
2016-12-01,36.0,,0.0,,,64.0,
2016-12-02,40.0,,0.0,,,73.0,
2016-12-03,24.0,,0.0,,,43.0,
2016-12-04,24.0,,0.0,,,52.0,
2016-12-05,49.0,,0.0,,,102.0,
2016-12-06,34.0,,0.0,,,73.0,
2016-12-07,31.0,,0.0,,,64.0,
2016-12-08,52.0,,0.0,,,95.0,
2016-12-09,22.0,,0.0,,,36.0,
2016-12-10,13.0,,0.0,,,21.0,
2016-12-11,16.0,,0.0,,,26.0,
