,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-04-18,11.0,,,,,11.0,
2017-04-19,,,,,,,
2017-04-20,,,,,,,
2017-04-21,,,,,,,
2017-04-22,,,,,,,
2017-04-23,,,,,,,
2017-04-24,2.0,,,,,1.0,
2017-04-25,2.0,,,,,1.0,
2017-04-26,,,,,,,
2017-04-27,,,,,,,
2017-04-28,,,,,,,
2017-04-29,,,,,,,
2017-04-30,,,,,,,
2017-05-01,,13582400.0,57041027.876,,51.64,,
2017-05-02,702.0,24464700.0,86156484.9315,915.00112938,78.0,1388.0,7835605.15401
2017-05-03,342.0,8826750.0,99548317.3911,1351.8,90.12,789.0,4406246.60406
2017-05-04,232.0,6149800.0,86864075.9594,1297.71728,78.64,481.0,3872874.99414
2017-05-05,181.0,4400090.0,97840409.64,1329.77457727,88.58,310.0,2696260.67759
2017-05-06,283.0,7706590.0,95767953.3022,1042.86351287,86.7,559.0,1771318.13419
2017-05-07,183.0,3392570.0,126954152.658,1086.45021114,114.93,372.0,4134828.87173
2017-05-08,390.0,4710080.0,115555082.242,1515.7989,104.61,631.0,3887369.81284
2017-05-09,199.0,2728910.0,130132008.874,865.398413187,117.81,329.0,1534721.37263
2017-05-10,172.0,1340590.0,110263223.247,498.1018,99.82,285.0,957522.986328
2017-05-11,144.0,1502340.0,121103929.766,910.012,109.64,223.0,2156458.85178
2017-05-12,113.0,966219.0,121481666.001,548.8002,109.98,151.0,7298126.77864
2017-05-13,130.0,596459.0,117298524.998,1272.24184861,106.19,184.0,539672.08723
2017-05-14,93.0,686450.0,123337421.683,805.576824956,111.66,156.0,1112424.01147
2017-05-15,130.0,2149280.0,123519366.464,884.160741118,111.82,319.0,1715343.79346
2017-05-16,118.0,1782330.0,132573994.163,1161.11460485,120.02,311.0,1836951.43502
2017-05-17,125.0,1145960.0,132849039.795,873.400741203,120.27,232.0,544772.618796
2017-05-18,162.0,1741360.0,134602383.469,924.063162619,121.86,301.0,728922.067466
2017-05-19,198.0,5786480.0,151271782.456,967.431920119,136.95,557.0,2437583.06303
2017-05-20,154.0,2776440.0,185705747.764,1129.11844871,168.12,430.0,2015713.81372
2017-05-21,209.0,4641290.0,197824686.24,1358.29691367,179.09,589.0,3524134.76802
2017-05-22,224.0,6796350.0,234043677.946,1352.77532812,211.88,541.0,3593440.88873
2017-05-23,189.0,3339550.0,244412629.204,1089.23700254,221.27,345.0,815180.493282
2017-05-24,253.0,4987370.0,255007576.911,1205.51834104,230.86,543.0,6982750.8414
2017-05-25,216.0,3733870.0,292125682.405,1044.08524216,264.47,433.0,1702074.59773
2017-05-26,188.0,2538650.0,243957351.406,980.07366427,220.86,449.0,948538.383509
2017-05-27,215.0,2116920.0,225710735.885,1019.6566,204.34,499.0,1069668.62951
2017-05-28,136.0,1655050.0,211190598.942,791.580323434,191.19,328.0,1800008.45729
2017-05-29,132.0,1427840.0,232015000.274,897.21550989,210.05,338.0,600211.888304
2017-05-30,166.0,2948800.0,247225466.466,1182.038184,223.82,401.0,3888554.18695
2017-05-31,200.0,3223960.0,280781163.238,1288.02516114,254.19,508.0,1444940.97546
2017-06-01,203.0,2793310.0,286017970.533,1812.58,258.94,572.0,4729505.726
2017-06-02,182.0,1704490.0,276060222.458,1547.38016235,249.92,428.0,5033769.26512
2017-06-03,180.0,1844740.0,279628035.048,1363.26178009,253.15,355.0,5652774.34164
2017-06-04,172.0,1764410.0,285732090.383,1555.47658481,258.68,369.0,916944.280744
2017-06-05,172.0,2900230.0,291105892.81,2060.89368157,263.54,535.0,6430732.10447
2017-06-06,203.0,3759020.0,287412168.217,1678.98151533,260.2,456.0,6683731.72133
2017-06-07,183.0,1863430.0,293623287.958,1604.30923822,265.82,418.0,7812394.84269
2017-06-08,132.0,1108080.0,277122745.641,1589.56452337,250.88,275.0,809708.624755
2017-06-09,181.0,1039800.0,285934167.701,1275.943101,258.86,314.0,4362927.57708
2017-06-10,173.0,2586810.0,285064839.525,1432.00523463,258.07,352.0,15672286.6024
2017-06-11,123.0,1722230.0,286356030.945,1785.1397057,259.24,310.0,1203739.42264
2017-06-12,200.0,4611240.0,298223714.751,1888.06960151,269.99,442.0,3173222.13554
2017-06-13,213.0,3634110.0,295594957.017,1841.263844,267.61,463.0,8179917.01491
2017-06-14,198.0,1756630.0,298544936.503,1411.45669169,270.28,362.0,1308236.23195
2017-06-15,144.0,1818040.0,270955927.208,1461.43345274,245.3,287.0,6782981.48124
2017-06-16,143.0,1706190.0,260197220.497,1415.95901828,235.56,310.0,885451.567225
2017-06-17,134.0,960521.0,268780984.139,1649.7774,243.33,289.0,733113.73597
2017-06-18,201.0,835268.0,270128607.888,1711.85,244.55,339.0,991487.635026
2017-06-19,180.0,2274500.0,264391384.136,1583.62534563,239.36,402.0,1326335.37999
2017-06-20,162.0,2548470.0,267200320.585,1693.3,241.9,242.0,4103697.30931
2017-06-21,93.0,2174910.0,257644457.133,1180.94475,233.25,117.0,1085285.1741
2017-06-22,147.0,1406290.0,245939238.404,1299.13715416,222.65,290.0,915916.693337
2017-06-23,165.0,941532.0,239356739.104,1067.56840853,216.69,265.0,4156806.16057
2017-06-24,98.0,893780.0,253127844.294,1373.8142,229.16,213.0,658193.119706
2017-06-25,139.0,1987100.0,239094858.566,1331.49334745,216.46,289.0,1130009.37702
2017-06-26,142.0,2401130.0,226804241.316,1111.18395239,205.33,288.0,627614.844848
2017-06-27,106.0,1059020.0,212846632.262,1154.33903448,192.69,259.0,5896502.10849
