Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2016-11-11,559,,,,,695,
2016-11-12,51,,,,,97,
2016-11-13,117,,,,,257,
2016-11-14,142,,,,,304,
2016-11-15,109,,,,,229,
2016-11-16,119,,,,,199,
2016-11-17,79,,,,,122,
2016-11-18,62,7130.0,0.0,99.4244681448,0.015051,101,98547.1275922
2016-11-19,52,6058.0,0.0,90.586425,0.013571,76,88549.6555502
2016-11-20,36,5520.0,0.0,27.8398251748,0.015023,58,102362.137173
2016-11-21,38,3502.0,0.0,31.2008259098,0.014474,87,155089.2579
2016-11-22,50,5432.0,0.0,330.825,0.013233,99,217865.800901
2016-11-23,49,3195.0,0.0,67.557966,0.013517,87,276644.344158
2016-11-24,26,2005.0,0.0,83.435136,0.010432,25,52537.5987778
2016-11-25,29,2647.0,0.0,98.1125406504,0.011455,88,46234.2313429
2016-11-26,48,4503.0,0.0,100.125,0.011125,137,147299.697768
2016-11-27,50,4344.0,0.0,516.031679239,0.01287,84,101079.45574
2016-11-28,29,5409.0,0.0,118.511483666,0.012357,46,56346.2023495
2016-11-29,36,8551.0,8018442.28011,161.041908054,0.011774,56,84828.555616
2016-11-30,36,17847.0,9032835.70762,49.74019896,0.013264,80,264742.373132
2016-12-01,45,8438.0,9083767.8569,13.339,0.013339,65,20341.8883946
2016-12-02,29,11623.0,8778748.64625,267.977108948,0.012891,32,64780.3564166
2016-12-03,23,8153.0,8641528.18225,126.89,0.012689,27,28179.8529127
2016-12-04,29,6976.0,8609248.63846,189.63,0.012642,32,61173.4448614
2016-12-05,26,10143.0,8669092.02667,127.3,0.01273,31,26401.1292722
2016-12-06,31,9546.0,7768456.42044,86.264278267,0.011407,40,44403.776245
2016-12-07,35,11337.0,8129044.13463,11.9310315,0.011937,54,64728.65314
2016-12-08,24,18659.0,6919998.96766,261.830741166,0.010161,36,137438.878405
2016-12-09,20,16687.0,7070986.70761,103.806597159,0.010383,18,6587.99325215
2016-12-10,30,7327.0,6826001.40588,250.575,0.010023,43,31733.3478011
2016-12-11,20,10554.0,7505003.30435,427.70988198,0.01102,25,17245.7007492
2016-12-12,28,12717.0,7206993.7197,102.46639379,0.010583,35,27252.8061538
2016-12-13,39,27719.0,7880635.75738,78.7210884354,0.011572,53,51062.3180634
2016-12-14,34,16963.0,7746859.27152,245.919098736,0.011376,51,131890.20892
2016-12-15,33,9187.0,8820958.60954,143.836167406,0.012953,37,51379.1521293
2016-12-16,17,10131.0,7960658.3439,159.182850026,0.011689,14,2349.37660365
2016-12-17,10,4715.0,7886287.00419,1186.95,0.01158,5,20618.19
