,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2018-09-09,8,,,,,14,
2018-09-10,36,,,,,45,
2018-09-11,17,,,,,23,
2018-09-12,17,,,,,22,
2018-09-13,28,,,,,44,
2018-09-14,21,,,,,27,
2018-09-15,5,,,,,4,
2018-09-16,9,,,,,16,
2018-09-17,17,,,,,25,
2018-09-18,28,,,,,31,
2018-09-19,31,,,,,33,
2018-09-20,28,,,,,30,
2018-09-21,29,,,,,38,
2018-09-22,11,,,,,17,
2018-09-23,14,,,,,20,
2018-09-24,19,,,,,14,
2018-09-25,20,,,,,23,
2018-09-26,19,,,,,26,
2018-09-27,21,,,,,23,
2018-09-28,32,,,,,51,
2018-09-29,25,,,,,23,
2018-09-30,13,,,,,15,
2018-10-01,18,,,,,31,
2018-10-02,16,,,,,29,
2018-10-03,11,,,,,26,
2018-10-04,19,,,,,20,
2018-10-05,10,,,,,8,
2018-10-06,6,280720.0,0.0,271920.0,1.03,5,835845.0
2018-10-07,6,75349.0,0.0,239407.44,0.997531,5,1050467.89531
2018-10-08,21,83887.0,0.0,0.83999328,0.999992,27,446235.16009
2018-10-09,30,71707.0,0.0,15.0,1.0,32,423101.61
2018-10-10,21,50836.0,0.0,18.10263,0.99465,24,215683.91444
2018-10-11,27,158297.0,0.0,42.20402855,0.999385,24,321659.047951
2018-10-12,16,408806.0,0.0,21.52,1.0,15,496179.46
2018-10-13,26,30107.0,0.0,543.05175,1.01,34,967484.5247
2018-10-14,12,29209.0,0.0,130774.3455,1.01,14,1228042.4259
2018-10-15,27,512946.0,0.0,81.4062,1.02,34,731048.3514
2018-10-16,56,2052790.0,0.0,1030.0,1.03,81,2464297.9072
2018-10-17,67,12545900.0,0.0,2039.9898,1.02,85,4590914.0628
2018-10-18,78,4024270.0,0.0,116.535,1.02,97,2368946.5932
2018-10-19,87,452735.0,0.0,301.99,1.01,133,9213412.506
2018-10-20,52,982545.0,0.0,22.1998,1.01,46,2436126.565
2018-10-21,22,874604.0,0.0,151.4899,1.01,18,444677.4975
2018-10-22,47,2035450.0,0.0,883.75,1.01,68,3828480.4874
2018-10-23,56,3903410.0,0.0,10000.0,1.0,85,6770878.09
2018-10-24,55,2477350.0,0.0,505.0,1.01,64,5420828.2569
2018-10-25,50,1757160.0,0.0,7288.7054,1.01,62,3589371.3704
2018-10-26,55,2432660.0,0.0,263.61,1.01,60,2611285.0777
2018-10-27,21,1787840.0,0.0,40.4,1.01,20,660504.044
2018-10-28,21,3149280.0,0.0,12.423,1.01,17,276747.8982
2018-10-29,50,5186730.0,0.0,3778.1208,1.02,70,2591180.919
2018-10-30,52,1779430.0,0.0,18625.7736,1.01,79,5461088.1598
2018-10-31,62,5633990.0,0.0,18334.0,1.0,113,8039697.63
2018-11-01,187,6389860.0,0.0,78.0,1.0,238,9912745.34
2018-11-02,395,7004320.0,0.0,76.962,1.01,486,8528498.9436
2018-11-03,37,3754370.0,0.0,10912.62,1.0,51,2694627.44
2018-11-04,34,2705160.0,0.0,12617.125,1.0,44,3994797.82
2018-11-05,467,2248250.0,0.0,74.686568,0.982718,486,7416140.99867
2018-11-06,52,4434370.0,0.0,24995.0,1.0,116,13418263.21
2018-11-07,47,6176500.0,0.0,9995.0,1.0,69,12804864.99
2018-11-08,38,11678800.0,0.0,9990.94119945,0.999839,94,7530123.61488
2018-11-09,44,2118810.0,0.0,6245.90625,0.999345,52,1390883.72405
2018-11-10,41,2336780.0,0.0,24937.26,1.0,72,2870870.98
2018-11-11,29,3175490.0,0.0,25244.95,1.01,62,1962470.5212
2018-11-12,69,2707310.0,0.0,10787.6585,1.01,95,6321484.3136
2018-11-13,52,2094580.0,0.0,1718.32,1.0,54,2785396.09
2018-11-14,79,2902070.0,14524926.0,2557.5826,1.01,112,11867949.3288
2018-11-15,57,3293580.0,17281110.8922,1545.805,1.01,56,2247434.7896
2018-11-16,60,6484180.0,25411521.5644,10206.12,1.02,91,12034487.8704
2018-11-17,22,7042920.0,25218523.0,5994.35,1.01,23,371429.0958
