,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2016-09-30,,14652.0,0.0,,0.198937,,
2016-10-01,,11963.0,0.0,,0.267759,,
2016-10-02,,8382.0,0.0,,0.214882,,
2016-10-03,,6347.0,0.0,,0.146632,,
2016-10-04,,19235.0,0.0,,0.183616,,
2016-10-05,,16673.0,0.0,,0.338671,,
2016-10-06,,9085.0,0.0,,0.535299,,
2016-10-07,,13930.0,0.0,,0.4227,,
2016-10-08,,7463.0,0.0,,0.444486,,
2016-10-09,,18183.0,0.0,,0.34364,,
2016-10-10,,7499.0,0.0,,0.367009,,
2016-10-11,,11722.0,0.0,,0.278657,,
2016-10-12,,8531.0,0.0,,0.2211,,
2016-10-13,,7915.0,0.0,,0.241055,,
2016-10-14,,5073.0,0.0,,0.312134,,
2016-10-15,,6558.0,0.0,,0.233744,,
2016-10-16,,6571.0,0.0,,0.223679,,
2016-10-17,,5968.0,0.0,,0.275975,,
2016-10-18,,7846.0,0.0,,0.188626,,
2016-10-19,,6795.0,0.0,,0.185059,,
2016-10-20,,4673.0,0.0,,0.181,,
2016-10-21,,3356.0,0.0,,0.207384,,
2016-10-22,,6967.0,0.0,,0.220933,,
2016-10-23,,2936.0,0.0,,0.157829,,
2016-10-24,1530.0,6430.0,0.0,49.3859647372,0.269436,1535.0,53887200.0
2016-10-25,989.0,92887.0,39544197.0,237.312907755,0.454531,1700.0,4328571.9583
2016-10-26,569.0,209377.0,16035492.0,54.92801116,0.184316,952.0,1115450.83628
2016-10-27,376.0,172953.0,14711178.0,41.9142981597,0.169094,559.0,479431.788384
2016-10-28,395.0,108756.0,11972853.0,12.1250220264,0.137619,548.0,320845.686997
2016-10-29,123.0,97401.0,10779039.0,61.9485,0.123897,202.0,105443.291161
2016-10-30,255.0,75031.0,9899208.0,56.77764708,0.113784,390.0,141629.011879
2016-10-31,88.0,70203.0,10808967.0,44.1187342621,0.124241,184.0,123094.860704
2016-11-01,90.0,160741.0,10605213.0,29.2070004,0.121899,150.0,79545.4493765
2016-11-02,85.0,70062.0,11897946.0,94.636536,0.136758,145.0,122186.062561
2016-11-03,127.0,66036.0,11712723.0,20.0202267124,0.134629,196.0,110388.909496
2016-11-04,68.0,48361.0,10888137.0,24.6672621,0.125151,108.0,46599.6288746
2016-11-05,65.0,40596.0,10539789.0,20.04619409,0.121147,101.0,31193.1079193
2016-11-06,46.0,46567.0,11103897.0,82.91292653,0.127631,72.0,48199.1932512
2016-11-07,45.0,46640.0,10193964.0,58.468828,0.117172,69.0,53735.3067082
2016-11-08,80.0,30534.0,10284096.0,67.74855104,0.118208,126.0,37737.3360027
2016-11-09,72.0,71136.0,9418620.0,108.15174,0.10826,117.0,54978.72375
2016-11-10,44.0,37158.0,9860493.0,46.12557283,0.113339,57.0,15083.6275488
2016-11-11,83.0,43878.0,9587313.0,14.14183767,0.110199,118.0,23442.0581285
2016-11-12,160.0,186628.0,10075296.0,20.4002408314,0.115808,219.0,97911.7225049
2016-11-13,143.0,147178.0,15206382.0,174.786,0.174786,271.0,227813.354141
2016-11-14,134.0,132463.0,14333163.0,82.0344130665,0.164749,247.0,160122.852678
2016-11-15,144.0,149807.0,16030881.0,138.303129385,0.184263,254.0,352284.219708
2016-11-16,87.0,182937.0,17864232.0,108.859562103,0.205336,131.0,148677.875786
2016-11-17,51.0,74009.0,14589726.0,15.9396949,0.167698,112.0,54883.6038888
2016-11-18,60.0,89012.0,14853162.0,170.555274,0.170726,93.0,77253.4277774
2016-11-19,60.0,50540.0,15052653.0,114.090767218,0.173019,94.0,57453.505867
2016-11-20,43.0,47422.0,14759724.0,14.7682042763,0.169652,91.0,50156.2962568
2016-11-21,89.0,117463.0,15158619.0,172.49463,0.174237,125.0,71568.3902426
2016-11-22,57.0,66930.0,15695148.0,168.000596089,0.180404,74.0,40944.1495879
2016-11-23,50.0,35698.0,15566649.0,3.14702720096,0.178927,123.0,50456.955828
2016-11-24,47.0,90454.0,15508794.0,8.45451966212,0.178262,106.0,55118.2514786
2016-11-25,36.0,38301.0,15196377.0,78.05173635,0.174671,46.0,27603.3970534
2016-11-26,24.0,55140.0,14917803.0,181.021344924,0.171469,32.0,24182.635312
2016-11-27,30.0,53887.0,14100960.0,405.2,0.16208,42.0,53436.7094352
2016-11-28,34.0,68097.0,14378229.0,104.614011,0.165267,54.0,29257.9309506
2016-11-29,50.0,53043.0,15204990.0,144.18525,0.17477,88.0,58970.4513537
2016-11-30,51.0,76889.0,14650191.0,168.224607,0.168393,83.0,95612.7324397
2016-12-01,52.0,40443.0,15441717.0,177.313509,0.177491,72.0,33719.8142018
2016-12-02,42.0,114045.0,14747544.0,320.085048827,0.169512,63.0,40888.7367383
2016-12-03,44.0,38666.0,15724380.0,313.170393723,0.18074,60.0,46252.1890416
2016-12-04,38.0,49598.0,16128756.0,157.822070489,0.185388,52.0,66578.4230826
2016-12-05,54.0,39495.0,15292164.0,76.5323126244,0.175772,72.0,47660.765366
