Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-09-19,3.0,,,,,2.0,
2017-09-20,7802.0,,,,,7801.0,
2017-09-21,,,,,,,
2017-09-22,,,,,,,
2017-09-23,,,,,,,
2017-09-24,,,,,,,
2017-09-25,,,,,,,
2017-09-26,,,,,,,
2017-09-27,,,,,,,
2017-09-28,,,,,,,
2017-09-29,,,,,,,
2017-09-30,,,,,,,
2017-10-01,,,,,,,
2017-10-02,,,,,,,
2017-10-03,,,,,,,
2017-10-04,,,,,,,
2017-10-05,,,,,,,
2017-10-06,,,,,,,
2017-10-07,,,,,,,
2017-10-08,,,,,,,
2017-10-09,,,,,,,
2017-10-10,,,,,,,
2017-10-11,,,,,,,
2017-10-12,,,,,,,
2017-10-13,,,,,,,
2017-10-14,,,,,,,
2017-10-15,,,,,,,
2017-10-16,,,,,,,
2017-10-17,,,,,,,
2017-10-18,,,,,,,
2017-10-19,,,,,,,
2017-10-20,,,,,,,
2017-10-21,,,,,,,
2017-10-22,,,,,,,
2017-10-23,,,,,,,
2017-10-24,,,,,,,
2017-10-25,,,,,,,
2017-10-26,,,,,,,
2017-10-27,,71509.0,0.0,,0.408919,,
2017-10-28,,68469.0,0.0,,0.497721,,
2017-10-29,,27956.0,0.0,,0.477424,,
2017-10-30,,21873.0,0.0,,0.453817,,
2017-10-31,,110856.0,0.0,,0.534153,,
2017-11-01,,241493.0,0.0,,0.665505,,
2017-11-02,,276079.0,0.0,,1.08,,
2017-11-03,,51631.0,0.0,,1.18,,
2017-11-04,,55451.0,0.0,,1.35,,
2017-11-05,,88534.0,0.0,,1.24,,
2017-11-06,,348604.0,0.0,,1.59,,
2017-11-07,,476528.0,0.0,,1.73,,
2017-11-08,,126020.0,0.0,,1.41,,
2017-11-09,,88687.0,0.0,,1.31,,
2017-11-10,,172543.0,0.0,,1.23,,
2017-11-11,,87265.0,0.0,,0.913627,,
2017-11-12,,63451.0,0.0,,1.05,,
2017-11-13,,26404.0,0.0,,1.04,,
2017-11-14,,35891.0,0.0,,0.958108,,
