Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-08-22,2.0,,,,,2.0,
2017-08-23,,,,,,,
2017-08-24,,,,,,,
2017-08-25,,,,,,,
2017-08-26,,,,,,,
2017-08-27,,,,,,,
2017-08-28,,,,,,,
2017-08-29,,,,,,,
2017-08-30,,,,,,,
2017-08-31,,,,,,,
2017-09-01,,,,,,,
2017-09-02,,,,,,,
2017-09-03,,,,,,,
2017-09-04,,,,,,,
2017-09-05,,,,,,,
2017-09-06,,,,,,,
2017-09-07,,,,,,,
2017-09-08,40.0,,,,,51.0,
2017-09-09,17.0,,,,,17.0,
2017-09-10,48.0,,,,,53.0,
2017-09-11,79.0,,,,,90.0,
2017-09-12,64.0,,,,,64.0,
2017-09-13,19.0,,,,,18.0,
2017-09-14,3.0,,,,,2.0,
2017-09-15,5.0,,,,,4.0,
2017-09-16,10.0,,,,,10.0,
2017-09-17,225.0,,,,,251.0,
2017-09-18,159.0,,,,,174.0,
2017-09-19,98.0,,,,,95.0,
2017-09-20,72.0,,,,,71.0,
2017-09-21,40.0,,,,,38.0,
2017-09-22,11.0,,,,,10.0,
2017-09-23,29.0,,,,,37.0,
2017-09-24,17.0,,,,,16.0,
2017-09-25,41.0,,,,,38.0,
2017-09-26,27.0,,,,,24.0,
2017-09-27,18.0,,,,,14.0,
2017-09-28,15.0,,,,,15.0,
2017-09-29,12.0,,,,,11.0,
2017-09-30,31.0,,,,,26.0,
2017-10-01,13.0,,,,,9.0,
2017-10-02,21.0,,,,,16.0,
2017-10-03,9.0,,,,,12.0,
2017-10-04,13.0,,,,,9.0,
2017-10-05,22.0,,,,,17.0,
2017-10-06,33.0,,,,,37.0,
2017-10-07,31.0,,,,,26.0,
2017-10-08,25.0,,,,,20.0,
2017-10-09,20.0,,,,,16.0,
2017-10-10,12.0,,,,,13.0,
2017-10-11,21.0,,,,,16.0,
2017-10-12,15.0,,,,,12.0,
2017-10-13,11.0,,,,,12.0,
2017-10-14,2.0,,,,,1.0,
2017-10-15,9.0,,,,,18.0,
2017-10-16,12.0,,,,,12.0,
2017-10-17,8.0,,,,,5.0,
2017-10-18,8.0,,,,,7.0,
2017-10-19,38.0,,,,,33.0,
2017-10-20,24.0,,,,,20.0,
2017-10-21,13.0,,,,,10.0,
2017-10-22,9.0,,,,,8.0,
2017-10-23,9.0,,,,,16.0,
2017-10-24,23.0,2017060.0,0.0,505.122470676,0.692158,21.0,717925.530339
2017-10-25,41.0,3404580.0,0.0,3399.53782,0.716824,62.0,2042344.54379
2017-10-26,23.0,1784580.0,0.0,7743.96989885,0.816446,18.0,6309589.05704
2017-10-27,30.0,1523440.0,0.0,26873.5819824,0.841573,24.0,410432.270236
2017-10-28,1501.0,3648650.0,0.0,8.9267,0.89267,1502.0,629134.126098
2017-10-29,9279.0,1853410.0,0.0,4.739225,0.947845,9285.0,48828.9377651
2017-10-30,22476.0,1559350.0,0.0,4.58762,0.917524,22495.0,244800.573282
2017-10-31,18.0,1546320.0,0.0,82.8303,0.828303,21.0,34353.2478489
2017-11-01,24.0,1792300.0,0.0,1089.16869932,0.79765,18.0,30487.8153078
2017-11-02,71.0,1594320.0,0.0,9036.69659109,0.644748,68.0,593709.017876
2017-11-03,13.0,1270970.0,59540533.0421,434.229734623,0.653982,10.0,52603.3191608
2017-11-04,11.0,745641.0,0.0,608.8715075,0.697847,10.0,8670.56055631
2017-11-05,12.0,912388.0,0.0,1149.45785,0.74495,9.0,12425.7661333
2017-11-06,26.0,832052.0,63987713.9776,152.788912448,0.702829,24.0,24307.9814896
2017-11-07,25.0,664839.0,60091343.1048,240.210990029,0.660032,18.0,58080.4019561
2017-11-08,12.0,906238.0,60650529.7846,55.2928650205,0.666174,9.0,19940.5019178
2017-11-09,9.0,783159.0,67614870.5567,436.689372,0.742669,7.0,5340.5486684
2017-11-10,19.0,738533.0,64544897.4465,1143.1802625,0.708949,20.0,59463.0708851
2017-11-11,4.0,1181340.0,58316276.4822,7358.7863475,0.640535,4.0,33680.61137
2017-11-12,9.0,577273.0,56191421.9607,2468.78245701,0.617196,10.0,1580564.9902
2017-11-13,11.0,469831.0,50626049.7073,1083.218516,0.556067,11.0,11166.8237227
2017-11-14,8.0,424516.0,52935995.1367,5511.71540917,0.581439,6.0,8589719.79366
2017-11-15,82.0,902104.0,49696045.0173,4659.28184166,0.545852,81.0,937525.40445
