,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-09-12,4.0,,,,,3.0,
2017-09-13,,,,,,,
2017-09-14,,,,,,,
2017-09-15,,,,,,,
2017-09-16,1654.0,,,,,1699.0,
2017-09-17,,,,,,,
2017-09-18,,,,,,,
2017-09-19,,,,,,,
2017-09-20,,,,,,,
2017-09-21,,,,,,,
2017-09-22,,,,,,,
2017-09-23,,,,,,,
2017-09-24,,16343900.0,254818535.0,,1.85,,
2017-09-25,8299.0,20214300.0,255688262.7,1998.0,1.85,10017.0,77141362.7651
2017-09-26,8675.0,17221400.0,329165823.591,358.5,2.39,10085.0,56437482.2983
2017-09-27,9053.0,13061200.0,259796414.697,3.76,1.88,9955.0,34402770.265
2017-09-28,6769.0,6194970.0,241116952.0,3.5,1.75,7148.0,17185152.6124
2017-09-29,6337.0,5894070.0,240517104.789,3.48,1.74,6650.0,10164917.0899
2017-09-30,3471.0,2964430.0,241728365.169,3.5,1.75,3442.0,8779549.9381
2017-10-01,5736.0,9558870.0,246042316.428,3.56,1.78,5797.0,8909540.80025
2017-10-02,3601.0,5359390.0,298219531.404,4.32,2.16,3636.0,17678214.1143
2017-10-03,1545.0,4315990.0,259285610.943,266.727038841,1.88,1512.0,5041088.34691
2017-10-04,1478.0,2997490.0,239919117.515,112.582908992,1.74,1414.0,4278248.79948
2017-10-05,1438.0,2388130.0,233443049.363,3.38,1.69,1376.0,3903148.74369
2017-10-06,4318.0,3614010.0,236322220.875,3.42,1.71,4335.0,3892941.51811
2017-10-07,7105.0,3343770.0,233734259.185,3.38,1.69,7041.0,6639894.39405
2017-10-08,4551.0,3154360.0,240196141.933,3.48,1.74,4476.0,9215650.63522
2017-10-09,1863.0,4111030.0,206155096.806,1117.5,1.49,1799.0,13647015.6065
2017-10-10,1400.0,3865780.0,182769123.83,990.0,1.32,1358.0,6895383.86489
2017-10-11,972.0,2490110.0,194847640.978,707.115,1.41,906.0,4381344.51843
2017-10-12,1168.0,3191600.0,186976055.008,950.64,1.36,1225.0,7402990.77807
2017-10-13,1321.0,3801870.0,166333141.43,1210.00010058,1.21,1318.0,4687961.08512
2017-10-14,922.0,1665910.0,156503732.311,312.853495,1.13,910.0,26726015.3847
2017-10-15,729.0,1581870.0,165188125.714,761.381566476,1.2,653.0,2859554.19969
2017-10-16,541.0,1708690.0,156525353.116,564.999780683,1.13,518.0,959309.988224
2017-10-17,705.0,1584850.0,150445004.917,336.0,1.12,630.0,2134642.54091
2017-10-18,718.0,2117500.0,146639504.556,656.415745963,1.09,706.0,2405681.45844
2017-10-19,2106.0,1718040.0,158367841.459,2544.67,1.18,2144.0,14632833.1567
2017-10-20,724.0,1750820.0,147360480.667,361.537,1.1,693.0,7444244.11199
2017-10-21,553.0,1222700.0,140146737.786,520.0,1.04,534.0,1030065.10328
2017-10-22,511.0,1008560.0,139786480.777,446.622529184,1.04,548.0,1146449.05676
2017-10-23,855.0,1818730.0,138156677.47,592.25,1.03,865.0,2475581.57502
2017-10-24,731.0,2674010.0,129169123.801,511.916037866,0.958708,776.0,1290140.78073
2017-10-25,651.0,1806630.0,144159861.574,593.607325659,1.07,732.0,1433620.86556
2017-10-26,467.0,1273230.0,145811976.21,478.410354139,1.09,463.0,773212.025032
2017-10-27,544.0,1480770.0,140478169.307,576.857559798,1.05,560.0,2643061.79835
2017-10-28,474.0,1458920.0,135474024.36,516.620905783,1.01,442.0,3476403.42449
2017-10-29,456.0,1598860.0,126111293.334,424.62632373,0.940198,440.0,1496990.80468
2017-10-30,618.0,1764840.0,130228630.793,290.15167724,0.970894,584.0,1222803.36951
2017-10-31,659.0,1840830.0,132250278.88,728.863145137,0.985966,652.0,1405228.35083
2017-11-01,1175.0,4692730.0,127319963.389,809.021556762,0.949209,1335.0,4350095.95586
2017-11-02,951.0,2677130.0,130949861.769,562.332096,0.976271,1017.0,2059672.91437
2017-11-03,606.0,3303530.0,128011550.942,673.787129881,0.954365,741.0,1859641.76542
2017-11-04,440.0,2074870.0,132690148.688,629.728213751,0.991559,520.0,1696782.42406
2017-11-05,434.0,1471530.0,140839332.255,523.670175,1.05,448.0,763020.760383
2017-11-06,456.0,1641020.0,132393934.704,584.413548954,0.987037,465.0,862192.594327
2017-11-07,480.0,1827370.0,131295534.128,682.294594227,0.977155,517.0,1688515.73449
2017-11-08,615.0,3162230.0,136358885.455,722.4558,1.02,653.0,1334286.77523
2017-11-09,797.0,3713980.0,145011922.138,864.0,1.08,895.0,3856586.06751
2017-11-10,925.0,4331320.0,155936496.571,882.710932,1.16,1025.0,3197874.83012
2017-11-11,750.0,3341260.0,158097839.397,1053.07069613,1.18,854.0,1977142.71114
2017-11-12,601.0,4044360.0,154309509.903,800.90262237,1.15,653.0,2911257.42933
2017-11-13,596.0,2533900.0,138193100.864,1028.97,1.03,593.0,3846174.63802
2017-11-14,563.0,2103320.0,147540551.743,549.62986732,1.1,554.0,1096500.89974
2017-11-15,518.0,2040950.0,147966121.81,1104.4,1.1,457.0,1369154.93232
2017-11-16,541.0,2711870.0,142501543.45,834.234411776,1.06,522.0,1319804.55164
2017-11-17,447.0,2472740.0,147011795.741,769.324166776,1.1,461.0,1248786.95848
2017-11-18,405.0,2322650.0,143036805.549,592.332954,1.07,388.0,1207029.72347
2017-11-19,423.0,1865000.0,150269222.486,557.76,1.12,368.0,2268662.43958
2017-11-20,505.0,2329790.0,148344532.227,590.52,1.11,502.0,2377703.84497
2017-11-21,516.0,2273720.0,147152511.204,705.32605,1.1,508.0,5289746.04615
2017-11-22,554.0,2462030.0,145321393.622,707.6699892,1.08,537.0,1330680.80281
2017-11-23,652.0,3389830.0,149305271.064,1034.5089,1.11,676.0,2776777.23166
2017-11-24,565.0,3881350.0,147513775.0,625.9,1.1,585.0,1695754.29866
2017-11-25,570.0,4326530.0,147427146.637,660.5995,1.1,590.0,1545791.96021
2017-11-26,832.0,8519500.0,151867431.933,1391.89558,1.13,975.0,3872275.54667
2017-11-27,776.0,7203350.0,179404220.176,1335.98,1.34,760.0,4662167.32537
2017-11-28,743.0,6956870.0,167698277.311,839.9825,1.25,764.0,2093777.38281
2017-11-29,734.0,7987200.0,159209656.038,1259.0644108,1.19,893.0,4095707.83033
2017-11-30,636.0,6932710.0,141786727.101,2119.47003736,1.06,700.0,5340998.04006
2017-12-01,406.0,5718590.0,146124891.664,784.8,1.09,413.0,1089935.89472
2017-12-02,459.0,6350120.0,147242677.593,1001.20394,1.1,421.0,1896733.62761
2017-12-03,984.0,14703900.0,146203379.164,3133.75,1.09,1161.0,7284554.14468
2017-12-04,571.0,17105500.0,155239319.101,2085.36738,1.16,734.0,4215541.24393
2017-12-05,631.0,21937700.0,172716782.176,1290.0,1.29,618.0,2653182.99398
2017-12-06,428.0,18240500.0,205435000.421,1655.46,1.53,427.0,2705203.90925
2017-12-07,853.0,17081800.0,202579322.223,4167.82922891,1.51,858.0,10820086.1521
2017-12-08,1989.0,15028900.0,173898837.537,1429.45803,1.3,2053.0,5081835.43635
2017-12-09,1794.0,11555400.0,179983410.336,3051.1733,1.34,1792.0,27701858.1955
2017-12-10,2113.0,11857300.0,176339682.885,1320.0,1.32,2106.0,9521609.07851
2017-12-11,634.0,12061600.0,162625164.625,1288.045,1.21,598.0,2062070.77124
2017-12-12,630.0,12071700.0,172883053.864,1348.957515,1.29,770.0,17150370.182
2017-12-13,652.0,10077300.0,176445760.93,1531.86,1.32,850.0,8994241.11044
2017-12-14,1038.0,20394800.0,173071831.211,1407.53056709,1.29,1309.0,20624117.6624
2017-12-15,837.0,12895600.0,224605557.101,1666.66,1.67,1049.0,6607063.94157
2017-12-16,2285.0,11477300.0,213291945.156,3178.41,1.59,2507.0,26594770.5727
2017-12-17,1372.0,24405200.0,233886336.289,1630.6932,1.74,1649.0,6527142.31556
2017-12-18,1206.0,28833800.0,307177740.681,2060.58436489,2.29,1698.0,13915457.9735
2017-12-19,1204.0,25007500.0,388657330.441,2131.3057,2.9,1505.0,12859753.1153
2017-12-20,770.0,17779200.0,369543843.54,2305.729806,2.76,924.0,6008757.14823
2017-12-21,989.0,16736300.0,349990369.541,2090.61,2.61,1130.0,8216310.64666
2017-12-22,807.0,13412200.0,343141734.4,1995.201792,2.56,980.0,5906740.09546
2017-12-23,787.0,11332800.0,283939199.022,1321.935328,2.12,883.0,5062299.17636
2017-12-24,550.0,11938200.0,301499316.456,1843.243425,2.25,687.0,5515710.71498
2017-12-25,607.0,12568500.0,318224257.456,1936.719207,2.37,803.0,4231317.84329
2017-12-26,649.0,12686800.0,323593321.353,1446.0,2.41,694.0,4862878.49311
2017-12-27,613.0,10329300.0,337445405.85,1256.22,2.52,621.0,4388725.22709
2017-12-28,502.0,11990700.0,321146766.045,1448.806528,2.39,588.0,5568843.35449
2017-12-29,577.0,10801600.0,327449378.454,1463.1704,2.44,590.0,4157637.55029
2017-12-30,533.0,10866200.0,334039400.747,1616.61096601,2.49,575.0,3654694.76585
2017-12-31,508.0,14615300.0,299017731.206,1984.3655,2.23,690.0,4033995.05843
2018-01-01,776.0,22476900.0,351752679.007,2612.14,2.62,1119.0,8560643.78151
2018-01-02,965.0,27472100.0,413428285.626,2214.977072,3.08,1277.0,11081957.1241
2018-01-03,734.0,24648600.0,458562596.791,2244.09900381,3.42,868.0,6362064.44835
2018-01-04,761.0,23788600.0,481390932.727,2772.366012,3.59,867.0,8583641.28367
2018-01-05,775.0,31078100.0,450647474.726,3258.99482558,3.36,1082.0,9879253.4291
2018-01-06,1212.0,34950900.0,425484828.791,2943.44327,3.17,1446.0,23669745.2886
2018-01-07,1686.0,61758700.0,532756353.739,2308.647898,3.97,1827.0,20026484.9002
2018-01-08,920.0,41314100.0,681347254.058,3058.16,5.08,1021.0,23350486.659
2018-01-09,885.0,37437600.0,646700940.049,2886.698964,4.82,961.0,9800494.84521
2018-01-10,806.0,26237500.0,763546750.608,3675.74,5.69,835.0,10225317.7819
2018-01-11,716.0,20044800.0,692655348.838,2843.5,5.17,731.0,11565278.5862
2018-01-12,748.0,22352600.0,563499687.343,1940.4,4.2,729.0,5854157.89992
2018-01-13,682.0,25910900.0,621673401.84,1911.15751,4.63,615.0,5855091.68939
2018-01-14,647.0,20195300.0,603171152.871,1680.87053252,4.5,558.0,3081697.03505
2018-01-15,690.0,34848700.0,558812504.477,2208.432,4.17,737.0,6490573.41379
2018-01-16,806.0,25537400.0,621738863.721,2736.904,4.64,820.0,11037002.6936
2018-01-17,729.0,21311900.0,458989793.661,2109.330144,3.42,769.0,8272492.63144
2018-01-18,686.0,25672400.0,430393731.24,1844.69712,3.21,677.0,7927709.37863
2018-01-19,733.0,55232300.0,432072076.898,1930.39,3.22,752.0,7616154.47622
2018-01-20,771.0,36904700.0,543368337.568,1911.6891,4.05,863.0,8022731.65831
2018-01-21,628.0,43106800.0,596211989.488,3403.81944,4.44,707.0,16739787.0683
2018-01-22,545.0,39804000.0,491979604.512,2179.98,3.67,587.0,21338531.2906
2018-01-23,450.0,34745900.0,463954530.427,2195.23852,3.46,487.0,6263056.95427
2018-01-24,489.0,37875300.0,453834027.446,1580.96072102,3.38,541.0,6633336.95852
2018-01-25,494.0,43859700.0,457364246.124,1702.4425,3.41,574.0,3624975.93656
2018-01-26,599.0,25988700.0,454206758.968,2244.18,3.39,645.0,8988038.48048
2018-01-27,526.0,14706400.0,504489310.332,1425.04,3.76,599.0,4767135.16887
2018-01-28,501.0,19506000.0,510247673.537,1185.48840709,3.8,512.0,2988095.75978
2018-01-29,614.0,28884900.0,526887293.863,2379.578058,3.93,755.0,5984541.32896
2018-01-30,509.0,18877600.0,531332206.9,1987.06749251,3.96,735.0,6945928.48526
2018-01-31,616.0,24615000.0,490508801.766,1830.0,3.66,727.0,7459097.43479
2018-02-01,1373.0,16993000.0,549142034.918,8.18,4.09,1447.0,15327052.8039
2018-02-02,530.0,12133700.0,474141104.825,1782.49266,3.54,630.0,4867498.78249
2018-02-03,663.0,8116920.0,460414589.039,139.716591,3.43,709.0,1761491.33697
2018-02-04,438.0,11530400.0,521997361.693,2718.1375,3.89,547.0,7535745.66835
2018-02-05,462.0,7429440.0,443220332.26,2197.98895,3.31,560.0,4436921.49633
2018-02-06,460.0,11161400.0,346127738.326,2008.87959,2.58,548.0,5344057.87195
2018-02-07,434.0,6382420.0,411013347.75,1831.104,3.06,501.0,8353032.27079
2018-02-08,232.0,6316880.0,375043328.258,1428.2786,2.8,194.0,1751205.65004
2018-02-09,415.0,3555750.0,415790508.555,1889.2206,3.1,473.0,4636753.6499
2018-02-10,604.0,10380200.0,450716749.458,1518.72,3.36,783.0,4851028.5483
2018-02-11,671.0,10079100.0,429712315.412,1354.40976,3.2,932.0,8019356.56037
2018-02-12,483.0,10051900.0,378109853.915,1460.76,2.82,645.0,11747133.3833
2018-02-13,403.0,11222400.0,378053615.864,1418.248923,2.82,530.0,8655768.89968
2018-02-14,373.0,9502420.0,352919246.081,2243.7079912,2.63,482.0,6052887.2445
