Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2018-03-03,3.0,,,,,2.0,
2018-03-04,,,,,,,
2018-03-05,,,,,,,
2018-03-06,,,,,,,
2018-03-07,,,,,,,
2018-03-08,,,,,,,
2018-03-09,,,,,,,
2018-03-10,,,,,,,
2018-03-11,,,,,,,
2018-03-12,,,,,,,
2018-03-13,,,,,,,
2018-03-14,3241.0,4774280.0,0.0,2962.674,0.075966,4285.0,98876486.377
2018-03-15,750.0,2279000.0,0.0,1002.753633,0.076377,610.0,4049895.58359
2018-03-16,413.0,2194000.0,0.0,1347.4755,0.08575,384.0,7750186.35778
2018-03-17,270.0,933224.0,0.0,986.17432338,0.099252,252.0,1571790.09301
2018-03-18,226.0,860845.0,0.0,181.103507426,0.086149,210.0,493054.410356
2018-03-19,202.0,987199.0,0.0,890.731069431,0.090401,204.0,1290301.95561
2018-03-20,179.0,841064.0,37167435.5173,1126.44751503,0.098356,163.0,689112.844438
2018-03-21,284.0,1890080.0,40085223.2083,1011.5818581,0.104777,234.0,1300105.2653
2018-03-22,196.0,1295320.0,47247834.6057,895.698012455,0.122181,179.0,6746364.34681
2018-03-23,377.0,3331850.0,50663383.4876,1459.889825,0.130057,297.0,1726698.50222
2018-03-24,198.0,1333590.0,66362690.1829,1693.38,0.169338,149.0,2121562.56
2018-03-25,142.0,1324240.0,56110748.3386,1428.54,0.142854,111.0,985646.265246
2018-03-26,97.0,793403.0,50793604.391,1448.69394716,0.128536,82.0,3380024.78859
2018-03-27,83.0,470221.0,49206573.3758,584.3933,0.124339,64.0,163378.462299
2018-03-28,92.0,767344.0,44593780.9488,719.3588085,0.111654,82.0,666279.845392
2018-03-29,105.0,468793.0,48188624.1969,3403.39363835,0.125626,80.0,2664100.56829
2018-03-30,75.0,494279.0,39024667.2055,1275.17546,0.10102,53.0,461001.753507
2018-03-31,101.0,230909.0,38446835.2511,14.89683195,0.099213,88.0,388274.7855
2018-04-01,115.0,1010460.0,43726330.7277,2279.86,0.10363,109.0,5823548.34192
2018-04-02,80.0,239694.0,38923403.2567,561.277401971,0.091715,83.0,1128362.13024
2018-04-03,91.0,284358.0,41105511.1467,507.9888655,0.096769,68.0,386605.101038
2018-04-04,61.0,255921.0,51350531.7104,839.05417618,0.106121,49.0,6281638.26897
2018-04-05,51.0,214707.0,44648552.8165,230.648002895,0.092218,48.0,167565.695648
2018-04-06,63.0,333833.0,44177606.9476,583.452697733,0.090961,51.0,283960.42509
2018-04-07,103.0,1597780.0,43691670.763,4945.435,0.089917,96.0,3069014.53043
2018-04-08,89.0,423241.0,52116645.578,1215.870084,0.110253,64.0,238621.594266
2018-04-09,80.0,276680.0,54159759.8572,905.0718956,0.114328,57.0,375545.437011
