,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-08-01,10,,,,,6,
2017-08-02,10,,,,,5,
2017-08-03,16,,,,,9,
2017-08-04,16,,,,,9,
2017-08-05,10,,,,,11,
2017-08-06,19,,,,,11,
2017-08-07,12,,,,,7,
2017-08-08,12,,,,,7,
2017-08-09,24,,,,,15,
2017-08-10,10,,,,,6,
2017-08-11,12,,,,,6,
2017-08-12,21,,,,,14,
2017-08-13,6,,,,,3,
2017-08-14,36,,,,,23,
2017-08-15,47,,,,,32,
2017-08-16,37,,,,,19,
2017-08-17,97,,,,,68,
2017-08-18,118,,,,,102,
2017-08-19,114,,,,,96,
2017-08-20,127,,,,,122,
2017-08-21,99,,,,,75,
2017-08-22,414,,,,,443,
2017-08-23,250,,,,,267,
2017-08-24,200,,,,,200,
2017-08-25,262,,,,,301,
2017-08-26,129,,,,,143,
2017-08-27,111,,,,,103,
2017-08-28,219,,,,,253,
2017-08-29,2844,,,,,2128,
2017-08-30,5366,200829.0,0.0,1331.045946,0.118854,5535,61140092.301
2017-08-31,5434,66809.0,0.0,1173.8055195,0.104805,5115,24864649.2464
2017-09-01,4934,8198750.0,0.0,1565.75262798,0.133504,5651,36554475.2956
2017-09-02,1413,2840680.0,52536558.6026,918.322240491,0.075317,1742,8093807.28134
2017-09-03,2948,9833750.0,43333800.9334,686.859487621,0.062124,4308,6631962.47686
2017-09-04,2862,3792200.0,58898678.4255,1040.179403,0.084437,3678,12520692.4074
2017-09-05,1950,2816840.0,24852782.0481,523.511691431,0.035629,2337,5775443.36765
2017-09-06,2332,2589560.0,26042060.4701,481.722114027,0.037334,2758,5172994.2309
2017-09-07,1666,3608710.0,30847275.9333,428.80345497,0.044223,1791,3258909.35539
2017-09-08,3167,7482910.0,40278976.4004,772.29683928,0.057744,4048,14517366.6888
2017-09-09,2373,2811530.0,33000172.5825,767.00946284,0.047309,2613,19454773.548
