,activeaddresses,exchangevolume(usd),fees,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2016-04-06,,222502.0,,0.0,,,,2.04,,
2016-04-07,,203863.0,,0.0,,,,3.92,,
2016-04-08,,468420.0,,0.0,,,,5.01,,
2016-04-09,,272260.0,,0.0,,,,4.06,,
2016-04-10,,242123.0,,0.0,,,,2.44,,
2016-04-11,,163666.0,,0.0,,,,1.37,,
2016-04-12,,117448.0,,0.0,,,,3.14,,
2016-04-13,,85572.0,,0.0,,,,1.29,,
2016-04-14,,114725.0,,0.0,,,,1.0,,
2016-04-15,,98647.0,,0.0,,,,1.19,,
2016-04-16,,57511.0,,0.0,,,,1.2,,
2016-04-17,,36480.0,,0.0,,,,1.23,,
2016-04-18,,48480.0,,0.0,,,,1.66,,
2016-04-19,,26391.0,,0.0,,,,1.02,,
2016-04-20,,64546.0,,0.0,,,,1.85,,
2016-04-21,,46650.0,,0.0,,,,1.33,,
2016-04-22,,38998.0,,0.0,,,,1.65,,
2016-04-23,,182681.0,,0.0,,,,1.82,,
2016-04-24,,54516.0,,0.0,,,,1.27,,
2016-04-25,,30326.0,,0.0,,,,1.42,,
2016-04-26,,16705.0,,0.0,,,,0.773862,,
2016-04-27,,14913.0,,0.0,,,,0.729496,,
2016-04-28,,6142.0,,0.0,,,,0.623713,,
2016-04-29,,14024.0,,0.0,,,,0.739369,,
2016-04-30,,66785.0,,0.0,,,,0.765952,,
2016-05-01,,19716.0,,0.0,,,,1.27,,
2016-05-02,,38309.0,,0.0,,,,0.708871,,
2016-05-03,,26812.0,,0.0,,,,1.18,,
2016-05-04,,51102.0,,0.0,,,,0.725092,,
2016-05-05,,34428.0,,0.0,,,,1.52,,
2016-05-06,,15278.0,,0.0,,,,1.42,,
2016-05-07,,13246.0,,0.0,,,,0.814081,,
2016-05-08,,13948.0,,0.0,,,,0.696016,,
2016-05-09,,10017.0,,0.0,,,,0.789914,,
2016-05-10,,10911.0,,0.0,,,,0.761222,,
2016-05-11,,34101.0,,0.0,,,,0.833497,,
2016-05-12,,10514.0,,0.0,,,,1.22,,
2016-05-13,,12820.0,,0.0,,,,0.816821,,
2016-05-14,,10083.0,,0.0,,,,0.788885,,
2016-05-15,,9419.0,,0.0,,,,0.824801,,
2016-05-16,,6305.0,,0.0,,,,0.829427,,
2016-05-17,,12167.0,,0.0,,,,0.784002,,
2016-05-18,,50865.0,,0.0,,,,0.750652,,
2016-05-19,,46746.0,,0.0,,,,1.89,,
2016-05-20,,57689.0,,0.0,,,,1.42,,
2016-05-21,,66490.0,,0.0,,,,3.41,,
2016-05-22,,105457.0,,0.0,,,,4.08,,
2016-05-23,,108656.0,,0.0,,,,2.74,,
2016-05-24,9127.0,439909.0,5466.5,0.0,0.0,3882.62653137,11172.0,2.96,11853.0,366631091.751
2016-05-25,5098.0,7311180.0,4801.5,62130000.0,0.1,131.695071471,8175.0,0.6213,9219.0,23291469.6313
2016-05-26,2790.0,13981800.0,2356.2,26966400.0,0.1,53.1203643907,4242.0,0.269664,4782.0,10029118.7856
2016-05-27,1838.0,13013200.0,1540.2,51949300.0,0.1,87.7000354622,2722.0,0.519493,3106.0,8162579.03026
2016-05-28,1100.0,7676530.0,1413.0,38812800.0,0.1,94.8570089773,1620.0,0.388128,1895.0,2168289.17512
2016-05-29,1041.0,4810200.0,847.3,35364200.0,0.1,35.3642,1263.0,0.353642,1584.0,981837.522787
2016-05-30,1402.0,2470160.0,1385.8,38014900.0,0.1,48.2409081,2148.0,0.380149,2471.0,1576221.99227
2016-05-31,770.0,3073130.0,652.5,35014000.0,0.1,33.304161338,955.0,0.35014,1152.0,1381422.26519
2016-06-01,470.0,2112400.0,453.0,31452000.0,0.1,27.20598,670.0,0.31452,792.0,1337847.06143
2016-06-02,386.0,1258510.0,447.8,33635100.0,0.1,20.1678716369,498.0,0.336351,640.0,572372.080275
2016-06-03,459.0,3187760.0,284.9,33061700.0,0.1,66.1234,869.0,0.330617,935.0,668253.821963
2016-06-04,542.0,3251570.0,317.6,41022000.0,0.1,96.319656,966.0,0.41022,1035.0,1146382.55012
2016-06-05,1139.0,4247850.0,409.0,44641800.0,0.1,78.04725894,1700.0,0.446418,1787.0,2147459.78383
2016-06-06,977.0,2878930.0,377.7,48204200.0,0.1,56.1337909,1197.0,0.482042,1363.0,1334066.10952
2016-06-07,389.0,2277500.0,328.6,45222800.0,0.1,90.4003772,576.0,0.452228,675.0,1127770.53884
2016-06-08,554.0,2980240.0,412.1,41946600.0,0.1,1.258398,601.0,0.419466,849.0,741624.387798
2016-06-09,363.0,1844730.0,846.8,47378100.0,0.1,15.6678018844,398.0,0.473781,577.0,988566.086216
