,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2011-10-08,1,,0.000244140625,1,215.0,,0.0,50.0,,,,,,0,
2011-10-09,0,,0.0,0,,,0.0,0.0,,,,,,0,
2011-10-10,0,,0.0,0,,,0.0,0.0,,,,,,0,
2011-10-11,0,,0.0,0,,,0.0,0.0,,,,,,0,
2011-10-12,1,,0.000244140625,1,215.0,,0.0,50.0,,,,,,0,
2011-10-13,9775,,0.00373429952558,9682,2188856.0,,0.001,484100.0,,0.0,,52.0,,92,
2011-10-14,1530,,0.0459976604278,1122,295953.0,,0.002,56100.0,,0.0,,24.0,,62,
2011-10-15,1503,,0.0625,762,310517.0,,0.075,38100.0,,0.0,,412.0,,438,
2011-10-16,4844,,0.0743073398975,915,924909.0,,0.90707077,45750.0,,0.0,,1348.0,,1415,
2011-10-17,3140,,0.0903446288819,773,764402.0,,0.35624793,38650.0,,0.0,,1503.0,,1578,
2011-10-18,3739,,0.0903446288819,826,832340.0,,0.37451134,41300.0,,0.0,,1619.0,,1651,
2011-10-19,2624,,0.124429864463,643,702517.0,,0.31676977,32150.0,,0.0,,1357.0,,1388,
2011-10-20,3739,,0.12603975344,759,854828.0,,0.31730384,37950.0,,0.0,,1813.0,,1851,
2011-10-21,3175,,0.135533567121,831,790725.0,,0.30810998,41550.0,,0.0,,1651.0,,1681,
2011-10-22,2892,,0.168004429872,728,742599.0,,0.48386862,36400.0,,0.0,,1474.0,,1505,
2011-10-23,3120,,0.168004429872,828,755129.0,,0.434,41400.0,,0.0,,1538.0,,1562,
2011-10-24,2685,,0.19639561712,596,633027.0,,0.3396925,29800.0,,0.0,,1415.0,,1443,
2011-10-25,2409,,0.220230194069,523,571751.0,,0.233,26150.0,,0.0,,1242.0,,1260,
2011-10-26,4213,,0.220230194069,577,866683.0,,0.32674311,28850.0,,0.0,,1283.0,,1310,
2011-10-27,1873,,0.220230194069,427,424367.0,,0.14011365,21350.0,,0.0,,911.0,,933,
2011-10-28,2616,,0.199730150751,451,724373.0,,0.27703041,22550.0,,0.0,,1355.0,,1388,
2011-10-29,2930,,0.187903202684,580,784147.0,,0.69447838,29000.0,,0.0,,1484.0,,1522,
2011-10-30,3196,,0.187903202684,736,772624.0,,1.74799645,36800.0,,0.0,,1706.0,,1749,
2011-10-31,3724,,0.19345608685,660,857657.0,,0.88913483,33000.0,,0.0,,1743.0,,1779,
2011-11-01,3927,,0.202801184593,876,999232.0,,2.51915163,43800.0,,0.0,,1922.0,,1980,
