,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2014-04-22,14,,,,,12,
2014-04-23,13,,,,,9,
2014-04-24,37,,,,,35,
2014-04-25,1513,,,,,1942,
2014-04-26,23,,,,,19,
2014-04-27,19,,,,,14,
2014-04-28,31,21809.0,6731717.11299,354.010125,0.014875,32,288323.672
2014-04-29,35,16810.0,8464895.23943,445.179,0.018705,31,273122.10498
2014-04-30,21,17926.0,7713303.77335,1791.3244,0.017044,17,61823.2751
2014-05-01,11,10439.0,7193116.40633,3783.01,0.015895,9,41183.674785
2014-05-02,9,8614.0,6370669.40345,6576.098704,0.014077,6,35325.24611
2014-05-03,2,3089.0,6495246.57292,341.572694,0.014353,1,341.572694
2014-05-04,5,13680.0,6160401.62165,323.9894,0.013613,3,1694.900178
2014-05-05,15,8647.0,5753428.55301,237.86023,0.012713,18,14861.204601
2014-05-06,11,730.0,6036641.99536,796.6784445,0.013339,8,8293.483233
2014-05-07,24,17418.0,6025735.21563,543.478355,0.013315,28,122865.560575
2014-05-08,14,9497.0,6746466.74954,1106.09906,0.014908,11,42069.362256
2014-05-09,9,13650.0,6596618.30042,174.924,0.014577,9,3852.671946
2014-05-10,11,4405.0,6251737.237,699.47189,0.013814,13,23138.505256
2014-05-11,11,6910.0,6359961.02014,98.378,0.014054,10,1786.516372
2014-05-12,9,5542.0,5458522.28306,551.842531,0.012062,8,9646.5845
2014-05-13,9,6080.0,6007633.15603,1445.6475,0.013275,6,6928.9659
2014-05-14,8,879.0,5741356.36135,822.0731955,0.012687,6,5144.83224
2014-05-15,4,2813.0,5888067.79977,487.9125,0.013011,3,5188.7868
2014-05-16,9,2095.0,5791182.09767,84.613764,0.012797,6,2919.520377
2014-05-17,13,12887.0,5998172.37571,315.4452,0.013254,11,30511.224906
2014-05-18,10,6888.0,6398137.78766,302.5532,0.014138,8,39203.302614
2014-05-19,0,15966.0,5987528.70514,,0.01323,0,0.0
2014-05-20,12,2066.0,5209576.72883,1369.928,0.011512,11,35204.858712
