,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-09-06,5.0,,,,,4.0,
2017-09-07,,,,,,,
2017-09-08,,,,,,,
2017-09-09,,,,,,,
2017-09-10,,,,,,,
2017-09-11,,,,,,,
2017-09-12,,,,,,,
2017-09-13,,,,,,,
2017-09-14,,,,,,,
2017-09-15,,,,,,,
2017-09-16,3117.0,,,,,4784.0,
2017-09-17,1424.0,688849.0,0.0,309.528,0.025794,1575.0,3151564.16871
2017-09-18,762.0,378063.0,0.0,297.456,0.024788,815.0,1392261.81201
2017-09-19,422.0,181704.0,0.0,566.075406,0.024657,488.0,1158205.93933
2017-09-20,321.0,270725.0,0.0,401.020012512,0.018221,340.0,1327882.65354
2017-09-21,506.0,388625.0,0.0,893.2255926,0.022643,639.0,3235724.37425
2017-09-22,280.0,277907.0,0.0,793.2674162,0.019982,334.0,1180609.04947
2017-09-23,174.0,235828.0,0.0,408.452,0.018566,197.0,591175.362065
2017-09-24,279.0,287243.0,0.0,737.484099,0.018695,321.0,754899.02051
2017-09-25,294.0,430900.0,0.0,570.1053864,0.014452,306.0,949796.517205
2017-09-26,232.0,383967.0,0.0,616.2992286,0.015623,261.0,1163338.24605
2017-09-27,238.0,311665.0,0.0,600.993327,0.015235,244.0,1052110.82247
2017-09-28,189.0,334318.0,18067917.6379,320.859393,0.015718,192.0,687309.622852
2017-09-29,434.0,323597.0,18719872.0862,223.31641018,0.016285,455.0,982114.445809
2017-09-30,483.0,253371.0,16614989.0761,229.390587956,0.014454,486.0,522576.55609
2017-10-01,332.0,251323.0,16458643.1468,286.36,0.014318,340.0,276096.114968
2017-10-02,221.0,357266.0,16030703.2319,336.243944198,0.013945,203.0,265637.986597
2017-10-03,220.0,414285.0,15061490.0209,516.847696,0.013102,226.0,365970.357443
2017-10-04,138.0,214878.0,16120804.1937,439.77732996,0.014024,114.0,272134.227169
2017-10-05,202.0,240713.0,31842334.3206,98.028,0.014004,285.0,273019.976681
2017-10-06,238.0,282123.0,32890331.7211,152.43217,0.014465,307.0,312910.483724
2017-10-07,244.0,203767.0,32749355.497,172.994433,0.014403,285.0,258842.226697
2017-10-08,135.0,199540.0,32748169.6448,288.06,0.014403,166.0,247628.671571
2017-10-09,172.0,314901.0,32968490.8513,324.147425098,0.014499,201.0,426199.774375
2017-10-10,153.0,233675.0,23044312.6304,148.70072,0.010135,170.0,255125.743218
2017-10-11,118.0,225843.0,26135029.8333,182.65431485,0.011494,128.0,319358.249924
2017-10-12,159.0,290955.0,23654943.4061,300.9221748,0.010404,202.0,179817.566578
2017-10-13,244.0,469195.0,22162037.2854,584.82,0.009747,306.0,829402.097965
2017-10-14,2185.0,17462400.0,41749264.4486,724.3120724,0.018361,3795.0,12088747.8381
2017-10-15,262.0,3427730.0,44703339.4704,600.501153178,0.019661,422.0,1201008.17441
2017-10-16,216.0,1971230.0,31320730.3408,261.725,0.013775,349.0,1565734.6172
2017-10-17,156.0,925906.0,28106881.4358,148.319276,0.012362,223.0,252895.299737
2017-10-18,145.0,557323.0,24846919.9876,172.353727317,0.010928,195.0,578840.588167
2017-10-19,156.0,1080690.0,24942721.2178,220.988263463,0.01097,212.0,182920.901742
2017-10-20,136.0,847098.0,29749323.1551,274.737832,0.013084,164.0,445585.044117
2017-10-21,95.0,606592.0,27280519.7034,400.748086418,0.011998,143.0,1026436.56188
2017-10-22,91.0,513460.0,23301971.4488,190.6128,0.010248,133.0,456110.462622
2017-10-23,122.0,532807.0,20348162.1743,270.071871,0.008949,190.0,292655.444439
2017-10-24,377.0,1172290.0,20138079.2947,469.3776007,0.008857,559.0,722410.426219
2017-10-25,179.0,769050.0,23748259.1515,447.18873092,0.010445,314.0,562553.013995
2017-10-26,117.0,458604.0,24123984.9493,333.211446872,0.01061,177.0,122602.771998
2017-10-27,90.0,321159.0,22905814.0674,100.74,0.010074,119.0,80945.8602347
2017-10-28,104.0,317638.0,22917408.8713,211.1362886,0.010079,118.0,241146.992354
2017-10-29,128.0,374193.0,23050880.1568,120.464198468,0.010138,174.0,205708.145583
2017-10-30,135.0,351934.0,23029624.2628,270.176658548,0.010128,191.0,181527.614411
2017-10-31,161.0,355861.0,22426003.915,304.500355603,0.009863,196.0,372703.696858
2017-11-01,167.0,527477.0,21200290.7544,333.374156136,0.009324,231.0,239948.861922
2017-11-02,156.0,402388.0,23292800.7709,232.073163636,0.010244,209.0,245708.153436
2017-11-03,178.0,503432.0,24784876.2839,334.509879238,0.0109,229.0,163965.611693
2017-11-04,191.0,396268.0,24137770.7531,418.7820912,0.010616,235.0,477942.921067
2017-11-05,207.0,552450.0,25665319.5718,418.831004944,0.011288,274.0,297462.887256
2017-11-06,154.0,563483.0,28034940.834,630.0969733,0.01233,244.0,349529.617501
2017-11-07,154.0,398100.0,27325188.7903,331.949178,0.012018,209.0,174294.65528
2017-11-08,300.0,1440510.0,30740523.254,533.339664,0.01352,470.0,535237.695481
2017-11-09,329.0,653800.0,32581505.6,395.107846,0.014329,443.0,1303153.28615
2017-11-10,530.0,296429.0,34475749.2964,370.18682547,0.015162,757.0,1021889.35261
2017-11-11,314.0,237865.0,30016850.1401,330.600776136,0.013201,439.0,455515.732711
2017-11-12,290.0,242761.0,27227965.0262,411.844664069,0.011975,409.0,656707.513782
2017-11-13,188.0,225836.0,24165261.6304,347.033395116,0.010628,249.0,564466.919951
2017-11-14,157.0,244821.0,25790306.6256,265.387282167,0.011343,226.0,283147.146285
2017-11-15,129.0,283268.0,26059296.4396,451.5634,0.011461,167.0,448958.097393
2017-11-16,141.0,357512.0,27315784.4468,267.765697593,0.012013,148.0,134268.156388
