,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-06-29,3.0,,,,,2.0,
2017-06-30,2.0,,,,,1.0,
2017-07-01,,,,,,,
2017-07-02,,,,,,,
2017-07-03,,,,,,,
2017-07-04,,,,,,,
2017-07-05,,,,,,,
2017-07-06,,,,,,,
2017-07-07,,,,,,,
2017-07-08,259.0,,,,,496.0,
2017-07-09,84.0,2843520.0,25791762.8503,2710.8278,1.22,130.0,4539318.32281
2017-07-10,83.0,6413810.0,35928260.0,1756.61189392,1.7,135.0,2971626.00956
2017-07-11,79.0,17349300.0,44238676.0681,1049.979,2.1,105.0,2393460.47034
2017-07-12,110.0,43670400.0,69347187.3027,6580.0,3.29,155.0,4668189.23537
2017-07-13,67.0,8436170.0,77004207.6888,1700.41902771,3.65,116.0,1166942.75622
2017-07-14,56.0,13049400.0,68608219.0154,2453.75,3.25,76.0,1183930.53203
2017-07-15,41.0,1652160.0,54818949.3724,391.287,2.6,52.0,2891300.03935
2017-07-16,28.0,498244.0,50925610.8451,726.0,2.42,39.0,1122806.07394
2017-07-17,52.0,1740580.0,44742524.4174,604.009956734,2.12,74.0,574693.21613
2017-07-18,61.0,1624240.0,72111282.1277,342.0,3.42,81.0,1123221.31264
2017-07-19,39.0,1582240.0,70302075.0833,673.007429972,3.33,54.0,1983368.29639
2017-07-20,56.0,1406890.0,68102793.785,381.15536469,3.23,69.0,153691088.888
2017-07-21,44.0,962166.0,87096646.7593,723.725016306,4.13,57.0,835675.627129
2017-07-22,46.0,640571.0,79532650.8428,2229.33690831,3.77,59.0,919096.200618
2017-07-23,39.0,526299.0,85425909.7288,664.024549059,4.05,39.0,554954.854907
2017-07-24,40.0,1170890.0,87746925.8067,985.8784,4.16,48.0,423702.057537
2017-07-25,68.0,2000850.0,93466280.6277,693.506229931,4.43,126.0,211301417.756
2017-07-26,65.0,688758.0,87076035.9516,346.92,4.13,105.0,6108773.1798
2017-07-27,69.0,747201.0,92814812.944,378.823924512,4.4,88.0,455842.477057
2017-07-28,55.0,727796.0,86940676.6496,301.94347,4.12,98.0,393383.974273
2017-07-29,58.0,773633.0,74471430.9415,922.562944103,3.53,84.0,1909998.96322
2017-07-30,37.0,1298790.0,81867371.0989,201.958351342,3.88,52.0,2491081.8322
2017-07-31,52.0,688906.0,69250525.3966,351.056970235,3.59,79.0,2495454.194
2017-08-01,38.0,1069850.0,69591865.946,645.167397033,3.61,42.0,331017.3523
2017-08-02,49.0,680319.0,74850413.0726,1163.9612,3.88,63.0,496595.819014
2017-08-03,31.0,396523.0,69283461.5487,699.531013301,3.59,50.0,142524.799526
2017-08-04,47.0,577748.0,74304262.1622,473.5115,3.85,85.0,165095.694355
2017-08-05,64.0,885587.0,78525209.3101,1017.5,4.07,108.0,700301.815385
2017-08-06,74.0,884380.0,80325749.5184,648.18425177,4.16,142.0,738504.310214
2017-08-07,88.0,1179490.0,88394549.9606,265.64,4.58,119.0,335296.739582
2017-08-08,86.0,626820.0,98314647.2287,765.092667668,5.09,110.0,3854994.99239
2017-08-09,60.0,494339.0,95398898.3311,497.063959863,4.94,71.0,485164.278778
2017-08-10,98.0,1699690.0,89498321.7123,643.106815575,4.64,114.0,418011.910793
2017-08-11,155.0,8651990.0,110242089.961,1281.09335691,5.71,188.0,5022441.59161
2017-08-12,126.0,6038650.0,145098815.666,752.0,7.52,173.0,2163940.22971
2017-08-13,93.0,3063580.0,176472469.987,600.449087747,9.14,116.0,1373670.50749
2017-08-14,103.0,2895710.0,180519855.837,1201.5522734,9.35,126.0,1765618.21038
2017-08-15,68.0,1793580.0,152840932.006,1250.587776,7.92,87.0,2287764.01328
2017-08-16,94.0,1803970.0,138520896.51,758.936633221,7.18,123.0,1199069.11913
2017-08-17,163.0,8980110.0,183046612.512,625.774880485,9.48,210.0,2206543.3786
2017-08-18,126.0,4491210.0,193674513.349,901.301139771,10.03,171.0,1387746.22549
2017-08-19,142.0,8207440.0,204901092.251,1939.3713,10.62,186.0,8094213.7144
2017-08-20,90.0,2761560.0,193079431.624,435.9431408,10.0,105.0,1709705.85337
2017-08-21,113.0,2593030.0,178355366.732,415.7076,9.24,144.0,1129877.129
2017-08-22,90.0,1520480.0,177611148.264,717.508,9.2,122.0,376243.645968
2017-08-23,143.0,1220680.0,188472553.849,1299.41,9.77,183.0,10268955.5434
2017-08-24,91.0,1562100.0,173875896.302,796.76494982,9.01,139.0,3233315.43528
2017-08-25,128.0,961836.0,194262423.531,461.205854035,10.07,188.0,680147.703817
2017-08-26,128.0,1025560.0,185908819.137,454.372995831,9.63,168.0,990484.91065
2017-08-27,109.0,1262120.0,196072176.646,741.372596094,10.16,154.0,1316393.3956
2017-08-28,141.0,1806910.0,191809539.13,379.152653691,9.94,188.0,2340135.62181
2017-08-29,138.0,2137900.0,182717271.17,407.21,9.47,180.0,328770.19794
2017-08-30,151.0,1099310.0,182843735.84,473.5,9.47,212.0,485791.367146
2017-08-31,150.0,1511690.0,182189211.357,471.9056,9.44,191.0,795962.423051
2017-09-01,258.0,11796600.0,184683945.695,451.065223123,9.57,340.0,3062026.82298
2017-09-02,144.0,7753150.0,255650231.087,293.681348295,13.25,179.0,1736079.3346
2017-09-03,115.0,2574300.0,207781326.389,244.175978942,10.77,151.0,600227.396238
2017-09-04,187.0,5212850.0,213292372.492,442.442,11.05,253.0,1335022.02216
2017-09-05,149.0,2746360.0,190270913.233,417.696564734,9.86,186.0,2992201.22419
2017-09-06,151.0,3288170.0,219293806.118,834.801679031,11.36,200.0,13483898.3742
2017-09-07,167.0,12706700.0,232353051.905,1204.0,12.04,229.0,6146758.41653
2017-09-08,205.0,7425800.0,261070145.602,660.264,13.53,259.0,3018253.60184
2017-09-09,155.0,2628730.0,237344228.575,381.896583948,12.3,217.0,3181834.35802
2017-09-10,159.0,2751050.0,235968620.84,314.41645984,12.23,218.0,2129933.72557
2017-09-11,139.0,2243030.0,221156742.969,355.1454,11.46,171.0,1833229.84634
2017-09-12,168.0,2627510.0,209055401.06,352.256907066,10.83,222.0,2829915.86847
2017-09-13,182.0,4002980.0,206175638.066,438.841245924,10.68,223.0,2154589.54346
2017-09-14,248.0,3149780.0,193904834.271,141.713375117,10.05,294.0,1551494.38823
2017-09-15,249.0,3214850.0,145295552.969,86.5197,7.53,302.0,1484753.5435
2017-09-16,129.0,1107890.0,191371450.185,500.231223034,9.92,148.0,1535531.02135
2017-09-17,98.0,1106120.0,180513921.261,93.5,9.35,113.0,2367640.94887
2017-09-18,160.0,2008760.0,175847000.501,329.779421824,9.11,188.0,2186157.85525
2017-09-19,159.0,2168430.0,184609219.168,366.812285491,9.56,207.0,787660.779783
2017-09-20,111.0,1260170.0,163912341.582,393.318006957,8.49,137.0,674923.762566
2017-09-21,172.0,2194620.0,161499147.843,280.268986679,8.37,222.0,676567.614639
2017-09-22,104.0,1034690.0,149497701.138,183.326101355,7.75,125.0,168130.474468
