,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-07-24,50.0,,,,,51.0,
2017-07-25,20.0,,,,,18.0,
2017-07-26,,,,,,,
2017-07-27,,,,,,,
2017-07-28,,,,,,,
2017-07-29,,,,,,,
2017-07-30,2.0,,,,,1.0,
2017-07-31,4.0,,,,,3.0,
2017-08-01,,,,,,,
2017-08-02,,,,,,,
2017-08-03,18.0,,,,,12.0,
2017-08-04,22.0,,,,,18.0,
2017-08-05,32.0,,,,,26.0,
2017-08-06,13.0,,,,,8.0,
2017-08-07,36.0,,,,,38.0,
2017-08-08,17.0,,,,,15.0,
2017-08-09,2.0,,,,,2.0,
2017-08-10,3.0,,,,,4.0,
2017-08-11,4.0,,,,,2.0,
2017-08-12,6.0,,,,,3.0,
2017-08-13,15.0,,,,,12.0,
2017-08-14,17.0,,,,,9.0,
2017-08-15,10.0,,,,,8.0,
2017-08-16,7.0,,,,,8.0,
2017-08-17,4.0,,,,,2.0,
2017-08-18,9.0,,,,,5.0,
2017-08-19,17.0,,,,,13.0,
2017-08-20,,,,,,,
2017-08-21,,,,,,,
2017-08-22,20.0,,,,,20.0,
2017-08-23,14.0,995797.0,162441645.991,1449.182532,4.58,21.0,888803.258344
2017-08-24,12.0,441121.0,154983320.122,151.639,4.37,11.0,134378.307139
2017-08-25,13.0,1231690.0,159519870.172,1295.5895,4.49,11.0,239000.119597
2017-08-26,18.0,1828830.0,175456914.482,1484.4206,4.94,11.0,427410.113546
2017-08-27,7.0,1058870.0,201819154.964,373.0056,5.68,7.0,93559.34404
2017-08-28,16.0,1046260.0,196486131.006,19175.325,5.54,10.0,666644.787314
2017-08-29,10.0,644801.0,179856886.886,3244.7896065,5.07,6.0,191122.070763
2017-08-30,9.0,277276.0,183472015.664,1051.41256,5.17,7.0,20541.380409
2017-08-31,2.0,934.0,192462281.46,347.49517,5.42,1.0,347.49517
2017-09-01,4.0,92150.9473684,190245553.132,52.7985947368,5.35754385965,2.0,105.597189474
2017-09-02,3.0,183367.894737,188028824.804,579150.298725,5.2950877193,2.0,1158300.59745
2017-09-03,2.0,274584.842105,185812096.476,520.646842105,5.23263157895,1.0,520.646842105
2017-09-04,29.0,365801.789474,183595368.147,3994.88857281,5.1701754386,35.0,341227.746813
2017-09-05,30.0,457018.736842,181378639.819,3579.60205404,5.10771929825,33.0,713445.261112
2017-09-06,32.0,548235.684211,179161911.491,1375.08849179,5.04526315789,29.0,370782.105757
2017-09-07,19.0,639452.631579,176945183.163,5904.65994974,4.98280701754,28.0,604414.705489
2017-09-08,37.0,730669.578947,174728454.834,2952.13672105,4.92035087719,46.0,712186.022766
2017-09-09,74.0,821886.526316,172511726.506,968.918521316,4.85789473684,110.0,1364199.96015
2017-09-10,196.0,913103.473684,170294998.178,971.397849947,4.79543859649,228.0,2413936.01616
2017-09-11,385.0,1004320.42105,168078269.85,1883.72701754,4.73298245614,499.0,10847535.8141
2017-09-12,147.0,1095537.36842,165861541.522,934.105263158,4.67052631579,169.0,1257515.45856
2017-09-13,65.0,1186754.31579,163644813.193,1382.42105263,4.60807017544,84.0,1199868.96155
2017-09-14,51.0,1277971.26316,161428084.865,659.984065614,4.54561403509,60.0,564582.37194
2017-09-15,50.0,1369188.21053,159211356.537,452.350631579,4.48315789474,45.0,572425.312123
2017-09-16,27.0,1460405.15789,156994628.209,495.134732053,4.42070175439,26.0,177962.254701
2017-09-17,30.0,1551622.10526,154777899.88,435.824561404,4.35824561404,29.0,42704.5198124
2017-09-18,35.0,1642839.05263,152561171.552,1289.58805279,4.29578947368,34.0,201840.940094
2017-09-19,21.0,1734056.0,150344443.224,1519.63966667,4.23333333333,18.0,107300.37595
