,activeaddresses,exchangevolume(usd),fees,marketcap(usd),price(usd),txcount,txvolume(usd)
2016-09-09,,1349.0,,0.0,0.181483,,
2016-09-10,,811.0,,0.0,0.558536,,
2016-09-11,,879.0,,0.0,0.390948,,
2016-09-12,,1116.0,,0.0,0.376312,,
2016-09-13,,3337.0,,0.0,0.374469,,
2016-09-14,,4129.0,,0.0,0.309516,,
2016-09-15,,1982.0,,0.0,0.325188,,
2016-09-16,,15105.0,,0.0,0.349726,,
2016-09-17,,21060.0,,0.0,0.388924,,
2016-09-18,,105159.0,,0.0,0.426591,,
2016-09-19,,1448.0,,0.0,0.384877,,
2016-09-20,,1171.0,,0.0,0.331291,,
2016-09-21,,156.0,,0.0,0.312539,,
2016-09-22,,54002.0,,0.0,0.303806,,
2016-09-23,,16845.0,,0.0,0.252745,,
2016-09-24,,21740.0,,0.0,0.243321,,
2016-09-25,,3075.0,,0.0,0.213843,,
2016-09-26,,9657.0,,0.0,0.199118,,
2016-09-27,,19806.0,,0.0,0.202473,,
2016-09-28,,6354.0,,0.0,0.197915,,
2016-09-29,,11050.0,,0.0,0.194845,,
2016-09-30,,2032.0,,0.0,0.191685,,
2016-10-01,,2748.0,,0.0,0.184979,,
2016-10-02,,4178.0,,0.0,0.202302,,
2016-10-03,,913.0,,0.0,0.177613,,
2016-10-04,,506.0,,0.0,0.178659,,
2016-10-05,,1864.0,,0.0,0.185765,,
2016-10-06,,2612.0,,0.0,0.289361,,
2016-10-07,,5785.0,,0.0,0.179898,,
2016-10-08,,31830.0,,0.0,0.202812,,
2016-10-09,,30052.0,,0.0,0.205045,,
2016-10-10,,11204.0,,0.0,0.186466,,
2016-10-11,,5949.0,,0.0,0.193114,,
2016-10-12,,12201.0,,0.0,0.193611,,
2016-10-13,,1318.0,,0.0,0.186072,,
2016-10-14,,2335.0,,0.0,0.1854,,
2016-10-15,,596.0,,0.0,0.191007,,
2016-10-16,,16019.0,,0.0,0.179883,,
2016-10-17,3.0,12989.0,0.0,0.0,0.175871,8.0,35174200.0
2016-10-18,827.0,406917.0,0.0,0.0,0.192736,1674.0,38252276.3365
2016-10-19,693.0,228476.0,0.0,0.0,0.197446,1470.0,12065845.8842
2016-10-20,450.0,286750.0,0.0,0.0,0.117083,962.0,1469537.88667
2016-10-21,322.0,269793.0,0.0,0.0,0.092487,823.0,713792.099172
2016-10-22,233.0,293121.0,0.0,0.0,0.080197,570.0,358433.193573
2016-10-23,151.0,107073.0,0.0,0.0,0.081487,317.0,259515.560276
2016-10-24,284.0,522611.0,0.0,0.0,0.081,787.0,560351.034
2016-10-25,1943.0,365986.0,0.0,4681050.0,0.093621,3067.0,1227515.11186
2016-10-26,515.0,494772.0,0.0,6785000.0,0.1357,1008.0,593876.2587
2016-10-27,287.0,169528.0,0.0,6480400.0,0.129608,580.0,433472.530312
2016-10-28,775.0,545958.0,0.0,6372350.0,0.127447,1106.0,270781.797914
2016-10-29,335.0,714101.0,0.0,7561850.0,0.151237,755.0,791696.808733
2016-10-30,217.0,377793.0,0.0,8647300.0,0.172946,395.0,188951.979354
2016-10-31,404.0,917488.0,0.0,9080500.0,0.18161,1068.0,826270.83539
