Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-07-06,8,,,,,12,
2017-07-07,2,,,,,2,
2017-07-08,316,,,,,545,
2017-07-09,2066,,,,,3307,
2017-07-10,1948,,,,,2747,
2017-07-11,637,,,,,892,
2017-07-12,399,,,,,617,
2017-07-13,544,,,,,1023,
2017-07-14,661,750698.0,0.0,1171.94319615,0.534731,1218,14286533.2824
2017-07-15,423,1552730.0,57654693.3452,896.60556048,0.586446,761,9965338.358
2017-07-16,574,1743630.0,42380445.719,666.7960908,0.431081,1286,9306797.56044
2017-07-17,603,4273090.0,37524126.4251,485.371036082,0.381684,1206,5882562.19176
2017-07-18,735,8394650.0,56453123.848,887.3770584,0.574224,1579,9701371.01734
2017-07-19,472,4236020.0,74647336.3833,1030.83520927,0.75929,1126,10016889.9656
2017-07-20,320,3376440.0,58605665.172,856.773352867,0.596119,720,4861050.84584
2017-07-21,305,2140420.0,65844871.2716,1242.64183597,0.669754,691,4124116.55507
2017-07-22,393,3596130.0,72951257.9758,1483.333962,0.742038,899,8314301.43901
2017-07-23,798,15198100.0,86214241.9251,878.973,0.878973,1718,8228383.09879
2017-07-24,992,12526000.0,148152300.934,1509.245,1.51,2178,16537411.8352
2017-07-25,624,8132390.0,150765925.098,1529.235,1.53,1310,7903754.30701
2017-07-26,418,4740910.0,120503054.256,1229.385,1.23,980,5963105.21801
2017-07-27,416,5379280.0,119157535.63,1209.395,1.21,872,4355127.98699
2017-07-28,400,5438700.0,135802844.017,1380.0,1.38,943,5206595.60065
2017-07-29,314,2651230.0,117167709.586,1189.9881,1.19,630,3636064.46897
2017-07-30,281,1749290.0,124348590.562,1009.15343,1.27,610,1584515.65538
2017-07-31,284,2153100.0,117532264.39,782.21484,1.2,567,2840004.27609
2017-08-01,307,4360060.0,120249989.805,679.335300775,1.22,662,1701358.22064
2017-08-02,413,3708080.0,131613056.058,1261.72503235,1.34,835,6702471.78876
2017-08-03,981,18348800.0,135865792.684,1337.22,1.38,2009,12755075.3291
2017-08-04,2157,44051500.0,192036296.033,1578.79830131,1.95,4219,28592341.0854
2017-08-05,3358,95593696.0,274466062.197,1642.07387947,2.79,6752,81155983.8581
2017-08-06,1772,39669900.0,356339889.105,2015.947975,3.62,3102,42289000.7725
2017-08-07,1455,34417900.0,265808185.714,1349.973,2.7,2845,24689853.693
2017-08-08,2136,49778700.0,309762655.554,1575.0,3.15,4587,29538657.2852
2017-08-09,1214,24783900.0,355739949.739,1809.9638,3.62,2935,23474788.1956
2017-08-10,3224,234692992.0,334968683.546,1046.817486,3.41,7673,52118713.9591
2017-08-11,3243,200287008.0,585953440.68,1156.05487584,5.96,6679,131200832.484
2017-08-12,2536,87590304.0,707973505.008,1468.77942301,7.2,5276,50955758.4787
2017-08-13,2337,128909000.0,607861587.112,1537.34576137,6.18,4979,66440944.9797
2017-08-14,2189,85191296.0,675936763.829,1371.42320958,6.88,4382,40939174.0428
2017-08-15,1983,67045700.0,682552649.465,1387.37539688,6.94,3830,37963955.1326
2017-08-16,3020,204580000.0,655731589.204,1192.85204099,6.67,5940,54108859.409
2017-08-17,2696,131488000.0,874479792.608,1116.8751475,8.89,4986,46173780.6879
2017-08-18,2672,104224000.0,826029144.033,1176.0,8.4,5244,42780807.2024
2017-08-19,2502,70997400.0,718690378.919,913.7782166,7.31,4509,39523774.9236
2017-08-20,2611,74687696.0,762899498.123,775.9224,7.76,4554,27552613.2083
2017-08-21,2713,71569400.0,830549226.441,963.2155,8.45,4543,35506883.2059
2017-08-22,2708,41423400.0,754273898.757,499.560491245,7.67,4158,26159871.8448
2017-08-23,4454,64455600.0,747735027.471,611.913288365,7.61,7370,48091981.201
2017-08-24,3449,31284200.0,806426352.879,581.533509125,8.2,5406,30839819.7145
2017-08-25,3198,24205300.0,824070936.261,511.18,8.38,4807,22108585.0798
2017-08-26,2844,25661900.0,811818997.568,407.042454277,8.26,4100,16404436.515
2017-08-27,2901,22915000.0,815158331.304,414.4171,8.29,4111,13148368.7951
2017-08-28,3375,52390300.0,819250909.288,587.861999271,8.33,5115,37508634.849
2017-08-29,3589,86155000.0,843256799.163,772.645879091,8.58,5524,37479549.0271
2017-08-30,6632,194612992.0,933023248.092,716.16271721,9.49,11030,71132182.876
2017-08-31,5264,89710200.0,1098248200.75,480.1983,11.17,7625,54185667.8666
2017-09-01,5732,91962400.0,1153537234.16,582.648703645,11.73,8695,52527054.7018
2017-09-02,3212,93561000.0,1178564708.06,1197.801,11.99,4963,59175228.8313
2017-09-03,2800,68616800.0,1060666308.8,1023.6484929,10.79,4263,48762767.8816
2017-09-04,5046,159979008.0,1037532070.61,1164.41207641,10.55,8073,146340055.337
2017-09-05,4947,111430000.0,853402771.271,806.000659878,8.68,7465,58021755.0499
2017-09-06,7539,95001000.0,1077675663.4,745.240854278,10.96,10725,132418151.442
2017-09-07,5306,153192000.0,1145610956.6,844.679755,11.65,8081,65143113.4404
2017-09-08,4833,99091800.0,1269629451.23,1029.952054,12.91,6861,70084081.497
2017-09-09,7271,63245300.0,1119019718.0,1033.45871679,11.38,10624,69635308.6212
2017-09-10,4820,53265800.0,1208774113.06,1552.18974901,12.29,6679,77626871.6338
2017-09-11,3245,37733800.0,1122307123.2,740.626315177,11.42,4582,120547642.361
2017-09-12,5469,130591000.0,1118058471.75,738.9363,11.37,8631,65546190.1691
2017-09-13,24396,85896496.0,1148511716.34,532.292268691,11.68,26840,120732915.998
2017-09-14,46557,95558496.0,1039769182.99,60.2781852413,10.58,49178,68108300.9204
2017-09-15,18621,156528000.0,799342625.442,17.782490085,8.13,21329,40832256.6511
2017-09-16,42423,66155100.0,979401740.242,11.328773858,9.96,44019,25468403.2268
2017-09-17,88119,40154600.0,973462592.644,4.06168020388,9.9,89379,17689280.234
2017-09-18,63113,54086300.0,971234334.659,1.52305812112,9.88,64858,47000890.9301
2017-09-19,61054,38392200.0,1080888277.32,0.831132187757,11.0,62302,26602557.1568
2017-09-20,25466,36072700.0,975289534.595,0.577006509171,9.92,26609,17597294.5855
2017-09-21,58559,51911500.0,897081566.897,0.314449448664,9.12,59893,25376909.1689
2017-09-22,51864,42277500.0,799046674.616,0.135971965093,8.13,52520,13213303.1155
2017-09-23,34327,28436100.0,851306700.755,0.081409407925,8.66,34997,16726473.7445
2017-09-24,2804,19730500.0,885702347.57,277.813153473,9.01,3381,11985895.8527
2017-09-25,3661,59857600.0,851714166.962,346.4,8.66,4934,18944730.5178
2017-09-26,3263,26920700.0,984036811.955,308.153126381,10.01,4000,14894252.1788
2017-09-27,3497,38915800.0,961212631.892,367.947844033,9.78,4421,18505211.2963
2017-09-28,4309,66693200.0,1017083248.2,433.665,10.35,5634,30829679.8988
2017-09-29,3815,51306900.0,1029000674.0,271.173,10.47,4648,22571383.8972
2017-09-30,3995,26871400.0,957890285.425,143.774499028,9.74,4791,17840331.2527
2017-10-01,3966,21494500.0,993715937.823,194.898840221,10.11,4648,17897488.9526
2017-10-02,4559,36673900.0,965236237.439,299.51,9.82,5527,27462506.2878
2017-10-03,4161,35595500.0,903837553.269,292.332739027,9.19,5138,24325169.9642
2017-10-04,3297,19933100.0,910470260.372,217.863175715,9.26,3917,11679895.3846
2017-10-05,2736,19715100.0,852634518.378,321.424075768,8.67,3305,11769456.2162
2017-10-06,2458,13957500.0,867515568.88,296.390470414,8.82,2886,8552968.06956
2017-10-07,2877,18207700.0,851839720.658,398.36,8.66,3461,12768393.5378
2017-10-08,3882,27120900.0,839364430.818,431.4408,8.54,4957,19099662.9231
2017-10-09,4097,34823600.0,765019500.493,389.968784436,7.78,5238,14416362.6759
2017-10-10,3582,27542200.0,736671991.429,320.180677909,7.49,4503,13593599.3627
2017-10-11,3246,57741200.0,798691057.81,551.348,8.12,4477,24206631.4759
2017-10-12,3292,49996900.0,910089570.763,416.497013392,9.26,4081,16108896.5229
2017-10-13,3626,33908900.0,805413149.176,491.4,8.19,4450,19060921.6413
2017-10-14,3179,20284600.0,817320870.71,309.23717726,8.31,3990,16594544.9634
2017-10-15,3368,23508300.0,789061230.794,409.305520868,8.03,4309,14565171.2736
2017-10-16,3186,19951300.0,786463128.662,291.63689504,8.0,4095,99771903.0587
2017-10-17,4958,23177500.0,772307940.991,314.4,7.86,6446,33514482.2864
2017-10-18,3403,20915200.0,783083099.107,302.86,7.97,4403,12653792.4448
2017-10-19,3151,14064200.0,768442807.631,237.677067714,7.82,3860,10595911.9185
2017-10-20,3381,20554400.0,776513056.238,308.1,7.9,4234,21028473.7254
2017-10-21,3605,19448800.0,718690148.453,300.624572192,7.31,4522,11096398.977
2017-10-22,3205,19588000.0,724311169.01,294.924833207,7.37,3987,11127414.2227
2017-10-23,3138,17684200.0,752379516.544,324.793637419,7.65,3955,10056097.4542
2017-10-24,4766,54151300.0,746328689.185,428.548584898,7.59,6380,22451427.4966
2017-10-25,3058,20363000.0,798082014.168,312.035386877,8.12,3761,10329249.0683
2017-10-26,2872,19134300.0,752616292.797,368.926660596,7.66,3634,9834932.427
2017-10-27,3050,28704900.0,752359187.172,382.5,7.65,3853,14419445.0231
2017-10-28,2764,17242600.0,735868889.809,313.831,7.49,3471,12519673.2688
2017-10-29,3361,18076000.0,703563098.636,297.101757259,7.16,4274,14239358.2695
2017-10-30,3032,14224900.0,715802355.983,355.992,7.28,3741,11149911.4005
2017-10-31,3660,21797300.0,711278110.93,362.186320041,7.23,4700,17217952.3775
2017-11-01,5278,37953700.0,671787436.235,368.466174857,6.83,7064,30518063.7962
2017-11-02,5400,55264500.0,594780107.905,357.913016399,6.05,7163,24680507.6616
2017-11-03,3603,27548300.0,612274591.221,283.760599794,6.23,4631,14167551.4126
2017-11-04,2800,16963100.0,660613782.028,301.40717927,6.72,3513,9145228.13084
2017-11-05,2589,12819400.0,632878799.835,301.910837827,6.44,3235,9399952.67485
2017-11-06,2777,21223900.0,640413852.383,314.0,6.28,3704,10653272.1916
2017-11-07,2993,17428900.0,665189209.118,325.348,6.52,3841,13258574.6307
2017-11-08,4966,83658200.0,646621261.958,330.388015886,6.34,6448,20695987.1405
2017-11-09,5756,53112900.0,782226792.519,383.5,7.67,7768,27490867.7977
2017-11-10,4486,43885700.0,820287524.902,401.196,8.04,5710,15947374.4135
2017-11-11,3292,26845400.0,713649709.027,298.97882415,6.99,4116,10069108.5323
2017-11-12,4501,40913300.0,743708463.296,383.402212059,7.29,5844,26129571.4585
2017-11-13,4212,45628000.0,673190808.824,561.198,6.6,5535,25594120.2726
2017-11-14,3816,25075600.0,770875263.661,604.0,7.55,4820,22495419.1963
2017-11-15,3359,29403800.0,802761766.87,499.049303884,7.87,4043,12905586.0711
2017-11-16,3214,25723800.0,787340507.961,415.933674526,7.72,4073,54503213.8288
2017-11-17,2880,28740500.0,727957890.608,498.387,7.13,3577,12890214.0578
2017-11-18,4619,61839300.0,784387418.19,384.5,7.69,6142,19004758.2764
2017-11-19,4019,27424000.0,809697233.581,388.386337988,7.93,5166,16678291.1528
2017-11-20,4247,25838900.0,796278823.412,389.22,7.8,5367,21669546.4903
2017-11-21,4104,28377000.0,824873497.799,392.128509192,8.08,5151,21799544.5962
2017-11-22,3863,23540600.0,784127991.295,320.482643098,7.68,4777,12996246.7366
2017-11-23,3997,29220900.0,814162439.782,416.556,7.98,4973,17933120.7699
2017-11-24,3528,25535100.0,785709063.43,403.495885639,7.7,4243,15914995.3695
2017-11-25,4999,68154896.0,775858682.936,425.6,7.6,6641,21597806.8308
2017-11-26,4524,35970800.0,891616596.214,437.0,8.74,5648,16884003.9587
2017-11-27,5065,54701200.0,869522553.408,434.770965205,8.52,6545,21939863.6464
2017-11-28,5698,60471100.0,967739415.514,462.624,9.48,7183,31260796.6819
2017-11-29,6195,68267600.0,960778958.4,521.7254624,9.42,8047,41778209.022
2017-11-30,4311,46661000.0,811180412.048,397.5,7.95,5431,25852828.3499
2017-12-01,3634,45778600.0,828324842.139,400.0724,8.12,4655,19988659.4587
2017-12-02,4411,49352400.0,906231296.223,512.230222731,8.88,5725,30052694.971
2017-12-03,5924,53617600.0,948735084.719,929.07,9.3,7477,39627099.8272
2017-12-04,3809,51229800.0,961469486.346,425.878845317,9.42,4562,15596458.2997
2017-12-05,2711,63711700.0,1062631805.47,571.509,10.41,2957,17286731.659
2017-12-06,3309,64531900.0,1031604824.75,602.605443056,10.11,4539,27317368.4398
2017-12-07,2774,54413600.0,879633689.126,646.5,8.62,3451,19110427.5345
2017-12-08,4569,54457900.0,803904989.202,810.75776568,7.88,5378,20458056.1832
2017-12-09,4382,41798400.0,860644810.402,1063.96269138,8.43,4942,27985961.1103
2017-12-10,4092,34660500.0,876438569.805,686.341,8.59,4581,21855186.9192
2017-12-11,3823,47554300.0,811253593.235,603.180705299,7.95,4541,23124667.1879
2017-12-12,6743,116442000.0,925499195.592,581.6183757,9.07,8613,35234991.2346
2017-12-13,4421,110463000.0,1057486572.29,1026.51955613,10.36,5982,47556674.643
2017-12-14,4054,95547296.0,1091406726.78,811.923200137,10.7,5430,43968707.8428
2017-12-15,4017,77923696.0,1168108081.28,919.884251971,11.45,5104,31097695.7066
2017-12-16,6537,316999008.0,1208048347.63,1025.15248551,11.84,8961,93469229.4764
2017-12-17,5945,197259008.0,1448206291.33,806.823532531,14.19,7701,49538549.9914
2017-12-18,5875,216024000.0,1653259114.9,1002.78,16.2,7979,68754253.798
2017-12-19,6582,247996000.0,1888265919.1,999.0,18.5,8913,71777578.2095
2017-12-20,4893,178068992.0,1856174883.57,871.301,18.19,6463,53005573.6598
2017-12-21,5855,127590000.0,1823351282.39,852.399,17.87,7075,45698144.0504
2017-12-22,5699,210268992.0,1788708714.8,1237.73809351,17.53,8425,102489390.896
2017-12-23,5587,106232000.0,1342619047.07,655.368,13.16,7285,41457203.9494
2017-12-24,4490,87459296.0,1482543957.34,896.8494294,14.53,5888,48267330.1108
2017-12-25,3893,91485296.0,1484163544.23,736.897509296,14.54,5514,31667945.7603
2017-12-26,3972,89081800.0,1591926478.9,753.751050156,15.6,5540,35379677.0155
2017-12-27,4109,65350300.0,1555683311.29,722.320233605,15.25,5515,31852531.7337
2017-12-28,3779,69410704.0,1530536842.94,737.394,15.0,4859,22372814.6596
2017-12-29,4419,121258000.0,1546549856.64,756.484,15.16,5789,35673225.4739
2017-12-30,3951,124915000.0,1627342962.4,717.75,15.95,5068,37081034.8875
2017-12-31,5380,349531008.0,1633660185.08,1088.68,16.01,7659,73872642.9723
2018-01-01,5878,166860000.0,2000282337.75,733.999540344,19.6,7203,105504256.578
2018-01-02,5820,229552992.0,1973065474.78,801.646069838,19.34,7661,44606479.0051
2018-01-03,5411,139039008.0,2056157417.82,804.065729363,20.15,6641,49459510.9869
2018-01-04,4710,150260000.0,2102160945.04,791.921822758,20.6,5043,26273018.4653
2018-01-05,3456,138392992.0,2021279082.62,777.82690068,19.81,3325,18406957.9111
2018-01-06,5252,99421600.0,1907810324.1,843.072138826,18.7,5698,30836625.2722
2018-01-07,6481,250608992.0,1970595047.41,965.5,19.31,8376,75682169.0633
2018-01-08,7118,382895008.0,2488724076.77,1316.41032381,24.39,8949,90054058.1398
2018-01-09,5588,191508992.0,2432781006.42,1100.40861337,23.84,6682,49085918.418
2018-01-10,5239,137934000.0,2591536710.96,1159.16865003,25.4,5898,40681767.1507
2018-01-11,5114,122602000.0,2393542488.25,1098.76531895,23.46,5940,49318971.0853
2018-01-12,4576,83835504.0,2213858016.31,716.1,21.7,4975,27240402.4108
2018-01-13,4915,120921000.0,2329359727.07,919.4165969,22.83,5513,33626481.1741
2018-01-14,4310,74017296.0,2624115915.77,764.7842,25.72,4436,29126475.2823
2018-01-15,3781,91802400.0,2418526920.23,898.771545,23.7,4148,31175943.743
2018-01-16,4661,132224000.0,2295336529.06,1152.02066254,22.5,5336,41853525.1126
2018-01-17,4815,114904000.0,1764984251.58,922.720790437,17.3,5518,41922414.6464
2018-01-18,3891,87971600.0,1860162274.51,832.16579036,18.23,4307,35087367.1255
2018-01-19,3198,72477800.0,1798243412.63,886.951810464,17.62,3581,35659199.5091
2018-01-20,4063,89103800.0,1901158835.59,741.474,18.63,4522,33152838.2626
2018-01-21,3033,55861100.0,2013785826.92,1279.226025,19.74,3442,41846493.5855
2018-01-22,2791,70101200.0,1748540254.37,987.311571306,17.14,3314,32025309.1386
2018-01-23,2995,58931400.0,1597518414.64,753.009435812,15.66,3549,23366213.6816
2018-01-24,3049,72241696.0,1637782955.82,860.328619141,16.05,3805,21641831.5248
2018-01-25,2763,79337504.0,1841632185.56,939.82018,18.05,3373,36030787.3821
2018-01-26,3289,145708992.0,1829104302.2,1538.24204791,17.93,5180,84624434.6759
2018-01-27,2986,99130000.0,1693386951.53,1060.35194047,16.6,4042,54817088.4983
2018-01-28,3680,83798896.0,1638726667.67,963.6,16.06,4805,43613130.7986
2018-01-29,2923,46635600.0,1749708940.79,857.5,17.15,3406,24653521.0162
2018-01-30,3459,96893296.0,1723048186.48,1346.133,16.89,4426,35710709.6039
2018-01-31,2898,71504304.0,1520636874.5,924.881121352,14.9,3443,25248874.5948
2018-02-01,4350,60157800.0,1616900447.55,329.71320575,15.85,4998,28905509.6085
2018-02-02,2967,62454300.0,1425749623.18,970.653626609,13.97,3712,42328675.7885
2018-02-03,2439,31593400.0,1362714075.5,683.720872377,13.35,2726,10872350.8406
2018-02-04,2211,36225800.0,1438065679.17,780.225879185,14.09,2578,23470714.4511
2018-02-05,3229,45236500.0,1215927334.9,769.731862148,11.92,3818,19848065.5508
2018-02-06,3084,56968000.0,949932602.288,666.771189715,9.31,3879,16528944.6926
2018-02-07,2477,36639600.0,1155386622.54,668.6019896,11.32,3113,22525230.7799
2018-02-08,1580,31563700.0,1110605798.76,544.0,10.88,1800,9251746.08991
2018-02-09,1960,41973800.0,1245845167.93,748.970772152,12.21,2332,20887832.4694
2018-02-10,2735,43385500.0,1347284695.44,778.307382996,13.2,3439,15782422.0816
2018-02-11,2126,29981600.0,1279138869.27,664.62,12.54,2555,9677502.20591
2018-02-12,2748,24588600.0,1219522457.26,447.956850833,11.95,3055,13343653.3934
2018-02-13,2065,23326000.0,1314773487.44,632.829158998,12.88,2419,10838921.2457
2018-02-14,2827,91650800.0,1323610216.05,791.199993774,12.97,3800,16820481.8033
2018-02-15,2488,54142700.0,1594877246.23,498.597,15.63,4401,18828020.143
2018-02-16,2493,81337504.0,1700899547.77,477.36958966,16.67,6231,24280272.5953
2018-02-17,2242,59295600.0,1853920556.83,363.4,18.17,7142,21215679.7046
2018-02-18,1872,42287800.0,1868892160.61,432.3050092,18.32,8426,25288151.0242
2018-02-19,1889,54814700.0,1682424853.41,412.25,16.49,9918,27255203.0302
2018-02-20,2551,109202000.0,1808547794.69,472.4152,17.72,9727,32858014.2196
2018-02-21,2940,110798000.0,1869274631.78,855.59150376,18.32,3581,21589449.0501
2018-02-22,2280,65150100.0,1842089970.73,751.784565101,18.05,2800,17106168.1223
2018-02-23,2159,63981000.0,1688081593.49,823.90568638,16.54,2631,15350602.3792
2018-02-24,1942,51605900.0,1786925090.33,731.0425,17.51,2316,13746120.9223
2018-02-25,1776,36436400.0,1706151465.41,715.920275409,16.72,2051,13671782.0536
2018-02-26,2021,37163300.0,1710939339.71,774.501635076,16.77,2422,14760845.1406
2018-02-27,3328,114453000.0,1837622106.31,1012.26312615,18.01,4674,33954969.3542
2018-02-28,3054,108895000.0,2053895931.78,1022.86585366,20.13,3773,25806453.4665
2018-03-01,2487,67000600.0,1899486394.52,752.794491979,18.61,2971,19204033.797
2018-03-02,2076,50691600.0,1957741911.79,1011.631554,19.19,2527,18632692.3724
2018-03-03,2091,49308100.0,1889733039.09,745.277995063,18.52,2469,14204649.6546
2018-03-04,1882,39416700.0,1824866609.55,715.200021067,17.88,2176,10597689.7146
2018-03-05,2031,39490400.0,1832460731.59,889.8689243,17.96,2516,13855695.3003
2018-03-06,1884,38911600.0,1755065491.42,951.6380568,17.2,2192,12026122.1651
2018-03-07,1985,52446000.0,1619493474.77,793.5,15.87,2305,11744357.0264
2018-03-08,2363,41855800.0,1476684680.54,864.398712478,14.47,2936,14894996.0399
2018-03-09,2327,59857400.0,1399678930.79,896.38248,13.72,2997,19230118.0774
2018-03-10,1896,44982900.0,1531772664.39,783.746713271,15.01,2257,15322034.3788
2018-03-11,1562,30486600.0,1368260118.39,584.8909623,13.41,1795,11030550.1908
2018-03-12,1568,23439900.0,1495715834.89,660.144698613,14.66,1670,7104865.38883
2018-03-13,1644,24721000.0,1402380763.42,1094.391,13.74,1990,13427440.4861
2018-03-14,1631,28942400.0,1389179296.6,846.489098883,13.61,1971,14483356.2336
2018-03-15,2005,44593200.0,1194320101.03,675.327965247,11.7,2602,20378001.753
2018-03-16,1346,28698800.0,1154956963.03,679.2,11.32,1678,7820857.77109
2018-03-17,1448,30985800.0,1145459698.86,838.684540143,11.22,1805,13090168.5013
2018-03-18,2263,39837300.0,1002800449.76,589.8,9.83,2681,26884307.6687
2018-03-19,1551,42172600.0,1073187630.97,526.0,10.52,1812,7753879.80163
2018-03-20,1506,46839900.0,1178038956.8,566.675357776,11.54,1812,7334802.77554
2018-03-21,1838,33733200.0,1239346583.88,877.616167581,12.15,2135,13803202.0272
2018-03-22,1344,36755900.0,1210109603.56,684.5361916,11.86,1585,7556422.93055
2018-03-23,1648,30954000.0,1176652930.75,497.970630699,11.53,1836,8322253.52906
2018-03-24,1245,29693200.0,1183078053.76,535.2665332,11.59,1501,6576543.62184
2018-03-25,1068,21690300.0,1125601760.55,453.877898214,11.03,1225,4545720.52342
