Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2018-09-10,16.0,,,,,35.0,
2018-09-11,9.0,,,,,8.0,
2018-09-12,13.0,,,,,11.0,
2018-09-13,13.0,,,,,10.0,
2018-09-14,,,,,,,
2018-09-15,,,,,,,
2018-09-16,3.0,,,,,2.0,
2018-09-17,11.0,,,,,8.0,
2018-09-18,22.0,,,,,17.0,
2018-09-19,32.0,,,,,33.0,
2018-09-20,21.0,,,,,18.0,
2018-09-21,35.0,,,,,35.0,
2018-09-22,10.0,,,,,8.0,
2018-09-23,3.0,,,,,2.0,
2018-09-24,25.0,,,,,29.0,
2018-09-25,12.0,,,,,8.0,
2018-09-26,8.0,,,,,7.0,
2018-09-27,17.0,18084600.0,0.0,10875.4423,0.997747,26.0,6986932.25412
2018-09-28,65.0,14445200.0,0.0,29.9082,0.99694,96.0,4164492.88506
2018-09-29,37.0,12641400.0,0.0,996.96685,1.0,40.0,626647.47951
2018-09-30,78.0,24168200.0,0.0,167.02765,1.0,84.0,7000754.94467
2018-10-01,31.0,10192600.0,0.0,65263.0,1.0,44.0,5599231.03
2018-10-02,20.0,3671040.0,0.0,1214.37882246,0.997961,22.0,554540.065284
2018-10-03,39.0,2526330.0,0.0,986.8483,1.0,39.0,3184266.37975
2018-10-04,38.0,3735650.0,0.0,592.668,1.01,42.0,6711018.1038
2018-10-05,22.0,11916300.0,0.0,123.6,1.0,27.0,2882290.42391
2018-10-06,4.0,12614100.0,0.0,25896.6,1.0,3.0,86911.6
2018-10-07,10.0,12880100.0,0.0,11.126955,1.0,6.0,94.65391
2018-10-08,21.0,14762500.0,0.0,109.94,1.0,22.0,3765056.29993
2018-10-09,39.0,12885600.0,13495851.2673,2547.858,1.02,44.0,5122886.09392
2018-10-10,36.0,4300970.0,13231884.1584,108.53,1.0,34.0,753461.54097
2018-10-11,50.0,52747000.0,13446463.0,4234.323394,1.01,82.0,5607750.51614
2018-10-12,51.0,31630200.0,21357075.0,15103.2067,1.01,96.0,37295737.9319
2018-10-13,39.0,16169700.0,23975535.0,4331.181687,1.01,52.0,7625953.08912
2018-10-14,26.0,25629000.0,23954210.598,4441.068677,1.01,33.0,1693052.55954
2018-10-15,98.0,26404800.0,36458481.0,6915.61224,1.02,189.0,53101015.4629
2018-10-16,100.0,18049200.0,51346678.4412,5898.9910637,1.03,171.0,67192129.5453
2018-10-17,88.0,16751300.0,64472744.7327,7192.6524,1.02,129.0,40875457.4459
2018-10-18,79.0,20209700.0,41925778.0,12190.5485,1.01,124.0,20646887.9403
2018-10-19,182.0,17583200.0,42006765.0,20.604,1.01,217.0,62160169.8004
2018-10-20,437.0,10019600.0,41846453.0,10.403,1.01,462.0,23585393.2543
2018-10-21,348.0,14796700.0,41978939.0,10.4636,1.01,362.0,2199648.71541
2018-10-22,162.0,19751400.0,41809490.0,7008.3294,1.01,251.0,32700076.1422
2018-10-23,88.0,19929900.0,79390775.0,6061.1615,1.01,128.0,40823810.0049
2018-10-24,73.0,15514100.0,79373507.0,12625.0,1.01,102.0,14144831.0187
2018-10-25,131.0,21052100.0,97179017.0,404.6363,1.01,167.0,7006135.23395
2018-10-26,1471.0,18251500.0,96833851.0,0.48682,1.01,1580.0,44705545.5656
2018-10-27,111.0,26526700.0,96716552.0,7109.036904,1.01,196.0,16029184.7596
2018-10-28,59.0,20093500.0,96787701.0,11965.8235,1.01,64.0,8218999.10675
2018-10-29,118.0,24948600.0,107540393.0,15805.781284,1.01,207.0,25006710.9655
2018-10-30,113.0,27944200.0,113148843.58,25250.0,1.01,240.0,68803698.319
2018-10-31,143.0,40036600.0,109682190.37,16348.716682,1.01,285.0,54142592.9613
2018-11-01,329.0,30620400.0,111291357.031,16.64694539,0.998617,427.0,40378629.8038
2018-11-02,207.0,44779500.0,133748373.211,16465.121,1.01,452.0,73346622.4004
2018-11-03,133.0,41278200.0,133027642.91,9054.43075925,0.99984,231.0,12767102.8526
2018-11-04,82.0,56330100.0,132719235.267,10510.3724979,0.997522,152.0,9582294.16699
2018-11-05,133.0,50824900.0,130804095.089,15401.272988,0.976401,259.0,42298419.3975
2018-11-06,132.0,56682400.0,134316764.593,14972.1657908,0.998211,237.0,52490579.3052
2018-11-07,396.0,58709200.0,135726195.988,103.2840886,0.998879,601.0,69791222.7275
2018-11-08,152.0,50134300.0,133990647.149,14589.3508884,0.995461,518.0,64463722.2259
2018-11-09,140.0,46708600.0,135302763.702,16181.1755825,0.999493,460.0,66023820.163
2018-11-10,110.0,34089900.0,135254042.0,13394.2621,1.0,235.0,26230926.384
2018-11-11,129.0,45203500.0,135307555.444,9998.7,1.0,173.0,18096479.7941
2018-11-12,150.0,43124500.0,132227223.649,16733.6593194,0.999412,308.0,45133396.8287
2018-11-13,487.0,47528500.0,132160592.079,11.0,1.0,702.0,53454803.4421
2018-11-14,594.0,72003800.0,131297592.0,11.11,1.01,879.0,32173494.0649
2018-11-15,348.0,60039800.0,131560843.0,102.414,1.01,542.0,31955750.7745
