Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-06-27,,303595.0,0.0,,25.22,,
2017-06-28,,97388.0,0.0,,48.06,,
2017-06-29,,98292.0,0.0,,22.03,,
2017-06-30,,50486.0,0.0,,42.68,,
2017-07-01,,47037.0,0.0,,39.41,,
2017-07-02,,23087.0,0.0,,32.4,,
2017-07-03,,54180.0,0.0,,28.13,,
2017-07-04,,54173.0,0.0,,43.95,,
2017-07-05,,81559.0,0.0,,53.52,,
2017-07-06,,57748.0,0.0,,63.43,,
2017-07-07,4567.0,17115200.0,0.0,72986.94,73.06,7906.0,11042591487.1
2017-07-08,3674.0,9172650.0,116481386.864,867.021,1.11,5739.0,33078422.2005
2017-07-09,2467.0,5116090.0,116174053.654,699.189,1.11,3635.0,17437166.5585
2017-07-10,2026.0,4091090.0,94454111.7182,757.626923,0.902474,2915.0,11046555.8791
2017-07-11,1294.0,2728010.0,73249310.536,482.329988792,0.69987,1919.0,4965700.62977
2017-07-12,989.0,2263570.0,69341885.8521,331.268,0.662536,1431.0,1830386.47903
2017-07-13,966.0,1315660.0,83731874.0397,435.008329982,0.800027,1278.0,2139571.36606
2017-07-14,1048.0,888570.0,75295858.2461,452.877408,0.719424,1444.0,2127376.29288
2017-07-15,741.0,658322.0,70683016.0561,512.59065,0.67535,920.0,1784237.40762
2017-07-16,1036.0,762642.0,62658947.1673,401.851135833,0.598683,1490.0,2908472.05227
2017-07-17,1049.0,1064690.0,59503199.1197,477.36705415,0.568531,1558.0,2663609.08814
2017-07-18,789.0,1299010.0,74222870.3587,435.77910228,0.709172,1207.0,4527285.1826
2017-07-19,636.0,892973.0,74153584.4601,566.808,0.70851,929.0,3571651.36329
2017-07-20,581.0,1104700.0,65549378.044,526.02937,0.6263,844.0,2409388.55638
2017-07-21,601.0,941278.0,73710448.2874,624.148147929,0.704276,858.0,1653940.09482
2017-07-22,601.0,1105650.0,70178547.8638,393.522783721,0.67053,782.0,1262944.6292
2017-07-23,751.0,1372810.0,85817564.5105,474.753945,0.819955,1177.0,2291917.24533
2017-07-24,1699.0,6187510.0,94526726.3833,603.17586351,0.903438,2574.0,9553556.49079
2017-07-25,917.0,3183140.0,111987601.446,850.46320598,1.07,1335.0,3296609.07295
2017-07-26,630.0,1773700.0,89010571.6071,374.087725607,0.850463,869.0,1346782.95893
2017-07-27,634.0,1375970.0,102010553.415,642.253687477,0.974673,874.0,5417756.18188
2017-07-28,541.0,1532520.0,101797358.339,439.098862732,0.972636,743.0,1794078.11099
2017-07-29,458.0,821267.0,93914058.4898,439.23071643,0.897314,658.0,1372484.56972
2017-07-30,474.0,761095.0,97233705.8766,597.595367883,0.929032,739.0,1441066.95617
2017-07-31,446.0,927682.0,93312779.6746,344.145634,0.891569,578.0,3734234.147
2017-08-01,428.0,1974540.0,92762575.2315,423.773499902,0.886312,587.0,1250144.11659
2017-08-02,541.0,1214640.0,98720105.6664,482.589804566,0.943234,720.0,1655536.78942
2017-08-03,655.0,2287810.0,96641533.5276,622.724010473,0.92494,899.0,2036375.9816
2017-08-04,1231.0,6686840.0,105633844.213,663.376429036,1.01,1905.0,4752178.84145
2017-08-05,3476.0,20158400.0,130535115.297,1035.25463689,1.25,6498.0,20382065.7758
2017-08-06,3068.0,22959900.0,224550609.083,1271.41252,2.14,5225.0,28274867.8804
2017-08-07,1783.0,17232100.0,193358017.537,1109.963,1.85,3049.0,16046960.1136
2017-08-08,1316.0,11213800.0,216086184.118,1033.502,2.06,2126.0,8254974.73185
2017-08-09,1141.0,8207280.0,230273259.437,1100.0,2.2,1977.0,5743814.85289
2017-08-10,1912.0,36245500.0,224024621.331,1070.0,2.14,3827.0,22069364.542
2017-08-11,3600.0,72243200.0,300231093.673,1148.0,2.87,5717.0,41701680.5192
2017-08-12,5127.0,144768992.0,472198379.075,1639.7428498,4.51,8355.0,77508620.2627
2017-08-13,2349.0,63744900.0,497021558.659,1423.1,4.75,3715.0,31501925.4912
2017-08-14,2066.0,40308400.0,533657302.074,1305.09,5.1,3229.0,29966146.5981
2017-08-15,1802.0,32234900.0,478276708.341,1371.0,4.57,2831.0,21832869.7613
2017-08-16,1697.0,38520100.0,434186072.058,1203.5,4.15,2475.0,16969386.5192
2017-08-17,1734.0,27541400.0,492184497.389,1410.3377059,4.7,2779.0,14720451.0992
2017-08-18,1766.0,27194300.0,448211300.549,1284.08436736,4.28,2794.0,17123814.3302
2017-08-19,1704.0,29938900.0,381787101.572,1251.07499713,3.65,2998.0,16589137.3557
2017-08-20,1412.0,21808800.0,436257699.4,1251.08219904,4.17,2367.0,19224822.5542
2017-08-21,1572.0,17514800.0,422355717.923,1048.986,4.04,2490.0,11876149.1942
2017-08-22,1379.0,15464100.0,381381591.887,790.840146005,3.64,1986.0,10547154.6808
