,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2016-01-30,236,,10.9647530239,344,169423.0,,0.0094954,145751.0,,3.74e-05,,333.0,,192,
2016-01-31,1196,,67.4139194689,1369,1586306.0,,0.12707451,342250.0,,9.099e-05,,14727.0,,1097,
2016-02-01,1128,,71.7907314364,1361,2425551.0,,0.21612536,340250.0,,8.175e-05,,11683.0,,1010,
2016-02-02,900,,112.380197194,1366,1936186.0,,0.17238578,341500.0,,8.868e-05,,8236.0,,725,
2016-02-03,858,,68.1294118303,1354,1490463.0,,0.11885602,338500.0,,5.805e-05,,4440.0,,666,
2016-02-04,986,,80.064298747,1353,1174990.0,,0.10105215,338250.0,,3.73e-05,,1837.0,,778,
2016-02-05,840,,91.9190054238,1342,1282189.0,,0.09982895,335500.0,,3.776e-05,,1687.0,,617,
2016-02-06,985,,55.3641773789,1329,1332803.0,,0.11007532,332250.0,,2.297e-05,,1156.0,,766,
2016-02-07,1113,,44.2563662822,1378,838219.0,,0.05766032,344500.0,,2.312e-05,,1140.0,,886,
2016-02-08,618,,90.9443467416,1361,732754.0,,0.04415228,340250.0,,5.218e-05,,568.0,,363,
2016-02-09,1054,,74.2047296943,1378,1070763.0,,0.08476412,344500.0,,2.332e-05,,994.0,,826,
2016-02-10,976,,61.3562774593,1353,984305.0,,0.08957914,338250.0,,2.347e-05,,859.0,,730,
2016-02-11,513,,59.0789011486,1376,777136.0,,0.05812131,344000.0,,2.347e-05,,301.0,,294,
2016-02-12,635,,53.7727982144,1364,781374.0,,0.06865765,341000.0,,3.886e-05,,379.0,,380,
2016-02-13,438,669.088468383,54.0534227944,1364,699307.0,641.0,0.09699493,341000.0,5685.01398601,5.412e-05,0.231199972811,273.0,0.001156,273,709.445740032
2016-02-14,502,671.866485981,38.9700649278,1148,589372.0,347.0,0.06563236,287000.0,5995.48557089,3.86e-05,0.229399973011,323.0,0.001147,325,715.072975801
2016-02-15,709,687.260758277,30.2948968245,1404,1181608.0,217.0,0.11771829,351000.0,4456.80267559,2.94e-05,0.148723202793,487.0,0.000797,483,830.208393308
2016-02-16,645,361.642803089,22.1242318863,1376,904363.0,218.0,0.10231082,344000.0,2592.36144578,4.277e-05,0.0906687342195,457.0,0.000436,417,436.516245024
2016-02-17,476,470.380787139,33.8448670337,1371,764874.0,460.0,0.05817635,342750.0,4135.54617414,4.266e-05,0.132799984323,354.0,0.000664,325,476.506916439
2016-02-18,835,2362.99814317,35.4132939526,1370,903759.0,227.0,0.09416589,342500.0,4979.7721519,3.74e-05,0.151599982172,563.0,0.000758,558,3196.46643231
2016-02-19,603,726.623722651,33.9405675311,1366,764887.0,358.0,0.06403272,341500.0,5462.33796296,5.437e-05,0.315999969269,414.0,0.00079,399,1704.98392683
