,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2018-01-29,2.0,,,,,1.0,
2018-01-30,,,,,,,
2018-01-31,,,,,,,
2018-02-01,2597.0,,,,,2808.0,
2018-02-02,1779.0,1023190.0,0.0,286.133752848,0.790528,1894.0,24121269.0009
2018-02-03,1443.0,2760030.0,0.0,223.196615535,0.884674,1822.0,12745353.8847
2018-02-04,1381.0,2063750.0,0.0,325.0,1.3,1716.0,14425834.93
2018-02-05,797.0,738262.0,0.0,265.0,1.06,943.0,7010868.10348
2018-02-06,926.0,841198.0,0.0,173.878,0.695512,1047.0,4940020.78809
2018-02-07,813.0,736475.0,0.0,220.52925,0.882117,924.0,2552922.72582
2018-02-08,624.0,358548.0,0.0,239.4727295,0.789037,724.0,2381196.66793
2018-02-09,504.0,125550.0,0.0,199.1675,0.79667,613.0,2504832.93199
2018-02-10,507.0,144515.0,0.0,212.7725,0.85109,618.0,2133109.59304
2018-02-11,410.0,143034.0,0.0,191.95475,0.767819,446.0,3587054.36474
2018-02-12,523.0,234201.0,175564745.531,293.1328,0.732832,675.0,1526924.38415
2018-02-13,526.0,281850.0,203072440.736,252.915920346,0.847653,626.0,2058885.94884
2018-02-14,4022.0,3180900.0,191985832.169,200.229,0.800916,3958.0,13281030.3446
2018-02-15,1216.0,2709260.0,245814304.287,309.0,1.03,1173.0,10455119.0674
2018-02-16,671.0,1243790.0,239570250.322,250.0,1.0,605.0,2147425.71582
2018-02-17,896.0,4000670.0,238381706.778,380.189308383,0.995658,961.0,3049892.80151
2018-02-18,1330.0,6227700.0,286706039.143,607.752,1.2,1497.0,10470938.6252
2018-02-19,2110.0,10619600.0,332851853.918,370.81303077,1.39,2014.0,17704229.9801
2018-02-20,1236.0,6522220.0,383323927.82,462.56832,1.6,1227.0,7548061.01619
2018-02-21,848.0,3777420.0,317123702.762,384.07005763,1.32,814.0,4687623.66326
2018-02-22,676.0,3007610.0,301934592.878,453.003899222,1.26,718.0,3303714.58917
2018-02-23,723.0,3370030.0,290374116.083,302.5,1.21,741.0,4475441.12512
2018-02-24,540.0,1872460.0,313599735.911,327.5,1.31,509.0,1949199.68802
2018-02-25,525.0,1202500.0,293687546.256,350.2007354,1.23,470.0,6757705.13284
2018-02-26,559.0,1650060.0,293634068.0,307.5,1.23,529.0,3138235.55145
2018-02-27,707.0,2789550.0,295311648.218,311.03133,1.23,664.0,10203390.4748
2018-02-28,530.0,1839730.0,260658579.34,272.5,1.09,446.0,1049667.26288
2018-03-01,589.0,2033340.0,254511525.379,394.390596,1.06,528.0,1523617.95202
2018-03-02,500.0,2565560.0,245721465.594,511.395,1.03,517.0,1770065.19631
2018-03-03,601.0,1966270.0,241965952.61,252.5,1.01,516.0,986591.318509
2018-03-04,599.0,1936570.0,219287274.808,457.668,0.915336,571.0,2458833.66535
2018-03-05,499.0,1682430.0,204269333.961,842.966701648,0.852649,546.0,2334477.68531
2018-03-06,424.0,1252580.0,198231633.085,487.880523124,0.825966,447.0,1134592.47426
2018-03-07,543.0,1655770.0,184825007.299,383.450527579,0.770105,530.0,1248665.16784
