Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-07-09,4,,,,,4,
2017-07-10,2685,,,,,5417,
2017-07-11,1799,2704070.0,0.0,509.43614,2.81,3223,16923337.0847
2017-07-12,1698,3055770.0,0.0,394.18875,3.33,2938,13081157.5995
2017-07-13,1688,3630010.0,198522603.704,563.85,5.37,2925,29373684.462
2017-07-14,1530,3128790.0,150667219.01,814.666666667,4.07333333333,2611,29047076.4694
2017-07-15,1360,2627570.0,102811834.317,621.408281667,2.77666666667,2014,9602532.67354
2017-07-16,1244,2126350.0,54956449.6232,327.95912,1.48,1805,7933254.16295
2017-07-17,1402,1840040.0,51127925.4545,207.0,1.38,1969,2772698.57563
2017-07-18,1053,2329580.0,93503353.3008,486.29575242,2.53,1545,5339557.72176
2017-07-19,721,1044880.0,90854137.5,367.2599,2.45,1008,2766266.89963
2017-07-20,530,505556.0,73246551.9407,336.6,1.98,665,1701819.26296
2017-07-21,447,661561.0,88299749.0,532.97,2.39,586,3067680.52473
2017-07-22,504,358007.0,88567004.0746,435.18076,2.39,631,1789758.78037
2017-07-23,546,437422.0,99025495.1628,428.8,2.68,751,1757075.96517
2017-07-24,665,991648.0,95596770.6639,539.22,2.58,883,3360633.17929
2017-07-25,495,434991.0,90447026.7143,488.0,2.44,637,1648898.48653
2017-07-26,523,533922.0,82134776.3017,333.0,2.22,645,1744131.26186
2017-07-27,574,619044.0,85017450.8268,460.001490538,2.3,754,2518203.24786
2017-07-28,653,993253.0,94351985.4962,552.871726743,2.55,936,2712935.47058
2017-07-29,791,945852.0,96008487.4789,362.6,2.59,1095,2723699.5078
2017-07-30,543,507801.0,105071849.505,364.165505971,2.84,690,1692574.45642
2017-07-31,661,964834.0,103565014.557,439.6,2.8,936,2545880.23124
2017-08-01,609,811061.0,121423558.11,408.559963134,3.28,765,5381415.08659
2017-08-02,571,492153.0,134786838.832,345.036831721,3.64,726,2211462.72105
2017-08-03,479,503479.0,125379205.879,339.0,3.39,624,1048349.31842
2017-08-04,647,1064530.0,134548738.475,364.0,3.64,946,2665435.32948
2017-08-05,632,641941.0,146379020.127,396.64152,3.96,782,2226371.61824
2017-08-06,527,450571.0,152383332.165,412.0,4.12,675,2581567.04775
2017-08-07,863,1441870.0,170551908.226,529.562225,4.61,1192,5658419.65909
2017-08-08,1017,2002390.0,224505036.799,615.360502906,6.07,1528,6465421.53541
2017-08-09,738,782146.0,201160927.192,350.133384534,5.44,1002,3441518.84162
2017-08-10,633,979250.0,218936761.829,592.0,5.92,837,3323105.2902
2017-08-11,671,959727.0,237013472.811,560.89423,6.41,849,3414645.39998
2017-08-12,639,894071.0,226287135.327,573.659758519,6.12,832,4832347.58321
2017-08-13,504,516448.0,223546279.733,524.70084,6.04,630,2440273.08982
2017-08-14,587,924743.0,203973042.278,524.347020617,5.51,722,4162359.37979
2017-08-15,495,590298.0,215345429.081,320.53932,5.22,612,2375019.76929
2017-08-16,467,735244.0,194509414.054,481.44,4.72,569,3236047.23725
2017-08-17,664,649644.0,198435771.937,481.0,4.81,799,1972431.16337
2017-08-18,554,702786.0,229161315.136,625.1386,5.56,661,2211195.27678
2017-08-19,519,585845.0,221211379.246,536.0,5.36,626,2231100.30059
2017-08-20,383,335168.0,198213929.821,481.0,4.81,468,2137489.27193
2017-08-21,529,658417.0,186040754.908,473.55,4.51,672,2388040.31256
2017-08-22,436,415849.0,173155834.485,428.4,4.2,505,1484720.48383
2017-08-23,514,415283.0,159397426.858,386.0,3.86,607,2784526.13566
2017-08-24,700,758569.0,145714323.729,426.64902451,3.53,915,2073706.16118
2017-08-25,419,430544.0,182961479.81,443.2008,4.44,524,1076403.68163
2017-08-26,416,454791.0,182242551.172,442.0,4.42,509,1959309.26258
2017-08-27,452,353973.0,157137205.508,348.461055121,3.81,503,1245207.57306
2017-08-28,422,449384.0,161054254.13,278.5926,3.9,469,1315115.00549
2017-08-29,370,398299.0,159171450.19,496.191327688,3.86,424,1316664.87985
2017-08-30,515,531823.0,160620512.403,462.91,3.89,605,1939338.66951
