Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-10-10,5.0,,,,,5.0,
2017-10-11,2.0,,,,,1.0,
2017-10-12,,,,,,,
2017-10-13,,,,,,,
2017-10-14,,,,,,,
2017-10-15,,,,,,,
2017-10-16,,,,,,,
2017-10-17,,,,,,,
2017-10-18,,,,,,,
2017-10-19,,,,,,,
2017-10-20,,,,,,,
2017-10-21,,,,,,,
2017-10-22,,,,,,,
2017-10-23,,,,,,,
2017-10-24,,,,,,,
2017-10-25,,,,,,,
2017-10-26,,,,,,,
2017-10-27,,,,,,,
2017-10-28,,,,,,,
2017-10-29,,,,,,,
2017-10-30,,,,,,,
2017-10-31,,,,,,,
2017-11-01,,,,,,,
2017-11-02,,,,,,,
2017-11-03,,,,,,,
2017-11-04,,,,,,,
2017-11-05,,,,,,,
2017-11-06,,,,,,,
2017-11-07,,,,,,,
2017-11-08,,,,,,,
2017-11-09,,,,,,,
2017-11-10,,,,,,,
2017-11-11,,,,,,,
2017-11-12,,,,,,,
2017-11-13,,,,,,,
2017-11-14,,,,,,,
2017-11-15,,,,,,,
2017-11-16,,,,,,,
2017-11-17,,,,,,,
2017-11-18,,,,,,,
2017-11-19,,,,,,,
2017-11-20,,,,,,,
2017-11-21,,9608310.0,0.0,,0.482456,,
2017-11-22,206.0,2592760.0,0.0,1260.2675,0.504107,224.0,16994145.6396
2017-11-23,758.0,3392260.0,0.0,2314.775,0.462955,809.0,15557147.5453
2017-11-24,743.0,2903120.0,0.0,1670.82384,0.497269,785.0,31126016.411
2017-11-25,624.0,5078390.0,0.0,3066.0565376,0.630772,611.0,7468030.25113
2017-11-26,559.0,3198190.0,0.0,2392.92504,0.719136,573.0,5118630.93935
2017-11-27,1193.0,22245000.0,0.0,2675.9088,0.743308,1425.0,34808245.7119
2017-11-28,1030.0,42607800.0,0.0,3581.955,1.17,1224.0,24805381.9676
2017-11-29,1035.0,16962700.0,0.0,4110.0,1.37,1183.0,19406639.9277
2017-11-30,1622.0,21565300.0,0.0,2829.0,1.23,2283.0,329577978.833
2017-12-01,1519.0,25568500.0,0.0,2540.0,1.27,2317.0,40749687.7868
2017-12-02,793.0,10667500.0,0.0,1669.921578,1.17,1225.0,14514831.204
2017-12-03,521.0,11576700.0,140519730.832,1263.0708,1.07,688.0,3515073.47251
2017-12-04,863.0,23245800.0,319792900.0,2283.321306,0.913694,1433.0,27592536.0902
2017-12-05,416.0,13881100.0,346993850.0,1580.309134,0.991411,507.0,3688617.24764
2017-12-06,584.0,14377300.0,342128500.0,1416.41199,0.97751,915.0,7269506.82436
2017-12-07,536.0,12158600.0,318430700.0,1792.30994,0.909802,750.0,27423402.6887
2017-12-08,583.0,12751700.0,271843250.0,1344.459045,0.776695,749.0,14412563.4584
2017-12-09,498.0,10760400.0,273862750.0,1243.10713137,0.782465,584.0,6276820.17927
2017-12-10,346.0,4462490.0,265858950.0,1538.183925,0.759597,353.0,3440629.70748
2017-12-11,843.0,18366400.0,242755800.0,1626.46386,0.693588,1048.0,12269726.8436
2017-12-12,648.0,12663300.0,215652500.0,1845.81364233,0.61615,830.0,9566840.11039
2017-12-13,620.0,16769400.0,223094200.0,2113.78886146,0.637412,784.0,9205527.81876
2017-12-14,451.0,10341200.0,244435450.0,2094.8118065,0.698387,606.0,6692903.60994
2017-12-15,375.0,10861900.0,259866950.0,1707.6971,0.742477,497.0,2854809.64748
2017-12-16,560.0,43238500.0,248699391.388,1829.8651113,0.708296,770.0,6701046.06884
2017-12-17,457.0,21186400.0,420000000.0,2640.0,1.2,564.0,4955463.83999
2017-12-18,594.0,20144900.0,343159483.625,2910.7784025,0.983205,788.0,28461374.6996
2017-12-19,621.0,19641000.0,378000000.0,2200.94769078,1.08,844.0,6667769.34589
2017-12-20,385.0,13937000.0,340351550.0,1992.40824937,0.972433,477.0,3175772.74504
2017-12-21,486.0,16916700.0,334253150.0,2805.36758777,0.955009,617.0,10658528.394
2017-12-22,412.0,60815500.0,335128850.0,2051.946073,0.957511,533.0,4624370.01545
2017-12-23,423.0,20796800.0,282696050.0,2405.7433855,0.807703,448.0,2725125.36501
2017-12-24,255.0,32082500.0,311208800.0,1580.47161675,0.889168,280.0,2199781.91957
2017-12-25,291.0,14419500.0,304313800.0,1040.10446723,0.869468,322.0,1467018.28584
2017-12-26,292.0,6857160.0,307920200.0,1263.28039483,0.879772,322.0,1725430.13111
2017-12-27,293.0,10953900.0,304733100.0,1851.07429757,0.870666,405.0,3011015.27423
2017-12-28,315.0,7997100.0,338174550.0,2260.93842,0.966213,394.0,2937026.5038
2017-12-29,279.0,7115610.0,309323000.0,1587.01671105,0.88378,293.0,1756937.32048
2017-12-30,305.0,10973500.0,311257100.0,1778.612,0.889306,362.0,1932718.46791
2017-12-31,183.0,8381010.0,292461750.0,1026.97401999,0.835605,232.0,4756372.89351
2018-01-01,213.0,14620300.0,305459700.0,871.869258,0.872742,224.0,2066439.95988
2018-01-02,409.0,24755600.0,311522050.0,2433.23393596,0.890063,503.0,4178459.2333
2018-01-03,433.0,24439100.0,345442319.646,2955.0324125,0.985175,512.0,5171493.01589
2018-01-04,366.0,28168300.0,373494763.158,1605.0,1.07,417.0,5118344.10005
2018-01-05,698.0,107352000.0,400119693.75,1401.362385,1.14,744.0,8056167.41003
2018-01-06,582.0,63903000.0,559108349.515,1600.0,1.6,673.0,6630299.60993
2018-01-07,571.0,69163104.0,732012050.0,1508.63483232,2.09,619.0,12108234.9779
2018-01-08,600.0,49635100.0,733733038.674,2942.415,2.1,750.0,16026193.1054
2018-01-09,528.0,34922500.0,628722972.973,1735.2,1.8,585.0,9730280.77097
2018-01-10,496.0,42796900.0,644912043.243,2285.70882212,1.84,630.0,9920442.52588
2018-01-11,500.0,34817000.0,654042946.927,1715.216547,1.87,569.0,6337036.7767
2018-01-12,581.0,32804300.0,628985935.829,1860.3,1.8,684.0,8311814.28181
2018-01-13,643.0,52097300.0,661173300.0,1888.11,1.89,781.0,8591391.08796
2018-01-14,622.0,46173400.0,859503836.066,1797.70236228,2.46,704.0,9808144.99447
2018-01-15,681.0,35886500.0,845617066.372,2224.57700432,2.42,810.0,11967166.1345
2018-01-16,589.0,44388000.0,790780807.229,1977.9047547,2.26,651.0,6361775.35961
2018-01-17,703.0,32290000.0,576361690.751,1974.39,1.65,889.0,12802607.2013
2018-01-18,564.0,24578100.0,603977397.661,1794.9256198,1.73,647.0,10459024.5948
2018-01-19,512.0,18786900.0,591229496.951,1859.0,1.69,627.0,7844381.45605
2018-01-20,389.0,8795390.0,578636270.27,1250.202195,1.65,412.0,6442584.41873
2018-01-21,379.0,14085400.0,650463418.182,1948.560459,1.86,412.0,13652540.9838
2018-01-22,456.0,20758000.0,579814445.946,3101.0970118,1.66,480.0,11100009.4963
2018-01-23,500.0,25107600.0,516919280.576,1553.0636558,1.48,606.0,7518215.01893
2018-01-24,471.0,19406500.0,486438376.667,1399.84230922,1.39,579.0,6185254.86213
2018-01-25,397.0,15879300.0,529810239.583,1510.0,1.51,483.0,5566455.26819
2018-01-26,394.0,21466900.0,505620776.978,1206.856854,1.44,430.0,7850834.71482
2018-01-27,418.0,13827500.0,489023266.667,1400.03325,1.4,400.0,3964204.60173
2018-01-28,397.0,17907900.0,530141653.125,1135.16410961,1.51,462.0,2475013.6419
2018-01-29,565.0,15089500.0,562616154.11,948.744837075,1.61,596.0,4063256.81774
