,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2015-10-27,,728.0,0.0,,1.47,,
2015-10-28,,4283.0,0.0,,1.47,,
2015-10-29,,4211.0,0.0,,1.55,,
2015-10-30,,5655.0,0.0,,1.62,,
2015-10-31,,3770.0,0.0,,1.7,,
2015-11-01,,3332.0,0.0,,1.58,,
2015-11-02,,4418.0,0.0,,1.68,,
2015-11-03,,6808.0,0.0,,1.84,,
2015-11-04,,9166.0,0.0,,2.08,,
2015-11-05,,855.0,0.0,,2.07,,
2015-11-06,,73.0,0.0,,1.97,,
2015-11-07,,753.0,0.0,,1.95,,
2015-11-08,,1092.0,0.0,,1.98,,
2015-11-09,,4313.0,0.0,,1.93,,
2015-11-10,,2087.0,0.0,,1.94,,
2015-11-11,,6071.0,0.0,,1.75,,
2015-11-12,,2958.0,0.0,,1.66,,
2015-11-13,,820.0,0.0,,1.62,,
2015-11-14,,518.0,0.0,,1.61,,
2015-11-15,,60.0,0.0,,1.6,,
2015-11-16,,478.0,0.0,,1.56,,
2015-11-17,,700.0,0.0,,1.62,,
2015-11-18,,44.0,0.0,,1.64,,
2015-11-19,,67.0,0.0,,1.64,,
2015-11-20,,207.0,0.0,,1.59,,
2015-11-21,,84.0,0.0,,1.58,,
2015-11-22,,185.0,0.0,,1.6,,
2015-11-23,,298.0,0.0,,1.59,,
2015-11-24,,20.0,0.0,,1.53,,
2015-11-25,,83.0,0.0,,1.53,,
2015-11-26,,170.0,0.0,,1.59,,
2015-11-27,,165.0,0.0,,1.66,,
2015-11-28,,510.0,0.0,,1.71,,
2015-11-29,,371.0,0.0,,1.74,,
2015-11-30,,510.0,0.0,,1.78,,
2015-12-01,,445.0,0.0,,1.51,,
2015-12-02,,86.0,0.0,,1.56,,
2015-12-03,,187.0,0.0,,1.55,,
2015-12-04,,230.0,0.0,,1.56,,
2015-12-05,,612.0,0.0,,1.63,,
2015-12-06,,548.0,0.0,,1.84,,
2015-12-07,,36.0,0.0,,1.83,,
2015-12-08,,155.0,0.0,,1.66,,
2015-12-09,,129.0,0.0,,1.87,,
2015-12-10,,580.0,0.0,,1.67,,
2015-12-11,,208.0,0.0,,1.89,,
2015-12-12,,512.0,0.0,,2.18,,
2015-12-13,,2.0,0.0,,2.11,,
2015-12-14,,2.0,0.0,,2.17,,
2015-12-15,,259.0,0.0,,2.13,,
2015-12-16,,236.0,0.0,,2.29,,
2015-12-17,,113.0,0.0,,2.3,,
2015-12-18,,113.0,0.0,,2.19,,
2015-12-19,,1882.0,0.0,,2.34,,
2015-12-20,,514.0,0.0,,2.39,,
2015-12-21,,361.0,0.0,,2.06,,
2015-12-22,,372.0,0.0,,2.04,,
2015-12-23,,860.0,0.0,,1.99,,
2015-12-24,,441.0,0.0,,2.1,,
2015-12-25,,686.0,0.0,,2.23,,
2015-12-26,,148.0,0.0,,2.52,,
2015-12-27,,147.0,0.0,,2.37,,
2015-12-28,,281.0,0.0,,2.09,,
2015-12-29,,299.0,0.0,,2.35,,
2015-12-30,,216.0,0.0,,1.98,,
2015-12-31,,117.0,0.0,,2.09,,
2016-01-01,,1364.0,0.0,,2.18,,
2016-01-02,,149.0,0.0,,2.17,,
2016-01-03,,366.0,0.0,,2.21,,
2016-01-04,,449.0,0.0,,2.06,,
2016-01-05,,731.0,0.0,,2.38,,
2016-01-06,,390.0,0.0,,2.01,,
2016-01-07,,925.0,0.0,,2.04,,
2016-01-08,,288.0,0.0,,1.97,,
2016-01-09,,879.0,0.0,,2.4,,
2016-01-10,,244.0,0.0,,2.17,,
2016-01-11,,89.0,0.0,,2.29,,
2016-01-12,,337.0,0.0,,2.31,,
2016-01-13,,310.0,0.0,,2.3,,
2016-01-14,,46.0,0.0,,2.29,,
2016-01-15,,691.0,0.0,,2.18,,
2016-01-16,,700.0,0.0,,1.93,,
2016-01-17,,67.0,0.0,,2.05,,
2016-01-18,,460.0,0.0,,2.02,,
2016-01-19,,809.0,0.0,,2.09,,
2016-01-20,,1380.0,0.0,,2.16,,
2016-01-21,,302.0,0.0,,2.48,,
2016-01-22,,24.0,0.0,,2.42,,
2016-01-23,,89.3333333333,0.0,,2.36666666667,,
2016-01-24,,154.666666667,0.0,,2.31333333333,,
2016-01-25,,220.0,0.0,,2.26,,
2016-01-26,,1891.0,0.0,,2.16,,
2016-01-27,,4223.0,0.0,,2.35,,
2016-01-28,,1184.0,0.0,,2.85,,
2016-01-29,,2189.0,0.0,,2.66,,
2016-01-30,,1735.0,0.0,,2.58,,
2016-01-31,,479.0,0.0,,2.38,,
2016-02-01,,2033.0,0.0,,2.14,,
2016-02-02,,943.0,0.0,,2.37,,
2016-02-03,,2326.0,0.0,,2.25,,
2016-02-04,,920.0,0.0,,2.48,,
2016-02-05,,1048.0,0.0,,2.49,,
2016-02-06,,1050.0,0.0,,2.88,,
2016-02-07,,404.0,0.0,,2.8,,
2016-02-08,,2112.0,0.0,,2.8,,
2016-02-09,,781.0,0.0,,2.78,,
2016-02-10,,1552.0,0.0,,2.78,,
2016-02-11,,2122.0,0.0,,7.09,,
2016-02-12,,10572.0,0.0,,3.19,,
2016-02-13,,4840.0,0.0,,3.54,,
2016-02-14,,1873.0,0.0,,3.76,,
2016-02-15,,16200.0,0.0,,3.46,,
2016-02-16,,4135.0,0.0,,3.77,,
2016-02-17,,6218.0,0.0,,3.87,,
2016-02-18,,2746.0,0.0,,4.17,,
2016-02-19,,4840.0,0.0,,4.1,,
2016-02-20,,4382.0,0.0,,4.19,,
2016-02-21,,5238.0,0.0,,4.33,,
2016-02-22,,3574.0,0.0,,4.25,,
2016-02-23,,3159.0,0.0,,4.38,,
2016-02-24,,11470.0,0.0,,4.25,,
2016-02-25,,14119.0,0.0,,4.8,,
2016-02-26,,3908.0,0.0,,4.63,,
2016-02-27,,3924.0,0.0,,4.89,,
2016-02-28,,9.0,0.0,,4.39,,
2016-02-29,,5832.0,0.0,,5.08,,
2016-03-01,,13615.0,0.0,,5.16,,
2016-03-02,,30134.0,0.0,,5.18,,
2016-03-03,,57120.0,0.0,,7.21,,
2016-03-04,,20310.0,0.0,,8.01,,
2016-03-05,,28457.0,0.0,,7.89,,
2016-03-06,,18326.0,0.0,,7.21,,
2016-03-07,,19487.0,0.0,,8.19,,
2016-03-08,,25264.0,0.0,,8.5,,
2016-03-09,,22374.0,0.0,,8.28,,
2016-03-10,,43686.0,0.0,,8.17,,
2016-03-11,,29441.0,0.0,,9.16,,
2016-03-12,,65512.0,0.0,,9.3,,
2016-03-13,,5436.0,0.0,,10.29,,
2016-03-14,,20413.0,0.0,,10.17,,
2016-03-15,,48919.0,0.0,,10.3,,
2016-03-16,,127764.0,0.0,,12.92,,
2016-03-17,,31184.0,0.0,,15.06,,
2016-03-18,,8312.0,0.0,,12.66,,
2016-03-19,,1721.0,0.0,,12.52,,
2016-03-20,,3102.0,0.0,,14.36,,
2016-03-21,,47335.0,0.0,,12.77,,
2016-03-22,,46246.0,0.0,,11.6,,
2016-03-23,,14210.0,0.0,,13.51,,
2016-03-24,,17800.0,0.0,,12.13,,
2016-03-25,,36710.0,0.0,,11.63,,
2016-03-26,,60487.0,0.0,,11.52,,
2016-03-27,,29161.0,0.0,,10.65,,
2016-03-28,,56555.0,0.0,,11.09,,
2016-03-29,,15626.0,0.0,,11.4,,
2016-03-30,,2913.0,0.0,,9.4,,
2016-03-31,,11651.0,0.0,,10.75,,
2016-04-01,,16541.0,0.0,,9.96,,
2016-04-02,,16642.0,0.0,,9.51,,
2016-04-03,,25517.0,0.0,,9.52,,
2016-04-04,,35980.0,0.0,,9.46,,
2016-04-05,,31211.0,0.0,,9.03,,
2016-04-06,,66404.0,0.0,,9.48,,
2016-04-07,,78918.0,0.0,,9.4,,
2016-04-08,,17254.0,0.0,,9.09,,
2016-04-09,,6091.0,0.0,,8.42,,
2016-04-10,,9347.0,0.0,,8.07,,
2016-04-11,,19203.0,0.0,,7.68,,
2016-04-12,,13931.0,0.0,,7.87,,
2016-04-13,,2959.0,0.0,,6.84,,
2016-04-14,,4024.0,0.0,,7.15,,
2016-04-15,,1643.0,0.0,,6.92,,
2016-04-16,,11407.0,0.0,,7.91,,
2016-04-17,,10380.0,0.0,,7.19,,
2016-04-18,,8141.0,0.0,,6.84,,
2016-04-19,,20129.0,0.0,,8.15,,
2016-04-20,,5595.0,0.0,,8.16,,
