Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-03-20,3.0,,,,,3.0,
2017-03-21,,,,,,,
2017-03-22,,,,,,,
2017-03-23,,,,,,,
2017-03-24,,,,,,,
2017-03-25,,,,,,,
2017-03-26,,,,,,,
2017-03-27,,,,,,,
2017-03-28,,,,,,,
2017-03-29,,,,,,,
2017-03-30,,,,,,,
2017-03-31,,,,,,,
2017-04-01,,,,,,,
2017-04-02,,,,,,,
2017-04-03,,,,,,,
2017-04-04,,,,,,,
2017-04-05,,,,,,,
2017-04-06,,,,,,,
2017-04-07,,,,,,,
2017-04-08,4.0,,,,,3.0,
2017-04-09,,,,,,,
2017-04-10,,,,,,,
2017-04-11,26.0,,,,,24.0,
2017-04-12,2.0,,,,,1.0,
2017-04-13,5.0,,,,,3.0,
2017-04-14,15.0,,,,,14.0,
2017-04-15,17.0,,,,,16.0,
2017-04-16,2.0,,,,,1.0,
2017-04-17,63.0,,,,,67.0,
2017-04-18,25.0,,,,,24.0,
2017-04-19,3.0,,,,,2.0,
2017-04-20,8.0,,,,,9.0,
2017-04-21,,,,,,,
2017-04-22,,,,,,,
2017-04-23,,,,,,,
2017-04-24,6.0,,,,,7.0,
2017-04-25,7.0,,,,,7.0,
2017-04-26,11.0,,,,,9.0,
2017-04-27,,,,,,,
2017-04-28,,,,,,,
2017-04-29,,,,,,,
2017-04-30,,,,,,,
2017-05-01,,,,,,,
2017-05-02,6.0,,,,,6.0,
2017-05-03,7.0,,,,,6.0,
2017-05-04,3.0,,,,,4.0,
2017-05-05,4.0,,,,,2.0,
2017-05-06,,,,,,,
2017-05-07,,,,,,,
2017-05-08,,,,,,,
2017-05-09,,,,,,,
2017-05-10,2.0,,,,,1.0,
2017-05-11,5.0,,,,,3.0,
2017-05-12,4.0,,,,,2.0,
2017-05-13,9.0,,,,,10.0,
2017-05-14,7.0,,,,,6.0,
2017-05-15,4.0,,,,,2.0,
2017-05-16,3.0,,,,,3.0,
2017-05-17,5.0,,,,,5.0,
2017-05-18,5.0,,,,,3.0,
2017-05-19,5.0,,,,,3.0,
2017-05-20,8.0,,,,,8.0,
2017-05-21,,,,,,,
2017-05-22,,,,,,,
2017-05-23,,,,,,,
2017-05-24,,,,,,,
2017-05-25,3.0,,,,,2.0,
2017-05-26,4.0,,,,,2.0,
2017-05-27,7.0,,,,,6.0,
2017-05-28,2.0,,,,,4.0,
2017-05-29,8.0,,,,,4.0,
2017-05-30,9.0,,,,,7.0,
2017-05-31,,,,,,,
2017-06-01,,,,,,,
2017-06-02,4.0,,,,,4.0,
2017-06-03,4.0,,,,,3.0,
2017-06-04,4.0,,,,,2.0,
2017-06-05,6.0,,,,,4.0,
2017-06-06,3.0,,,,,2.0,
2017-06-07,5.0,,,,,3.0,
2017-06-08,9.0,,,,,5.0,
2017-06-09,7.0,,,,,6.0,
2017-06-10,10.0,,,,,10.0,
2017-06-11,3.0,,,,,2.0,
2017-06-12,3.0,,,,,2.0,
2017-06-13,,,,,,,
2017-06-14,,,,,,,
2017-06-15,,,,,,,
2017-06-16,,,,,,,
2017-06-17,,,,,,,
2017-06-18,3.0,,,,,2.0,
2017-06-19,3.0,,,,,2.0,
2017-06-20,2.0,,,,,1.0,
2017-06-21,2.0,,,,,1.0,
2017-06-22,2.0,,,,,1.0,
2017-06-23,6.0,,,,,12.0,
2017-06-24,8.0,,,,,5.0,
2017-06-25,6.0,,,,,4.0,
2017-06-26,3.0,,,,,2.0,
2017-06-27,8.0,,,,,8.0,
2017-06-28,7.0,,,,,14.0,
2017-06-29,3.0,,,,,2.0,
2017-06-30,4.0,,,,,3.0,
2017-07-01,2.0,,,,,3.0,
2017-07-02,3.0,,,,,2.0,
2017-07-03,2.0,,,,,1.0,
2017-07-04,3.0,,,,,2.0,
2017-07-05,,,,,,,
2017-07-06,,,,,,,
2017-07-07,9.0,,,,,9.0,
2017-07-08,5.0,,,,,3.0,
2017-07-09,,,,,,,
2017-07-10,,,,,,,
2017-07-11,4.0,,,,,2.0,
2017-07-12,2.0,,,,,3.0,
2017-07-13,2.0,,,,,1.0,
2017-07-14,4.0,,,,,2.0,
2017-07-15,,,,,,,
2017-07-16,,,,,,,
2017-07-17,3.0,,,,,4.0,
2017-07-18,5.0,,,,,4.0,
2017-07-19,2.0,,,,,1.0,
2017-07-20,2.0,,,,,1.0,
2017-07-21,2.0,,,,,1.0,
2017-07-22,2.0,,,,,1.0,
2017-07-23,4.0,,,,,2.0,
2017-07-24,,,,,,,
2017-07-25,,,,,,,
2017-07-26,,,,,,,
2017-07-27,,,,,,,
2017-07-28,,,,,,,
2017-07-29,5.0,,,,,3.0,
2017-07-30,4.0,,,,,2.0,
2017-07-31,2.0,,,,,1.0,
2017-08-01,9.0,,,,,9.0,
2017-08-02,3.0,,,,,2.0,
2017-08-03,2.0,,,,,1.0,
2017-08-04,6.0,,,,,4.0,
2017-08-05,2.0,,,,,1.0,
2017-08-06,5.0,,,,,4.0,
2017-08-07,5.0,,,,,3.0,
2017-08-08,9.0,,,,,8.0,
2017-08-09,2.0,,,,,2.0,
2017-08-10,6.0,,,,,3.0,
2017-08-11,9.0,,,,,7.0,
2017-08-12,3.0,,,,,2.0,
2017-08-13,8.0,,,,,9.0,
2017-08-14,6.0,,,,,5.0,
2017-08-15,,,,,,,
2017-08-16,,,,,,,
2017-08-17,6.0,,,,,5.0,
2017-08-18,7.0,,,,,4.0,
2017-08-19,2.0,,,,,1.0,
2017-08-20,4.0,,,,,3.0,
2017-08-21,10.0,,,,,9.0,
2017-08-22,3.0,,,,,3.0,
2017-08-23,,,,,,,
2017-08-24,,,,,,,
2017-08-25,5.0,,,,,8.0,
2017-08-26,8.0,,,,,7.0,
2017-08-27,6.0,,,,,4.0,
2017-08-28,5.0,,,,,4.0,
2017-08-29,8.0,,,,,8.0,
2017-08-30,3.0,,,,,2.0,
2017-08-31,2.0,,,,,1.0,
2017-09-01,7.0,,,,,4.0,
2017-09-02,18.0,,,,,16.0,
2017-09-03,8.0,,,,,8.0,
2017-09-04,5.0,,,,,4.0,
2017-09-05,14.0,,,,,8.0,
2017-09-06,23.0,,,,,22.0,
2017-09-07,11.0,,,,,8.0,
2017-09-08,6.0,,,,,4.0,
2017-09-09,24.0,,,,,22.0,
2017-09-10,9.0,,,,,9.0,
2017-09-11,20.0,,,,,28.0,
2017-09-12,12.0,,,,,11.0,
2017-09-13,13.0,,,,,9.0,
2017-09-14,5.0,,,,,3.0,
2017-09-15,7.0,,,,,4.0,
2017-09-16,9.0,,,,,5.0,
2017-09-17,3.0,,,,,2.0,
2017-09-18,9.0,,,,,6.0,
2017-09-19,10.0,,,,,6.0,
2017-09-20,14.0,,,,,11.0,
2017-09-21,3.0,,,,,5.0,
2017-09-22,17.0,,,,,15.0,
2017-09-23,13.0,,,,,14.0,
2017-09-24,8.0,,,,,9.0,
2017-09-25,25.0,,,,,21.0,
2017-09-26,27.0,,,,,23.0,
2017-09-27,34.0,,,,,40.0,
2017-09-28,44.0,,,,,56.0,
2017-09-29,40.0,,,,,37.0,
2017-09-30,66.0,,,,,71.0,
2017-10-01,193.0,,,,,205.0,
2017-10-02,292.0,,,,,325.0,
2017-10-03,132.0,,,,,122.0,
2017-10-04,82.0,,,,,81.0,
2017-10-05,72.0,,,,,85.0,
2017-10-06,40.0,22131.0,0.0,420.552,0.186912,38.0,139643.263346
2017-10-07,88.0,38476.0,0.0,410.264838903,0.200257,92.0,103210.724548
2017-10-08,103.0,36340.0,0.0,295.5838,0.25372,115.0,226556.824248
2017-10-09,56.0,16776.0,0.0,1578.25,0.31565,45.0,376588.188787
2017-10-10,53.0,20495.0,0.0,631.005,0.252402,43.0,348350.185593
2017-10-11,59.0,16009.0,0.0,266.51969757,0.19818,58.0,86864.6984698
2017-10-12,68.0,30129.0,0.0,585.9564426,0.202347,62.0,150040.470125
2017-10-13,47.0,34592.0,0.0,591.1235,0.214954,40.0,257844.659864
2017-10-14,70.0,14610.0,0.0,498.422184,0.187942,65.0,156382.424631
2017-10-15,47.0,6825.0,0.0,550.39,0.220156,39.0,120817.619355
2017-10-16,37.0,39622.0,0.0,511.256625416,0.187672,33.0,157961.823408
2017-10-17,33.0,17036.0,0.0,307.9329,0.181137,38.0,136719.379161
2017-10-18,40.0,26564.0,0.0,924.616873421,0.186608,36.0,75153.5502065
2017-10-19,49.0,24265.0,0.0,662.031972,0.172494,47.0,76676.0163849
2017-10-20,34.0,5704.0,0.0,515.260111354,0.169852,30.0,90614.7081136
2017-10-21,32.0,22640.0,0.0,445.763981195,0.169492,34.0,73309.5027013
2017-10-22,39.0,9852.0,0.0,974.423627874,0.164421,38.0,196744.686064
2017-10-23,37.0,35983.0,0.0,359.691275,0.161659,42.0,138843.465533
2017-10-24,36.0,48705.0,0.0,694.6938,0.134892,38.0,98426.4637386
2017-10-25,31.0,1482.0,0.0,71.41,0.14282,27.0,31439.9233654
2017-10-26,24.0,42943.0,0.0,1026.02665,0.14689,23.0,76984.0024602
2017-10-27,30.0,21020.0,0.0,594.867528,0.165609,30.0,73216.603976
2017-10-28,31.0,3590.0,0.0,68.28,0.13656,29.0,8725.10414451
2017-10-29,33.0,5246.0,0.0,469.74963067,0.159122,26.0,50768.829978
2017-10-30,23.0,7203.0,0.0,327.494,0.163747,25.0,61799.2241391
