,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-06-19,1.0,,,,,2.0,
2017-06-20,8117.0,,,,,9396.0,
2017-06-21,13770.0,,,,,19276.0,
2017-06-22,2.0,,,,,1.0,
2017-06-23,3.0,,,,,2.0,
2017-06-24,10.0,,,,,9.0,
2017-06-25,,,,,,,
2017-06-26,,,,,,,
2017-06-27,182.0,,,,,181.0,
2017-06-28,13067.0,13747700.0,214393370.358,1550.639376,0.061776,14533.0,137377085.117
2017-06-29,9126.0,18083200.0,194260704.389,1399.375,0.055975,11344.0,98469474.2553
2017-06-30,2404.0,10133300.0,179932140.4,1042.1247,0.051847,3163.0,18962476.468
2017-07-01,1958.0,10307200.0,154008607.34,1106.11952812,0.044377,2414.0,12148144.3853
2017-07-02,1969.0,7502210.0,152419817.166,1469.925011,0.043919,2458.0,11903883.8924
2017-07-03,3308.0,28853300.0,148246493.484,1202.3445753,0.042716,4738.0,30177376.0492
2017-07-04,2664.0,18958100.0,195859183.897,1241.592,0.056436,3482.0,26705429.6049
2017-07-05,1424.0,11487700.0,197794458.232,1139.8599943,0.056993,1825.0,9539364.92958
2017-07-06,1215.0,10173100.0,174958193.108,988.0948,0.050413,1673.0,8060687.41135
2017-07-07,1144.0,7012400.0,174834845.802,1007.56,0.050378,1588.0,9539144.1519
2017-07-08,877.0,6282280.0,153115312.833,882.38,0.044119,1214.0,7136295.3166
2017-07-09,740.0,3429300.0,154009659.362,681.595835977,0.044377,921.0,2979385.25579
2017-07-10,1061.0,6133140.0,140900744.722,890.475334,0.0406,1331.0,8036998.17745
2017-07-11,1126.0,7617130.0,106562896.78,934.439489389,0.030705,1885.0,5962056.56778
2017-07-12,689.0,5178400.0,87349737.8408,632.24528,0.025169,897.0,3581587.63672
2017-07-13,625.0,5187090.0,108027689.407,680.380803373,0.031128,1053.0,2771664.45004
2017-07-14,487.0,3055070.0,97979855.3839,587.599674,0.028232,666.0,2109108.77646
2017-07-15,448.0,2668550.0,88806585.0458,465.062363388,0.025589,548.0,1525005.73784
2017-07-16,464.0,2339710.0,81698658.8754,376.656,0.023541,614.0,1332685.58833
2017-07-17,510.0,3764400.0,81818554.0527,471.75576,0.023576,667.0,1279757.19065
2017-07-18,539.0,5126630.0,90897650.2953,523.8373808,0.026192,776.0,2172816.00819
2017-07-19,539.0,4366050.0,100757048.704,725.82470967,0.029033,758.0,2570456.52702
2017-07-20,500.0,3753830.0,92397543.2404,532.48,0.026624,711.0,2668804.03407
2017-07-21,2790.0,11944800.0,104203930.23,570.494,0.030026,4322.0,8722347.7906
2017-07-22,6456.0,38566700.0,132972068.235,875.648902675,0.038315,9058.0,34077633.953
2017-07-23,9559.0,159816000.0,291520638.675,1313.21484,0.084,13925.0,86714082.0702
2017-07-24,4753.0,48405700.0,291835689.403,840.91,0.084091,7240.0,34350444.588
2017-07-25,1385.0,52165600.0,264945354.123,1475.20070736,0.076343,2131.0,10940290.661
2017-07-26,1115.0,51832700.0,204740500.118,967.518,0.058995,1689.0,6124017.40457
2017-07-27,814.0,27039600.0,206861305.833,893.513186275,0.059606,1083.0,3920572.98774
2017-07-28,674.0,17827200.0,204562620.083,884.145,0.058943,992.0,3855141.68129
2017-07-29,626.0,17077400.0,187716762.322,1081.78,0.054089,1169.0,4669709.7657
2017-07-30,444.0,8438260.0,186965373.499,709.103093135,0.053873,674.0,3380213.83845
2017-07-31,519.0,17412400.0,175733042.445,759.54,0.050636,785.0,2036753.86922
2017-08-01,549.0,23845300.0,188411879.701,941.733984152,0.05429,806.0,2146917.46767
2017-08-02,644.0,15754800.0,191332997.301,800.530060391,0.055131,945.0,5955554.57699
2017-08-03,726.0,15695800.0,189375249.837,964.790652745,0.054567,1163.0,5874231.48583
2017-08-04,883.0,16038900.0,194551510.296,1121.18,0.056059,1503.0,4626335.78715
2017-08-05,1213.0,37828900.0,197578414.681,1194.4408455,0.056931,2162.0,6832403.23454
2017-08-06,960.0,24237700.0,228326229.524,1120.9072176,0.065791,1563.0,5410377.63303
2017-08-07,1268.0,40894300.0,214077693.445,1233.7,0.061685,2292.0,8814896.02883
2017-08-08,1171.0,35787700.0,246250628.695,1086.123492,0.070956,1927.0,6892726.7033
2017-08-09,855.0,18237500.0,251338991.797,1086.32927578,0.072422,1444.0,3986913.3909
2017-08-10,1138.0,27412400.0,225857363.018,996.9598692,0.06508,1889.0,8967461.7035
2017-08-11,1657.0,58822600.0,227152995.306,1294.267622,0.065453,3191.0,13785084.5034
2017-08-12,1203.0,24574100.0,271522125.628,1274.575258,0.078238,2520.0,9209977.1902
2017-08-13,1218.0,21679300.0,237022889.835,1363.959387,0.068297,2172.0,14086564.6378
2017-08-14,1411.0,23224100.0,221762833.903,1487.06888936,0.0639,2620.0,18582727.1638
2017-08-15,970.0,19850100.0,213923036.205,1231.278975,0.061641,1601.0,6914335.51802
2017-08-16,975.0,11186700.0,210892597.966,1211.88763145,0.060768,1653.0,4556748.74598
2017-08-17,1305.0,22798200.0,207868776.796,1300.26566682,0.059896,2482.0,13659482.434
2017-08-18,1017.0,13896200.0,211492054.643,1076.82465378,0.06094,1531.0,6946338.81623
2017-08-19,826.0,12062400.0,189763960.664,1314.1277465,0.054679,1358.0,4515035.84876
2017-08-20,649.0,6738530.0,189295781.296,681.036384,0.054544,861.0,2677272.32616
2017-08-21,774.0,9409920.0,190689202.222,989.028,0.054946,1284.0,3334884.25356
2017-08-22,687.0,5745640.0,177165788.604,558.731305,0.051049,916.0,2882354.4424
2017-08-23,719.0,8995140.0,173358613.996,749.323058624,0.049952,1151.0,2605384.84858
2017-08-24,741.0,8706810.0,177991376.936,1027.27861,0.051287,1322.0,3559290.97858
2017-08-25,696.0,5922650.0,182970487.252,948.996,0.052722,1308.0,4191564.30365
2017-08-26,574.0,5512320.0,176909980.354,645.4530144,0.050976,881.0,2889473.34181
2017-08-27,610.0,6815440.0,175154635.332,969.18181969,0.05047,1002.0,2510540.84823
2017-08-28,671.0,7486210.0,179141439.278,1032.38,0.051619,1140.0,7292108.80147
2017-08-29,768.0,10873400.0,169933612.978,978.81035,0.048965,1241.0,3783170.60708
2017-08-30,827.0,9555330.0,171693401.603,988.382019079,0.049473,1333.0,3868002.9515
2017-08-31,765.0,7463400.0,163780432.951,991.459647108,0.047192,1377.0,4228794.3073
2017-09-01,818.0,7175300.0,166615508.254,960.18,0.048009,1439.0,4300471.43456
2017-09-02,729.0,8260080.0,165117207.826,948.68538,0.047577,1026.0,3413402.20747
2017-09-03,783.0,6755000.0,143133162.873,824.983729,0.041243,1235.0,7074580.33766
2017-09-04,2051.0,9710210.0,137416133.392,837.919724295,0.039595,3194.0,10273474.8707
2017-09-05,2040.0,5825530.0,103793558.039,566.946719444,0.029908,2851.0,9862909.00371
2017-09-06,2416.0,9953750.0,107741970.765,660.458982592,0.031045,3593.0,12435798.1799
2017-09-07,4329.0,5490620.0,138637423.373,616.474907422,0.039948,6101.0,16831604.857
2017-09-08,6178.0,4653740.0,130660668.676,550.624228216,0.037649,8418.0,23509428.9349
2017-09-09,3256.0,2524890.0,107194580.41,308.849112,0.030888,4513.0,5550027.90195
2017-09-10,2143.0,2373310.0,106861119.278,305.774318381,0.030791,2966.0,5989089.03735
2017-09-11,2022.0,2069680.0,101893404.433,272.07101664,0.02936,2890.0,3538602.96802
2017-09-12,1687.0,2734640.0,99519243.1805,261.818496987,0.028676,2332.0,2557888.23758
2017-09-13,1133.0,1880030.0,98579092.0268,263.789234652,0.028405,1392.0,1772769.03389
2017-09-14,1256.0,1721860.0,91565244.0433,268.254288571,0.026384,1739.0,2446105.43323
2017-09-15,1974.0,2521070.0,68921287.9956,185.355017595,0.019859,2712.0,2345269.73517
2017-09-16,1370.0,1879180.0,76154246.56,194.518910606,0.021943,1776.0,1791436.36468
2017-09-17,1238.0,1746130.0,74497404.9,452.399351405,0.021466,1564.0,2045205.20393
