Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-12-12,1594,,,,,1812,
2017-12-13,1479,,,,,1696,
2017-12-14,636,,,,,714,
2017-12-15,641,,,,,731,
2017-12-16,437,,,,,494,
2017-12-17,350,,,,,393,
2017-12-18,393,,,,,422,
2017-12-19,309,,,,,349,
2017-12-20,300,,,,,343,
2017-12-21,297,,,,,329,
2017-12-22,239,,,,,273,
2017-12-23,234,,,,,261,
2017-12-24,305,,,,,349,
2017-12-25,370,,,,,411,
2017-12-26,393,,,,,423,
2017-12-27,405,,,,,641,
2017-12-28,270,807338.0,0.0,803.555634054,0.742602,299,9372525.15652
2017-12-29,160,970610.0,0.0,505.60026,0.732754,163,3012948.93218
2017-12-30,235,2463710.0,0.0,1354.004,0.677002,301,2903798.14182
2017-12-31,257,1822440.0,0.0,1678.114,0.839057,287,3115103.48555
2018-01-01,112,860856.0,0.0,815.614551691,1.01,125,9733907.69688
2018-01-02,333,3032790.0,92116834.9994,278.2077,0.927359,370,134690912.07
2018-01-03,625,2516980.0,105844930.542,38.52,1.07,682,61298007.4092
2018-01-04,298,1963360.0,118757519.016,240.0,1.2,303,16928041.3548
2018-01-05,198,3755230.0,120847259.676,846.392428566,1.22,223,6707571.71908
2018-01-06,283,2146630.0,135294602.594,657.6,1.37,293,4694515.40158
2018-01-07,227,2199950.0,158155715.0,1130.52329201,1.6,244,4238745.48068
2018-01-08,297,6012950.0,158514454.34,800.0,1.6,310,4183305.00132
2018-01-09,385,10702000.0,209686837.064,2120.0,2.12,501,13768710.1119
2018-01-10,291,6472780.0,232608272.68,3162.03735077,2.35,332,26408151.7345
2018-01-11,295,5189330.0,219193639.053,1289.87492532,2.21,318,6195876.7006
2018-01-12,275,8366370.0,189896660.06,1555.2,1.92,323,3663974.03825
2018-01-13,230,10567000.0,198465142.869,1817.844,2.01,264,4393782.48798
2018-01-14,241,10549400.0,182194034.713,1552.78690519,1.84,290,3374233.989
2018-01-15,245,10366900.0,170918221.443,1392.65,1.73,305,24663159.0168
2018-01-16,267,9758750.0,191490993.026,1455.0,1.94,303,3405555.63585
2018-01-17,199,7401500.0,153438144.937,3435.575,1.55,234,2539132.70293
2018-01-18,200,11912700.0,158801088.608,1600.0,1.6,251,4081388.09148
2018-01-19,171,8227090.0,155545899.92,824.25,1.57,187,1358921.071
2018-01-20,229,12286500.0,161059703.196,822.771715069,1.63,260,1259299.44434
2018-01-21,534,14525400.0,186772094.89,1421.07515111,1.89,774,65699226.1243
2018-01-22,1031,16599300.0,243106389.125,1230.0,2.46,1525,38425213.1228
2018-01-23,844,16627300.0,332692596.552,339.2031216,3.36,1057,179026159.345
2018-01-24,526,24336000.0,344631848.458,2610.0,3.48,677,69816287.552
2018-01-25,499,13398100.0,330937269.013,1256.25,3.35,704,18252628.2059
2018-01-26,386,8235690.0,294820062.722,989.99766536,2.98,605,9751504.35014
2018-01-27,353,13800600.0,299049094.047,714.625390178,3.02,542,7544532.49081
2018-01-28,413,10871500.0,254997657.0,1486.49198598,2.58,602,12479868.7184
2018-01-29,366,13080200.0,255696906.142,1290.0,2.58,559,4652268.62418
2018-01-30,639,18738900.0,209361355.865,2230.17366452,2.12,1101,15322543.2314
2018-01-31,593,34701700.0,234705451.852,948.0,2.37,734,93124370.9533
2018-02-01,498,30453700.0,195028180.276,1970.0,1.97,614,29960560.805
2018-02-02,480,21675800.0,154155768.0,2062.55761226,1.56,680,17051493.9123
2018-02-03,288,17691400.0,133864312.5,1353.375,1.35,382,7744769.2227
2018-02-04,278,15574300.0,133464505.537,713.973339,1.35,343,3295896.3088
2018-02-05,360,20467000.0,118893569.143,2113.94042552,1.2,651,6167843.70418
2018-02-06,390,20484900.0,140070479.243,2984.79358923,1.41,710,13303817.3531
2018-02-07,249,13947800.0,105626238.653,1527.81905811,1.07,345,2969938.03605
2018-02-08,229,14646800.0,98904878.6408,1496.50438122,1.0,310,3144950.54995
2018-02-09,246,17909700.0,101498270.564,1290.78574551,1.03,289,9695389.04399
2018-02-10,249,16430200.0,115869758.062,1213.29,1.17,333,3508212.59735
2018-02-11,231,16156000.0,112790983.112,994.3589979,1.14,280,5966586.61833
2018-02-12,269,17051600.0,97624178.3719,1032.36312863,0.988161,346,2219663.33064
2018-02-13,550,23702200.0,107310838.852,1786.44499585,1.08,1123,10701126.3078
2018-02-14,968,71211504.0,113058974.688,1974.21271814,1.14,2730,29807558.1574
2018-02-15,440,37769600.0,125030186.69,2215.07074589,1.26,776,10801554.9938
