,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2017-08-28,2,,,,1,,1,
2017-08-29,3,,,,2,,2,
2017-08-30,3,,,,2,,2,
2017-08-31,4,,,,3,,3,
2017-09-01,17,,,,26,,26,
2017-09-02,15,,,,15,,15,
2017-09-03,316,,,,423,,423,
2017-09-04,1011,,,,1360,,1360,
2017-09-05,1043,,,,1397,,1397,
2017-09-06,1336,,,,1540,,1540,
2017-09-07,603,,,,686,,686,
2017-09-08,462,,,,526,,526,
2017-09-09,441,,,,468,,468,
2017-09-10,550,,,,531,,531,
2017-09-11,803,,,,642,,642,
2017-09-12,365,,,,329,,329,
2017-09-13,391,48512.0,0.0,259.985914713,384,0.002051,384,1904725.61491
2017-09-14,283,58770.0,0.0,216.149509,334,0.002006,334,2678158.65899
2017-09-15,176,26475.0,0.0,290.604105,169,0.001419,169,337296.881709
2017-09-16,151,54535.0,0.0,180.77399985,204,0.001815,204,249739.794729
2017-09-17,187,124998.0,0.0,305.370864,258,0.001836,258,269382.073828
2017-09-18,383,159158.0,0.0,339.879,463,0.003324,463,1968324.24067
2017-09-19,303,158416.0,0.0,327.3,377,0.003273,377,1784011.48431
2017-09-20,264,83399.0,0.0,255.850591618,310,0.002306,310,472702.241567
2017-09-21,252,99853.0,0.0,251.722410306,363,0.002638,363,667529.382114
2017-09-22,1776,38829.0,0.0,0.000273419685,1801,0.002079,1801,212418.41591
2017-09-23,4172,42314.0,0.0,0.000789330189,5616,0.001934,5616,19588517.8152
2017-09-24,4846,50023.0,0.0,0.000176029764,4857,0.002346,4857,35434124.4335
2017-09-25,7860,106284.0,0.0,0.000160145144,7873,0.002251,7873,574814.587035
2017-09-26,8948,61508.0,0.0,0.000131137269,8941,0.001777,8941,527724.376864
2017-09-27,9973,35671.0,0.0,0.000130359712,9973,0.001736,9973,31686727.8899
2017-09-28,8419,69532.0,25802729.0898,0.000184295078,8415,0.002563,8415,3108313.20413
2017-09-29,8326,58162.0,29202481.2769,0.000196142412,8322,0.002901,8322,581696.734301
2017-09-30,3209,53734.0,19959147.5891,0.00016772214,3185,0.001983,3185,144505.403452
2017-10-01,6684,72807.0,22757585.3068,0.000181268892,6692,0.002261,6692,249180286.374
2017-10-02,6955,887622.0,73920263.7174,0.000182393904,7092,0.001848,7092,1824251.6786
2017-10-03,7935,822107.0,109897989.048,0.000265500768,7973,0.002748,7973,21386637.4715
2017-10-04,5742,1072200.0,98767293.0462,0.0002355191445,5840,0.002469,5840,1771031.59808
2017-10-05,5786,704167.0,130768664.819,0.000298286443,5926,0.003269,5926,2420506.34455
2017-10-06,3723,478330.0,132819604.005,0.000316999413,3777,0.003321,3777,2142753.71013
2017-10-07,5316,352974.0,195036872.489,0.00025964254,5353,0.002995,5353,425213.888743
2017-10-08,6904,239490.0,167018654.988,0.000202293855,6946,0.002565,6946,368298.756382
2017-10-09,7605,350960.0,167156335.905,0.000192999895,7631,0.002567,7631,1261028.89078
2017-10-10,7658,215705.0,142983667.257,0.000151378314,7637,0.002186,7637,387565.920755
2017-10-11,8473,289055.0,149684912.473,0.000167151936,8473,0.002289,8473,277834.327176
2017-10-12,7664,136756.0,161573128.406,0.0001804089455,7662,0.002471,7662,218459.613866
2017-10-13,7604,184709.0,153333130.937,0.000176060255,7579,0.002345,7579,336959.98294
2017-10-14,5036,121404.0,138231748.181,0.000162379511,5022,0.002114,5022,237202.493326
2017-10-15,9310,116033.0,155482779.592,0.00014992101,9283,0.002378,9283,133419.604381
2017-10-16,31487,152645.0,149588193.59,0.000143712793,31481,0.002287,31481,229547.758552
2017-10-17,39398,116008.0,140969861.479,0.00014023702,39390,0.002156,39390,271679.300787
2017-10-18,28705,189768.0,127051568.03,0.000127723105,28689,0.001943,28689,239166.581743
2017-10-19,18245,325575.0,136989613.404,0.000140279154,18233,0.002094,18233,418084.477798
2017-10-20,20468,211546.0,125367084.515,0.00012442504,20495,0.001916,20495,403740.570967
2017-10-21,9094,243113.0,127798908.031,0.000140992929,9113,0.001953,9113,236501.76895
2017-10-22,252,244796.0,150871259.69,206.483694772,299,0.002306,299,347468.317856
2017-10-23,226,221618.0,168461747.57,510.443351262,252,0.002575,252,459595.85685
2017-10-24,223,297411.0,158686273.794,242.5,318,0.002425,318,341743.874868
2017-10-25,370,715742.0,173752068.864,272.897240719,507,0.002656,507,539296.409929
2017-10-26,295,794428.0,198164555.791,406.998035931,385,0.003029,385,824045.855695
2017-10-27,277,1589480.0,185826420.164,460.603342896,386,0.00284,386,922979.797284
2017-10-28,371,1031720.0,200159522.52,310.763053711,475,0.003059,475,536421.625351
2017-10-29,470,1605430.0,195523248.142,593.930052039,666,0.002988,666,3542119.28783
2017-10-30,4466,1347640.0,193077208.631,70.2338,4830,0.002951,4830,3619221.60942
2017-10-31,783,1805800.0,180826318.763,552.0,755,0.00276,755,3196786.94368
2017-11-01,4264,1398750.0,182332840.833,0.000289501875,4252,0.002782,4252,519557.0761
2017-11-02,8697,1429590.0,165377419.922,0.000260734248,8710,0.002524,8710,497358.668192
2017-11-03,27591,1588360.0,151000005.144,0.000231683328,27600,0.002304,27600,2353654.26969
2017-11-04,54933,1696040.0,145993382.273,0.00022413123,54906,0.002228,54906,236375.274605
2017-11-05,68167,1762660.0,139288452.176,0.00021470474,68169,0.002126,68169,387475.411376
