,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2018-03-05,6,,,,,11,
2018-03-06,13,10643500.0,0.0,148.894104903,0.998462,39,9522263.77057
2018-03-07,10,6274620.0,0.0,993.251754,0.994246,13,4289225.79471
2018-03-08,2,2401910.0,0.0,34030.8194025,1.0,2,68061.6388051
2018-03-09,11,5316350.0,0.0,4538.52981896,1.01,18,6319667.96358
2018-03-10,4,1606990.0,0.0,7233.27451594,0.98421,4,1972559.92583
2018-03-11,4,2099980.0,0.0,7.0,1.0,4,219.0
2018-03-12,2,1398700.0,6627543.87768,6888.2,1.01,1,6888.2
2018-03-13,2,1210120.0,6495755.52464,3063.19964847,0.986493,2,6126.39929693
2018-03-14,6,1888930.0,6561925.1251,6000.0,1.0,7,44858.4119426
2018-03-15,8,2610810.0,6645345.85025,23464.825,1.01,8,2115195.00626
2018-03-16,7,902615.0,6549297.10973,98.544798,0.995402,9,58818.6246502
2018-03-17,6,1321340.0,6548472.67993,465.423815272,0.994332,8,8195.10251039
2018-03-18,21,3493100.0,6568239.32867,660.753334156,0.998281,59,2133323.98378
2018-03-19,13,2291760.0,6410054.78085,615.7088508,0.96945,16,22812.3587888
2018-03-20,18,1785010.0,6652123.61,277.065144735,1.01,31,302717.100318
2018-03-21,16,1219640.0,6579550.11863,950.857466065,1.0,22,29233.6916899
2018-03-22,21,2908660.0,6558396.2,100.32182832,0.997249,32,102231.982179
2018-03-23,18,2202750.0,6543809.982,659.398584,0.994568,27,4024227.23813
2018-03-24,17,967029.0,7924114.52598,759.77215591,1.0,27,507895.532336
2018-03-25,4,825428.0,7849636.03144,29718.4311884,0.990601,3,59653.6962818
2018-03-26,6,2587900.0,7892086.47239,1367.120382,0.994993,6,11104.9872024
2018-03-27,5,2200920.0,7912386.60068,1248.15,0.99852,4,6717.78457275
2018-03-28,10,951963.0,7867204.258,1050.46349381,0.99256,11,8096.47412019
2018-03-29,20,2985780.0,7910777.22772,822.810242,1.0,33,82325.484099
2018-03-30,22,3017020.0,9568856.19469,545.7441575,1.01,34,4743536.3956
2018-03-31,16,1613600.0,9478473.0,548.674875,1.0,27,169859.312604
2018-04-01,10,2178630.0,9439032.67327,30.0,1.0,24,17804.3484444
2018-04-02,12,1017440.0,9568856.01076,503.7375,1.01,17,18152.4003329
2018-04-03,21,1527120.0,9472508.46121,918.127057047,0.998044,89,324119.928695
2018-04-04,16,1664350.0,9605709.0,473.877810605,1.0,24,321356.996002
2018-04-05,16,1245700.0,9571650.49505,246.0462252,1.0,24,43448.7397639
2018-04-06,13,867908.0,9666984.0,1602.47493758,1.01,30,66288.1477933
2018-04-07,17,802142.0,9641995.0,786.372961789,1.01,54,77061.484143
2018-04-08,23,617041.0,9655303.0,1025.51636517,1.01,61,110832.693649
2018-04-09,16,1364890.0,9644975.0,937.810434992,1.01,35,211390.999674
2018-04-10,15,816891.0,9658745.79066,705.99,1.01,59,244506.358764
2018-04-11,17,803442.0,9563255.27201,864.789375768,0.99951,28,55433.1339412
2018-04-12,19,3940870.0,9621545.0,501.57206,1.01,27,54879.9235505
2018-04-13,20,2514640.0,9626518.0,241.4892325,1.01,28,63912.8880243
2018-04-14,21,3937500.0,9661475.0,402.99,1.01,23,385758.927661
2018-04-15,18,3089420.0,9699786.49,209.803200208,1.01,33,356663.734887
2018-04-16,15,2861680.0,9783114.9548,631.492629,1.0,19,652131.658861
2018-04-17,19,1665870.0,9769154.04202,261.626126,0.998573,25,392410.696778
2018-04-18,24,1883270.0,9821494.84041,999.774,0.999774,27,201372.646121
2018-04-19,17,1474770.0,9870845.46064,419.21360475,1.01,21,144498.302743
2018-04-20,9,1856480.0,9870846.1509,499.7076,1.01,18,36608.7318038
2018-04-21,11,1920660.0,9661147.20782,4331.35195567,0.989886,11,124512.090493
2018-04-22,13,1184730.0,9773114.67007,539.0,1.0,14,518397.710125
