Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2018-09-10,5.0,,,,,4.0,
2018-09-11,,,,,,,
2018-09-12,,,,,,,
2018-09-13,,,,,,,
2018-09-14,,,,,,,
2018-09-15,,,,,,,
2018-09-16,,,,,,,
2018-09-17,,,,,,,
2018-09-18,,,,,,,
2018-09-19,,,,,,,
2018-09-20,,,,,,,
2018-09-21,,,,,,,
2018-09-22,3.0,,,,,2.0,
2018-09-23,,,,,,,
2018-09-24,,,,,,,
2018-09-25,5.0,,,,,5.0,
2018-09-26,15.0,,,,,48.0,
2018-09-27,21.0,,,,,36.0,
2018-09-28,32.0,,,,,46.0,
2018-09-29,21.0,,,,,29.0,
2018-09-30,18.0,,,,,33.0,
2018-10-01,29.0,,,,,51.0,
2018-10-02,48.0,,,,,51.0,
2018-10-03,21.0,,,,,26.0,
2018-10-04,15.0,,,,,19.0,
2018-10-05,20.0,,,,,28.0,
2018-10-06,2.0,,,,,1.0,
2018-10-07,3.0,,,,,4.0,
2018-10-08,14.0,382900.0,0.0,100.0,1.0,13.0,8686.25
2018-10-09,17.0,108803.0,0.0,999.9,1.0,21.0,1226645.9032
2018-10-10,22.0,711783.0,0.0,499.9,1.0,25.0,160497.864492
2018-10-11,27.0,4177290.0,0.0,319.79354371,1.01,42.0,1116762.12949
2018-10-12,25.0,1322240.0,0.0,205.50005703,1.01,36.0,2517309.96786
2018-10-13,10.0,698507.0,0.0,1009.899,1.01,13.0,73807.859791
2018-10-14,8.0,982750.0,0.0,6284.35553089,1.01,20.0,177667.051143
2018-10-15,45.0,10660400.0,0.0,2807.04,1.02,89.0,45450789.5881
2018-10-16,48.0,2124080.0,24561779.8824,3038.18562752,1.03,90.0,592859.159253
2018-10-17,50.0,1102740.0,24346110.3564,1408.68071601,1.02,74.0,772948.876138
2018-10-18,29.0,1182450.0,24187789.0,661.57929,1.01,37.0,327452.615816
2018-10-19,24.0,715078.0,24002106.0,504.899,1.01,29.0,638364.906897
2018-10-20,34.0,299871.0,23994903.0,100.470325195,1.01,38.0,566360.331466
2018-10-21,10.0,509276.0,24149159.0,3587.52,1.01,11.0,43415.3660645
2018-10-22,46.0,1211160.0,33637864.0,2236.41214753,1.01,52.0,24496520.0233
2018-10-23,139.0,1503840.0,0.0,10.1,1.01,162.0,190728687.9
2018-10-24,155.0,923940.0,85597084.0,12.614395,1.01,164.0,131273654.865
2018-10-25,115.0,1365520.0,85423351.0,101.0,1.01,143.0,1308689.53043
2018-10-26,93.0,950623.0,125705149.0,483.169658,1.01,115.0,3170044.02686
2018-10-27,82.0,712963.0,125258974.0,471.5286,1.01,81.0,1276862.64046
2018-10-28,68.0,282707.0,125585474.0,99.99,1.01,57.0,88937.0351737
2018-10-29,92.0,1983680.0,126268125.0,481.1964109,1.01,114.0,4317689.70607
2018-10-30,110.0,715882.0,129240720.09,151.4798,1.01,124.0,11927914.1486
2018-10-31,123.0,1279360.0,128636634.949,68.53355,1.01,144.0,2092073.12654
2018-11-01,141.0,1800480.0,126826371.561,49.81068587,0.996413,152.0,1111738.97549
2018-11-02,105.0,2042390.0,131328516.589,945.751581533,0.992897,117.0,20979338.5644
2018-11-03,78.0,1402480.0,132760170.0,99.97,1.0,85.0,306858.204758
2018-11-04,100.0,2144200.0,132233908.24,93.6,1.0,95.0,338438.987494
2018-11-05,131.0,1287400.0,133808867.952,49.82991006,0.996997,127.0,6811446.20971
2018-11-06,165.0,2241070.0,134764761.0,500.0,1.0,225.0,2306374.20945
2018-11-07,152.0,2589880.0,134846051.0,490.723222,1.0,176.0,1549705.80529
2018-11-08,151.0,3423190.0,134582387.0,799.964438,1.0,185.0,11318949.6401
2018-11-09,115.0,3478250.0,133813884.158,245.0,1.0,140.0,1005575.89717
2018-11-10,115.0,2497760.0,135543519.0,559.07136,1.01,120.0,1121395.99148
2018-11-11,91.0,4726130.0,135307300.0,981.17713106,1.01,97.0,1678593.80529
2018-11-12,153.0,6446540.0,135869180.0,1007.45941065,1.01,164.0,4734363.8986
2018-11-13,142.0,6483310.0,135535719.0,2096.76184022,1.01,191.0,18869871.7052
2018-11-14,287.0,24013300.0,145938458.0,3251.6988,1.02,450.0,20398124.9141
2018-11-15,376.0,18776600.0,145288638.0,2871.5856,1.02,649.0,30177499.4138
2018-11-16,348.0,9247040.0,145610831.825,3839.943,1.02,556.0,21546177.7117
2018-11-17,418.0,5537380.0,146931038.881,532.51,1.03,654.0,8028471.59393
2018-11-18,347.0,5735460.0,144472180.0,1272.06556305,1.01,530.0,5808430.87145
2018-11-19,685.0,27873100.0,144008136.863,1009.97413289,1.01,1204.0,20700978.2667
2018-11-20,857.0,43293600.0,156707498.0,1078.91470326,1.02,1515.0,62952067.8926
2018-11-21,604.0,20164000.0,166669832.97,1020.0,1.02,992.0,43947436.3071
2018-11-22,357.0,11556600.0,164546587.863,485.61461651,1.01,496.0,12274587.1056
2018-11-23,590.0,17717500.0,169431172.0,759.9,1.02,907.0,24237420.9309
2018-11-24,461.0,19409700.0,169951729.0,1019.98413084,1.02,677.0,11079531.3179
2018-11-25,667.0,23476200.0,170393049.0,923.9512,1.03,1061.0,17408901.4036
2018-11-26,635.0,29734800.0,168735476.25,1018.98,1.02,1043.0,16009881.4133
2018-11-27,666.0,13622700.0,174091712.604,598.95300928,1.03,1020.0,24205387.41
