,activeaddresses,exchangevolume(usd),generatedcoins,marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2014-10-06,6,,100.0,,,,5,
2014-10-07,4,,0.0,,,,2,
2014-10-08,2,,0.0,,,,1,
2014-10-09,4,,0.0,,,,2,
2014-10-10,4,,0.0,,,,3,
2014-10-11,2,,0.0,,,,1,
2014-10-12,2,,0.0,,,,1,
2014-10-13,4,,0.0,,,,2,
2014-10-14,0,,0.0,,,,0,
2014-10-15,0,,0.0,,,,0,
2014-10-16,0,,0.0,,,,0,
2014-10-17,0,,0.0,,,,0,
2014-10-18,0,,0.0,,,,0,
2014-10-19,0,,0.0,,,,0,
2014-10-20,0,,0.0,,,,0,
2014-10-21,6,,0.0,,,,10,
2014-10-22,2,,0.0,,,,1,
2014-10-23,0,,0.0,,,,0,
2014-10-24,0,,0.0,,,,0,
2014-10-25,0,,0.0,,,,0,
2014-10-26,0,,0.0,,,,0,
2014-10-27,0,,0.0,,,,0,
2014-10-28,3,,0.0,,,,2,
2014-10-29,0,,0.0,,,,0,
2014-10-30,0,,0.0,,,,0,
2014-10-31,2,,0.0,,,,1,
2014-11-01,0,,0.0,,,,0,
2014-11-02,0,,0.0,,,,0,
2014-11-03,0,,0.0,,,,0,
2014-11-04,2,,0.0,,,,1,
2014-11-05,0,,0.0,,,,0,
2014-11-06,0,,0.0,,,,0,
2014-11-07,0,,0.0,,,,0,
2014-11-08,0,,0.0,,,,0,
2014-11-09,0,,0.0,,,,0,
2014-11-10,0,,0.0,,,,0,
2014-11-11,0,,0.0,,,,0,
2014-11-12,0,,0.0,,,,0,
2014-11-13,2,,0.0,,,,1,
2014-11-14,8,,0.0,,,,16,
2014-11-15,3,,0.0,,,,2,
2014-11-16,3,,0.0,,,,2,
2014-11-17,0,,0.0,,,,0,
2014-11-18,3,,0.0,,,,2,
2014-11-19,0,,0.0,,,,0,
2014-11-20,2,,0.0,,,,1,
2014-11-21,5,,0.0,,,,4,
2014-11-22,2,,0.0,,,,1,
2014-11-23,0,,0.0,,,,0,
2014-11-24,2,,0.0,,,,1,
2014-11-25,3,,0.0,,,,2,
2014-11-26,4,,0.0,,,,4,
2014-11-27,2,,0.0,,,,1,
2014-11-28,0,,0.0,,,,0,
2014-11-29,0,,0.0,,,,0,
2014-11-30,0,,0.0,,,,0,
2014-12-01,0,,0.0,,,,0,
2014-12-02,0,,0.0,,,,0,
2014-12-03,0,,0.0,,,,0,
2014-12-04,3,,0.0,,,,7,
2014-12-05,3,,0.0,,,,7,
2014-12-06,4,,0.0,,,,6,
2014-12-07,2,,0.0,,,,2,
2014-12-08,4,,0.0,,,,6,
2014-12-09,4,,0.0,,,,5,
2014-12-10,2,,0.0,,,,1,
2014-12-11,0,,0.0,,,,0,
2014-12-12,2,,0.0,,,,1,
2014-12-13,0,,0.0,,,,0,
2014-12-14,0,,0.0,,,,0,
2014-12-15,2,,0.0,,,,1,
2014-12-16,6,,0.0,,,,8,
2014-12-17,18,,0.0,,,,26,
2014-12-18,2,,0.0,,,,1,
2014-12-19,11,,0.0,,,,10,
2014-12-20,6,,0.0,,,,5,
2014-12-21,7,,0.0,,,,12,
2014-12-22,6,,0.0,,,,7,
2014-12-23,0,,0.0,,,,0,
2014-12-24,2,,0.0,,,,1,
2014-12-25,0,,0.0,,,,0,
2014-12-26,0,,0.0,,,,0,
2014-12-27,0,,0.0,,,,0,
2014-12-28,0,,0.0,,,,0,
2014-12-29,0,,0.0,,,,0,
2014-12-30,0,,0.0,,,,0,
2014-12-31,0,,0.0,,,,0,
2015-01-01,0,,0.0,,,,0,
2015-01-02,0,,0.0,,,,0,
2015-01-03,0,,0.0,,,,0,
2015-01-04,0,,0.0,,,,0,
2015-01-05,3,,0.0,,,,2,
2015-01-06,4,,0.0,,,,7,
2015-01-07,3,,1500.0,,,,5,
2015-01-08,5,,0.0,,,,6,
2015-01-09,3,,250000.0,,,,3,
2015-01-10,0,,0.0,,,,0,
2015-01-11,0,,0.0,,,,0,
2015-01-12,3,,0.0,,,,2,
2015-01-13,0,,0.0,,,,0,
2015-01-14,0,,0.0,,,,0,
2015-01-15,0,,0.0,,,,0,
2015-01-16,5,,0.0,,,,3,
2015-01-17,4,,0.0,,,,5,
2015-01-18,0,,0.0,,,,0,
2015-01-19,2,,0.0,,,,4,
2015-01-20,5,,0.0,,,,13,
2015-01-21,7,,0.0,,,,6,
2015-01-22,17,,0.0,,,,16,
2015-01-23,19,,0.0,,,,30,
2015-01-24,2,,0.0,,,,1,
2015-01-25,2,,0.0,,,,1,
2015-01-26,5,,0.0,,,,3,
2015-01-27,8,,0.0,,,,8,
2015-01-28,5,,0.0,,,,7,
2015-01-29,7,,0.0,,,,9,
2015-01-30,6,,0.0,,,,3,
2015-01-31,3,,0.0,,,,2,
2015-02-01,0,,0.0,,,,0,
2015-02-02,2,,0.0,,,,1,
2015-02-03,4,,0.0,,,,4,
2015-02-04,6,,0.0,,,,6,
2015-02-05,13,,0.0,,,,12,
2015-02-06,15,,0.0,,,,20,
2015-02-07,0,,0.0,,,,0,
2015-02-08,2,,0.0,,,,1,
2015-02-09,4,,0.0,,,,3,
2015-02-10,5,,0.0,,,,3,
2015-02-11,3,,0.0,,,,2,
2015-02-12,5,,0.0,,,,4,
2015-02-13,0,,0.0,,,,0,
2015-02-14,2,,0.0,,,,2,
2015-02-15,0,,0.0,,,,0,
2015-02-16,0,,0.0,,,,0,
2015-02-17,4,,0.0,,,,2,
2015-02-18,17,,0.0,,,,28,
2015-02-19,6,,0.0,,,,6,
2015-02-20,5,,0.0,,,,3,
2015-02-21,4,,0.0,,,,6,
2015-02-22,3,,0.0,,,,3,
2015-02-23,4,,0.0,,,,3,
2015-02-24,10,,0.0,,,,10,
2015-02-25,5,6.0,0.0,304713.0,0.121,1.21,3,273.3269
2015-02-26,0,6.0,0.0,303364.0,,1.21,0,0.0
2015-02-27,7,5.4,0.0,273141.248079,4.16510488924,1.0890258,11,30.7351418083
2015-02-28,10,4.8,0.0,242918.496157,4.66102127143,0.9680516,10,1972.48644233
2015-03-01,0,4.2,0.0,212695.744236,,0.8470774,0,0.0
