Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-08-15,2.0,,,,,2.0,
2017-08-16,,,,,,,
2017-08-17,,,,,,,
2017-08-18,,,,,,,
2017-08-19,631.0,,,,,668.0,
2017-08-20,205.0,,,,,195.0,
2017-08-21,393.0,,,,,442.0,
2017-08-22,296.0,,,,,339.0,
2017-08-23,470.0,,,,,533.0,
2017-08-24,456.0,,,,,550.0,
2017-08-25,262.0,,,,,270.0,
2017-08-26,354.0,,,,,454.0,
2017-08-27,176.0,,,,,187.0,
2017-08-28,251.0,,,,,281.0,
2017-08-29,227.0,,,,,214.0,
2017-08-30,241.0,,,,,224.0,
2017-08-31,185.0,,,,,181.0,
2017-09-01,159.0,,,,,131.0,
2017-09-02,207.0,,,,,179.0,
2017-09-03,139.0,,,,,140.0,
2017-09-04,349.0,,,,,335.0,
2017-09-05,334.0,,,,,365.0,
2017-09-06,601.0,,,,,602.0,
2017-09-07,111.0,,,,,70.0,
2017-09-08,3199.0,,,,,3366.0,
2017-09-09,918.0,,,,,957.0,
2017-09-10,593.0,,,,,576.0,
2017-09-11,627.0,,,,,627.0,
2017-09-12,847.0,,,,,858.0,
2017-09-13,564.0,,,,,550.0,
2017-09-14,341.0,,,,,351.0,
2017-09-15,932.0,,,,,1027.0,
2017-09-16,912.0,,,,,1004.0,
2017-09-17,446.0,,,,,486.0,
2017-09-18,1131.0,,,,,1297.0,
2017-09-19,901.0,,,,,1033.0,
2017-09-20,412.0,,,,,413.0,
2017-09-21,1742.0,,,,,1852.0,
2017-09-22,278.0,,,,,278.0,
2017-09-23,194.0,,,,,231.0,
2017-09-24,185.0,,,,,215.0,
2017-09-25,145.0,,,,,157.0,
2017-09-26,1194.0,,,,,1200.0,
2017-09-27,117.0,,,,,128.0,
2017-09-28,215.0,,,,,250.0,
2017-09-29,189.0,,,,,213.0,
2017-09-30,182.0,,,,,227.0,
2017-10-01,120.0,,,,,146.0,
2017-10-02,359.0,,,,,468.0,
2017-10-03,547.0,,,,,762.0,
2017-10-04,373.0,,,,,446.0,
2017-10-05,247.0,,,,,310.0,
2017-10-06,191.0,,,,,212.0,
2017-10-07,196.0,,,,,215.0,
2017-10-08,177.0,,,,,208.0,
2017-10-09,244.0,,,,,315.0,
2017-10-10,187.0,,,,,239.0,
2017-10-11,140.0,,,,,168.0,
2017-10-12,203.0,,,,,275.0,
2017-10-13,112.0,,,,,130.0,
2017-10-14,99.0,,,,,105.0,
2017-10-15,115.0,,,,,103.0,
2017-10-16,102.0,,,,,107.0,
2017-10-17,108.0,,,,,116.0,
2017-10-18,300.0,,,,,388.0,
2017-10-19,287.0,,,,,397.0,
2017-10-20,201.0,,,,,266.0,
2017-10-21,108.0,,,,,137.0,
2017-10-22,119.0,,,,,151.0,
2017-10-23,133.0,,,,,168.0,
2017-10-24,172.0,,,,,195.0,
2017-10-25,219.0,,,,,249.0,
2017-10-26,168.0,,,,,198.0,
2017-10-27,142.0,,,,,183.0,
2017-10-28,124.0,,,,,142.0,
2017-10-29,130.0,,,,,143.0,
2017-10-30,153.0,,,,,194.0,
2017-10-31,124.0,,,,,139.0,
2017-11-01,182.0,,,,,238.0,
2017-11-02,181.0,,,,,231.0,
2017-11-03,137.0,,,,,141.0,
2017-11-04,118.0,,,,,149.0,
2017-11-05,128.0,,,,,148.0,
2017-11-06,874.0,,,,,740.0,
2017-11-07,427.0,,,,,383.0,
2017-11-08,359.0,,,,,368.0,
2017-11-09,497.0,,,,,457.0,
2017-11-10,203.0,,,,,208.0,
2017-11-11,160.0,,,,,181.0,
2017-11-12,206.0,,,,,215.0,
2017-11-13,133.0,,,,,143.0,
2017-11-14,191.0,,,,,153.0,
2017-11-15,253.0,,,,,219.0,
2017-11-16,565.0,,,,,523.0,
2017-11-17,283.0,,,,,276.0,
2017-11-18,212.0,,,,,178.0,
2017-11-19,182.0,,,,,165.0,
2017-11-20,1594.0,,,,,1593.0,
2017-11-21,245.0,,,,,246.0,
2017-11-22,255.0,,,,,246.0,
2017-11-23,233.0,,,,,259.0,
2017-11-24,242.0,,,,,225.0,
2017-11-25,419.0,,,,,425.0,
2017-11-26,311.0,,,,,257.0,
2017-11-27,349.0,,,,,318.0,
2017-11-28,469.0,,,,,479.0,
2017-11-29,392.0,,,,,367.0,
2017-11-30,259.0,,,,,293.0,
2017-12-01,397.0,,,,,439.0,
2017-12-02,491.0,,,,,546.0,
2017-12-03,631.0,,,,,685.0,
2017-12-04,659.0,,,,,654.0,
2017-12-05,650.0,,,,,586.0,
2017-12-06,524.0,,,,,488.0,
2017-12-07,526.0,,,,,577.0,
2017-12-08,405.0,,,,,418.0,
2017-12-09,1896.0,,,,,1924.0,
2017-12-10,1332.0,,,,,1322.0,
2017-12-11,436.0,,,,,448.0,
2017-12-12,423.0,,,,,473.0,
2017-12-13,380.0,,,,,419.0,
2017-12-14,475.0,,,,,553.0,
2017-12-15,844.0,,,,,994.0,
2017-12-16,590.0,,,,,665.0,
2017-12-17,851.0,,,,,1062.0,
2017-12-18,2086.0,,,,,2780.0,
2017-12-19,2333.0,,,,,2837.0,
2017-12-20,1602.0,,,,,1980.0,
2017-12-21,1391.0,,,,,1657.0,
2017-12-22,932.0,,,,,1055.0,
2017-12-23,828.0,,,,,927.0,
2017-12-24,707.0,,,,,799.0,
2017-12-25,630.0,,,,,678.0,
2017-12-26,703.0,,,,,835.0,
2017-12-27,1159.0,,,,,1563.0,
2017-12-28,1081.0,,,,,1379.0,
2017-12-29,1236.0,,,,,1545.0,
2017-12-30,1230.0,,,,,1513.0,
2017-12-31,1132.0,,,,,1298.0,
2018-01-01,851.0,,,,,1040.0,
2018-01-02,1247.0,,,,,1532.0,
2018-01-03,1804.0,,,,,2281.0,
2018-01-04,1847.0,,,,,2294.0,
2018-01-05,1790.0,,,,,1980.0,
2018-01-06,1999.0,,,,,2184.0,
2018-01-07,1999.0,,,,,2196.0,
2018-01-08,1512.0,,,,,1799.0,
2018-01-09,1743.0,,,,,1970.0,
2018-01-10,2197.0,,,,,2569.0,
2018-01-11,2581.0,,,,,2839.0,
2018-01-12,1963.0,,,,,2131.0,
2018-01-13,2161.0,,,,,2374.0,
2018-01-14,2069.0,,,,,2271.0,
2018-01-15,2043.0,,,,,2114.0,
2018-01-16,1850.0,,,,,1943.0,
2018-01-17,1951.0,,,,,2151.0,
2018-01-18,2047.0,,,,,2260.0,
2018-01-19,1902.0,,,,,2089.0,
2018-01-20,2499.0,,,,,2976.0,
2018-01-21,2217.0,,,,,2683.0,
2018-01-22,2781.0,,,,,3258.0,
2018-01-23,2662.0,,,,,2918.0,
2018-01-24,1780.0,,,,,2123.0,
2018-01-25,1699.0,,,,,1857.0,
2018-01-26,1707.0,,,,,1943.0,
2018-01-27,1523.0,,,,,1704.0,
2018-01-28,1848.0,,,,,1997.0,
2018-01-29,1475.0,,,,,1593.0,
2018-01-30,1604.0,,,,,1803.0,
2018-01-31,1591.0,,,,,1755.0,
2018-02-01,1437.0,,,,,1568.0,
2018-02-02,1499.0,,,,,1619.0,
2018-02-03,1190.0,,,,,1291.0,
2018-02-04,1012.0,,,,,1102.0,
2018-02-05,1429.0,,,,,1535.0,
2018-02-06,1602.0,,,,,1789.0,
2018-02-07,1240.0,,,,,1327.0,
2018-02-08,398.0,,,,,376.0,
2018-02-09,924.0,,,,,987.0,
2018-02-10,1826.0,,,,,2023.0,
2018-02-11,1425.0,,,,,1562.0,
2018-02-12,1061.0,,,,,1185.0,
2018-02-13,924.0,,,,,944.0,
2018-02-14,870.0,,,,,922.0,
2018-02-15,1166.0,,,,,1275.0,
2018-02-16,1030.0,,,,,1060.0,
2018-02-17,1029.0,,,,,1141.0,
2018-02-18,863.0,,,,,904.0,
2018-02-19,1154.0,,,,,1190.0,
2018-02-20,1647.0,,,,,1664.0,
2018-02-21,1015.0,,,,,1010.0,
2018-02-22,962.0,,,,,955.0,
2018-02-23,970.0,,,,,1016.0,
2018-02-24,937.0,,,,,972.0,
2018-02-25,1039.0,,,,,1117.0,
2018-02-26,1787.0,,,,,2000.0,
2018-02-27,1548.0,,,,,1698.0,
2018-02-28,1222.0,,,,,1309.0,
2018-03-01,1135.0,,,,,1222.0,
2018-03-02,1057.0,,,,,1145.0,
2018-03-03,1020.0,,,,,1051.0,
2018-03-04,847.0,,,,,867.0,
2018-03-05,847.0,,,,,825.0,
2018-03-06,1141.0,,,,,1313.0,
2018-03-07,1516.0,,,,,1816.0,
2018-03-08,1814.0,,,,,2175.0,
2018-03-09,1601.0,,,,,1760.0,
2018-03-10,1219.0,,,,,1397.0,
2018-03-11,1179.0,,,,,1364.0,
2018-03-12,1735.0,,,,,1916.0,
2018-03-13,1772.0,,,,,2127.0,
2018-03-14,1832.0,,,,,2142.0,
2018-03-15,1747.0,,,,,2093.0,
2018-03-16,1541.0,,,,,1851.0,
2018-03-17,1702.0,,,,,2051.0,
2018-03-18,2155.0,,,,,2719.0,
2018-03-19,5633.0,,,,,6913.0,
2018-03-20,1978.0,,,,,2483.0,
2018-03-21,1352.0,,,,,1391.0,
2018-03-22,803.0,,,,,864.0,
2018-03-23,869.0,,,,,904.0,
2018-03-24,604.0,,,,,617.0,
2018-03-25,569.0,,,,,564.0,
2018-03-26,603.0,,,,,574.0,
2018-03-27,542.0,,,,,527.0,
2018-03-28,590.0,,,,,605.0,
2018-03-29,727.0,,,,,737.0,
2018-03-30,720.0,,,,,776.0,
2018-03-31,486.0,,,,,466.0,
2018-04-01,451.0,,,,,487.0,
2018-04-02,1757.0,,,,,2086.0,
2018-04-03,959.0,,,,,1116.0,
2018-04-04,540.0,,,,,585.0,
2018-04-05,542.0,,,,,565.0,
2018-04-06,427.0,,,,,410.0,
2018-04-07,438.0,,,,,466.0,
2018-04-08,453.0,,,,,466.0,
2018-04-09,585.0,,,,,596.0,
2018-04-10,551.0,,,,,570.0,
2018-04-11,520.0,,,,,554.0,
2018-04-12,706.0,,,,,727.0,
2018-04-13,776.0,,,,,776.0,
2018-04-14,530.0,,,,,534.0,
2018-04-15,550.0,,,,,545.0,
2018-04-16,638.0,,,,,719.0,
2018-04-17,617.0,,,,,594.0,
2018-04-18,574.0,,,,,622.0,
2018-04-19,650.0,,,,,665.0,
2018-04-20,711.0,,,,,739.0,
2018-04-21,652.0,,,,,654.0,
2018-04-22,678.0,,,,,681.0,
2018-04-23,1189.0,,,,,1184.0,
2018-04-24,843.0,,,,,883.0,
2018-04-25,812.0,,,,,767.0,
2018-04-26,758.0,,,,,749.0,
2018-04-27,840.0,,,,,821.0,
2018-04-28,764.0,,,,,793.0,
2018-04-29,1093.0,,,,,1266.0,
2018-04-30,795.0,,,,,801.0,
2018-05-01,733.0,,,,,735.0,
2018-05-02,901.0,,,,,963.0,
2018-05-03,1049.0,,,,,1095.0,
2018-05-04,826.0,,,,,872.0,
2018-05-05,816.0,,,,,788.0,
2018-05-06,710.0,,,,,743.0,
2018-05-07,823.0,,,,,799.0,
2018-05-08,890.0,,,,,882.0,
2018-05-09,823.0,,,,,884.0,
2018-05-10,962.0,,,,,1073.0,
2018-05-11,793.0,,,,,801.0,
2018-05-12,588.0,,,,,649.0,
2018-05-13,597.0,,,,,578.0,
2018-05-14,713.0,,,,,761.0,
2018-05-15,839.0,,,,,1062.0,
2018-05-16,663.0,,,,,715.0,
2018-05-17,653.0,,,,,812.0,
2018-05-18,701.0,,,,,853.0,
2018-05-19,554.0,,,,,600.0,
2018-05-20,577.0,,,,,613.0,
2018-05-21,738.0,,,,,841.0,
2018-05-22,1196.0,,,,,1327.0,
2018-05-23,1218.0,,,,,1369.0,
2018-05-24,704.0,,,,,886.0,
2018-05-25,579.0,,,,,694.0,
2018-05-26,529.0,,,,,579.0,
2018-05-27,475.0,,,,,531.0,
2018-05-28,734.0,,,,,865.0,
2018-05-29,612.0,,,,,748.0,
2018-05-30,553.0,,,,,609.0,
2018-05-31,590.0,,,,,665.0,
2018-06-01,548.0,,,,,605.0,
2018-06-02,513.0,,,,,586.0,
2018-06-03,656.0,,,,,800.0,
2018-06-04,698.0,,,,,847.0,
2018-06-05,588.0,,,,,632.0,
2018-06-06,528.0,,,,,603.0,
2018-06-07,580.0,,,,,660.0,
2018-06-08,511.0,,,,,550.0,
2018-06-09,484.0,,,,,505.0,
2018-06-10,575.0,,,,,759.0,
2018-06-11,567.0,,,,,663.0,
2018-06-12,661.0,,,,,849.0,
2018-06-13,712.0,,,,,856.0,
2018-06-14,612.0,,,,,801.0,
2018-06-15,539.0,,,,,591.0,
2018-06-16,392.0,,,,,401.0,
2018-06-17,470.0,,,,,563.0,
2018-06-18,455.0,,,,,448.0,
2018-06-19,512.0,,,,,476.0,
2018-06-20,610.0,,,,,585.0,
2018-06-21,632.0,,,,,643.0,
2018-06-22,1023.0,,,,,986.0,
2018-06-23,809.0,,,,,812.0,
2018-06-24,910.0,,,,,1005.0,
2018-06-25,1174.0,,,,,1028.0,
2018-06-26,1288.0,,,,,1093.0,
2018-06-27,1243.0,,,,,1155.0,
2018-06-28,1395.0,,,,,1300.0,
2018-06-29,1580.0,,,,,1555.0,
