Date,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2014-01-10,2,,0.000244140625,2,372,,0.0,100.0,,,,,,0,
2014-01-11,5867,,0.00865176942051,9549,2235295,,0.117,477450.0,,0.0,,191.0,,1428,
2014-01-12,3611,,0.186774280632,2890,1335176,,0.811,144500.0,,0.0,,1739.0,,2279,
2014-01-13,2135,,0.611299740686,1112,743900,,1.031,55600.0,,0.001,,1569.0,,1637,
2014-01-14,2208,,1.03501732233,1145,873737,,3.44604701,57250.0,,0.001,,1400.0,,1456,
2014-01-15,2707,,1.4378016674,976,874694,,5.33900769,48800.0,,0.001,,1513.0,,1744,
2014-01-16,2048,,1.73282751056,708,625917,,2.007,35400.0,,0.001,,1310.0,,1307,
2014-01-17,915,,2.25693224371,387,284326,,1.31800002,19350.0,,0.001,,567.0,,617,
2014-01-18,1453,,2.25693224371,442,525851,,0.705,22100.0,,0.001,,925.0,,980,
2014-01-19,1949,,2.25693224371,761,679812,,2.966,38050.0,,0.001,,1599.0,,1621,
2014-01-20,3099,12463.3170764,2.12025101282,1193,1093603,14602.0,1.538,59650.0,69815.0109291,0.001,2.45446568245,2523.0,0.072872,2593,15829.1269064
2014-01-21,3133,32158.3224332,2.72480593993,1207,1172300,13404.0,12.4904763,60350.0,205297.080492,0.001,7.2738788212,2442.0,0.201994,2531,41400.2692845
2014-01-22,2809,54687.6573566,5.65278596723,758,965421,21147.0,2.4234844,37900.0,288217.603923,0.001,10.0880845374,2120.0,0.27664,2213,76288.3689501
2014-01-23,3571,59689.0038757,5.65717981933,1047,1225214,50128.0,2.86500001,52350.0,337641.580858,0.001,10.626564719,2822.0,0.304511,2891,75795.4540459
2014-01-24,4187,92612.4728184,7.95296754431,904,1290799,26869.0,5.31,45200.0,519589.561338,0.001,16.1917655108,3361.0,0.450251,3418,122943.683296
2014-01-25,4471,46740.8287863,7.95296754431,1042,1355635,19322.0,3.43725139,52100.0,473410.480558,0.001,13.103110276,3743.0,0.392546,3797,74214.5396678
2014-01-26,2570,32169.7805507,12.7429685531,532,825270,12561.0,1.26431204,26600.0,420954.659704,0.001,10.5813338243,1862.0,0.341476,1903,40842.3561501
2014-01-27,1905,45642.3295946,13.4449514596,353,675482,16763.0,10.926,17650.0,406508.429319,0.001,10.6875882467,1198.0,0.32509,1225,49421.4943836
2014-01-28,1756,35861.2875078,13.4449514596,382,616826,15008.0,0.91832416,19100.0,452754.728053,0.001,11.7022852192,1176.0,0.356668,1204,40838.3210946
