,activeaddresses,exchangevolume(usd),fees,marketcap(usd),medianfee,mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2016-06-02,,83734.0,,0.0,,,1.33,,
2016-06-03,,57721.0,,0.0,,,1.29,,
2016-06-04,,4912.0,,0.0,,,1.09,,
2016-06-05,,41700.0,,0.0,,,0.587588,,
2016-06-06,,95573.0,,0.0,,,0.712541,,
2016-06-07,,45932.0,,0.0,,,0.768551,,
2016-06-08,,56105.0,,0.0,,,0.836892,,
2016-06-09,,27163.0,,0.0,,,1.02,,
2016-06-10,,63162.0,,0.0,,,1.41,,
2016-06-11,,34845.0,,0.0,,,1.56,,
2016-06-12,,40759.0,,0.0,,,1.37,,
2016-06-13,,79492.0,,0.0,,,1.22,,
2016-06-14,,51762.0,,0.0,,,1.32,,
2016-06-15,,41509.0,,0.0,,,0.911755,,
2016-06-16,,43879.0,,0.0,,,0.956326,,
2016-06-17,,42058.0,,0.0,,,0.930645,,
2016-06-18,,173575.0,,0.0,,,0.898507,,
2016-06-19,,112349.0,,0.0,,,0.665885,,
2016-06-20,,1771960.0,,60424300.0,,,0.604243,,
2016-06-21,,626728.0,,28920900.0,,,0.289209,,
2016-06-22,,878411.0,,23025200.0,,,0.230252,,
2016-06-23,,530030.0,,19137900.0,,,0.191379,,
2016-06-24,,715427.0,,19998300.0,,,0.199983,,
2016-06-25,,412951.0,,19349800.0,,,0.193498,,
2016-06-26,,328673.0,,20478300.0,,,0.204783,,
2016-06-27,,169379.0,,17000700.0,,,0.170007,,
2016-06-28,,228770.0,,17410000.0,,,0.1741,,
2016-06-29,,234893.0,,14656800.0,,,0.146568,,
2016-06-30,,311148.0,,14323200.0,,,0.143232,,
2016-07-01,,233053.0,,13927400.0,,,0.139274,,
2016-07-02,,261410.0,,14497500.0,,,0.144975,,
2016-07-03,,334447.0,,18074600.0,,,0.180746,,
2016-07-04,,301807.0,,19283400.0,,,0.192834,,
2016-07-05,,225635.0,,22530900.0,,,0.225309,,
2016-07-06,,218669.0,,21995000.0,,,0.21995,,
2016-07-07,,268443.0,,22829200.0,,,0.228292,,
2016-07-08,,203189.0,,23318700.0,,,0.233187,,
2016-07-09,,106202.0,,19369100.0,,,0.193691,,
2016-07-10,,88774.0,,22455700.0,,,0.224557,,
2016-07-11,,88437.0,,21804800.0,,,0.218048,,
2016-07-12,,136972.0,,21689700.0,,,0.216897,,
2016-07-13,,103542.0,,19973600.0,,,0.199736,,
2016-07-14,,154375.0,,19320600.0,,,0.193206,,
2016-07-15,,115159.0,,19662500.0,,,0.196625,,
2016-07-16,,36851.0,,20508200.0,,,0.205082,,
2016-07-17,,60718.0,,19385900.0,,,0.193859,,
2016-07-18,,132592.0,,19713600.0,,,0.197136,,
2016-07-19,,168579.0,,22483500.0,,,0.224835,,
2016-07-20,,70378.0,,20923800.0,,,0.209238,,
2016-07-21,,93206.0,,21109500.0,,,0.211095,,
2016-07-22,,102240.0,,20632400.0,,,0.206324,,
2016-07-23,,48054.0,,19123200.0,,,0.191232,,
2016-07-24,,136512.0,,20141600.0,,,0.201416,,
2016-07-25,,115927.0,,20216000.0,,,0.20216,,
2016-07-26,,199906.0,,20203500.0,,,0.202035,,
2016-07-27,,211513.0,,17330600.0,,,0.173306,,
2016-07-28,,79472.0,,18216800.0,,,0.182168,,
2016-07-29,,52603.0,,17624200.0,,,0.176242,,
2016-07-30,,30568.0,,19174700.0,,,0.191747,,
2016-07-31,,66910.0,,18536600.0,,,0.185366,,
2016-08-01,,79352.0,,17216100.0,,,0.172161,,
2016-08-02,,197250.0,,16490500.0,,,0.164905,,
2016-08-03,,106321.0,,12752700.0,,,0.127527,,
2016-08-04,,78311.0,,14458300.0,,,0.144583,,
2016-08-05,,87961.0,,15663200.0,,,0.156632,,
2016-08-06,,52232.0,,16482000.0,,,0.16482,,
2016-08-07,,51728.0,,17275700.0,,,0.172757,,
2016-08-08,,85297.0,,16083500.0,,,0.160835,,
2016-08-09,,39850.0,,17726000.0,,,0.17726,,
2016-08-10,,115904.0,,17342900.0,,,0.173429,,
2016-08-11,,112529.0,,18904500.0,,,0.189045,,
2016-08-12,,148755.0,,18093200.0,,,0.180932,,
2016-08-13,,109816.0,,18293200.0,,,0.182932,,
2016-08-14,,115312.0,,17761500.0,,,0.177615,,
2016-08-15,,59199.0,,17343100.0,,,0.173431,,
2016-08-16,,66316.0,,17382300.0,,,0.173823,,
2016-08-17,,82779.0,,17459400.0,,,0.174594,,
2016-08-18,,54480.0,,17763600.0,,,0.177636,,
2016-08-19,,33598.0,,17531400.0,,,0.175314,,
2016-08-20,,23310.0,,17840200.0,,,0.178402,,
2016-08-21,,83163.0,,17899800.0,,,0.178998,,
2016-08-22,,67344.0,,17443800.0,,,0.174438,,
2016-08-23,,59064.0,,17845200.0,,,0.178452,,
2016-08-24,,45227.0,,17658000.0,,,0.17658,,
2016-08-25,,26812.0,,17033400.0,,,0.170334,,
2016-08-26,,30915.0,,16798000.0,,,0.16798,,
2016-08-27,,23586.0,,16953100.0,,,0.169531,,
2016-08-28,,35982.0,,16224900.0,,,0.162249,,
2016-08-29,,53334.0,,15185300.0,,,0.151853,,
2016-08-30,,44755.0,,15901700.0,,,0.159017,,
2016-08-31,,59938.0,,15848600.0,,,0.158486,,
2016-09-01,,48630.0,,16398400.0,,,0.163984,,
2016-09-02,,45929.0,,16111100.0,,,0.161111,,
2016-09-03,,54250.0,,17119100.0,,,0.171191,,
2016-09-04,,28552.0,,16534500.0,,,0.165345,,
2016-09-05,,26388.0,,16576600.0,,,0.165766,,
2016-09-06,,68491.0,,17032700.0,,,0.170327,,
2016-09-07,,58305.0,,16646400.0,,,0.166464,,
2016-09-08,,24373.0,,16003000.0,,,0.16003,,
2016-09-09,,33322.0,,16237700.0,,,0.162377,,
2016-09-10,,27087.0,,16681100.0,,,0.166811,,
2016-09-11,,37636.0,,16236200.0,,,0.162362,,
2016-09-12,,39086.0,,16084300.0,,,0.160843,,
2016-09-13,,29377.0,,17135000.0,,,0.17135,,
2016-09-14,,20792.0,,16899800.0,,,0.168998,,
2016-09-15,,43596.0,,17305400.0,,,0.173054,,
2016-09-16,,12703.0,,16559600.0,,,0.165596,,
2016-09-17,,89094.0,,16514200.0,,,0.165142,,
2016-09-18,,55809.0,,17917600.0,,,0.179176,,
2016-09-19,,42683.0,,18466200.0,,,0.184662,,
2016-09-20,,171638.0,,19137000.0,,,0.19137,,
2016-09-21,,127409.0,,21545200.0,,,0.215452,,
2016-09-22,,53944.0,,19953200.0,,,0.199532,,
2016-09-23,,38658.0,,19600000.0,,,0.196,,
2016-09-24,,68776.0,,18661800.0,,,0.186618,,
2016-09-25,,62099.0,,18147200.0,,,0.181472,,
2016-09-26,,36526.0,,17491900.0,,,0.174919,,
2016-09-27,,41339.0,,17345500.0,,,0.173455,,
2016-09-28,,25885.0,,17363800.0,,,0.173638,,
2016-09-29,,42652.0,,17311200.0,,,0.173112,,
2016-09-30,,143538.0,,17318400.0,,,0.173184,,
2016-10-01,,68996.0,,19672700.0,,,0.196727,,
2016-10-02,,27277.0,,18593000.0,,,0.18593,,
2016-10-03,,65785.0,,18745700.0,,,0.187457,,
2016-10-04,,110394.0,,19255300.0,,,0.192553,,
2016-10-05,,236077.0,,21102800.0,,,0.211028,,
2016-10-06,,115933.0,,21305400.0,,,0.213054,,
2016-10-07,,136663.0,,21098700.0,,,0.210987,,
2016-10-08,,50465.0,,20381700.0,,,0.203817,,
2016-10-09,,58742.0,,21253000.0,,,0.21253,,
2016-10-10,,27118.0,,21230700.0,,,0.212307,,
2016-10-11,,85220.0,,20994000.0,,,0.20994,,
2016-10-12,,30333.0,,20956700.0,,,0.209567,,
2016-10-13,,41826.0,,21285100.0,,,0.212851,,
2016-10-14,,76178.0,,20580800.0,,,0.205808,,
2016-10-15,,136396.0,,20968900.0,,,0.209689,,
2016-10-16,,236807.0,,22346300.0,,,0.223463,,
2016-10-17,,177063.0,,23530000.0,,,0.2353,,
2016-10-18,,146243.0,,24429800.0,,,0.244298,,
2016-10-19,,326732.0,,24558800.0,,,0.245588,,
2016-10-20,,75405.0,,24914900.0,,,0.249149,,
2016-10-21,,39153.0,,24055000.0,,,0.24055,,
2016-10-22,,211276.0,,24377300.0,,,0.243773,,
2016-10-23,,324055.0,,27536800.0,,,0.275368,,
2016-10-24,,517981.0,,31369400.0,,,0.313694,,
2016-10-25,,307680.0,,33827200.0,,,0.338272,,
2016-10-26,,515087.0,,35485000.0,,,0.35485,,
2016-10-27,,409265.0,,33353800.0,,,0.333538,,
2016-10-28,,206322.0,,32937700.0,,,0.329377,,
2016-10-29,,255905.0,,33797600.0,,,0.337976,,
2016-10-30,,249473.0,,34671600.0,,,0.346716,,
2016-10-31,,234987.0,,35108500.0,,,0.351085,,
2016-11-01,,129183.0,,32799400.0,,,0.327994,,
2016-11-02,,58897.0,,34587000.0,,,0.34587,,
2016-11-03,,212870.0,,35293200.0,,,0.352932,,
2016-11-04,,90495.0,,34633900.0,,,0.346339,,
2016-11-05,,65271.0,,34051900.0,,,0.340519,,
2016-11-06,,112262.0,,34985500.0,,,0.349855,,
2016-11-07,,102888.0,,36833200.0,,,0.368332,,
2016-11-08,,78647.0,,35172200.0,,,0.351722,,
2016-11-09,,208008.0,,34911100.0,,,0.349111,,
2016-11-10,,136051.0,,36902800.0,,,0.369028,,
2016-11-11,,87279.0,,37561200.0,,,0.375612,,
2016-11-12,,167249.0,,37622500.0,,,0.376225,,
2016-11-13,,125585.0,,40094600.0,,,0.400946,,
2016-11-14,,168500.0,,39031800.0,,,0.390318,,
2016-11-15,,236251.0,,38037600.0,,,0.380376,,
2016-11-16,,200041.0,,35775500.0,,,0.357755,,
2016-11-17,,164967.0,,33227400.0,,,0.332274,,
2016-11-18,,308090.0,,32468200.0,,,0.324682,,
2016-11-19,,164366.0,,29740400.0,,,0.297404,,
2016-11-20,,100018.0,,30757800.0,,,0.307578,,
2016-11-21,18.0,77955.0,0.027,27727600.0,0.001,351.091403635,0.277276,18.0,22151.4955127
2016-11-22,3.0,75607.0,0.007,28872600.0,0.001,0.000288726,0.288726,7.0,0.005485794
2016-11-23,,38300.0,,27887100.0,,,0.278871,,
2016-11-24,,140550.0,,27289200.0,,,0.272892,,
2016-11-25,,52721.0,,26130800.0,,,0.261308,,
2016-11-26,,102524.0,,23308700.0,,,0.233087,,
2016-11-27,,72829.0,,21718300.0,,,0.217183,,
2016-11-28,,94741.0,,25746800.0,,,0.257468,,
2016-11-29,,129518.0,,30946600.0,,,0.309466,,
2016-11-30,,69225.0,,25969400.0,,,0.259694,,
2016-12-01,,38650.0,,25279600.0,,,0.252796,,
2016-12-02,,53633.0,,24614400.0,,,0.246144,,
2016-12-03,,43557.0,,24622300.0,,,0.246223,,
2016-12-04,,51360.0,,24745300.0,,,0.247453,,
2016-12-05,,33659.0,,23570700.0,,,0.235707,,
2016-12-06,,38582.0,,23125200.0,,,0.231252,,
2016-12-07,,26844.0,,23252200.0,,,0.232522,,
2016-12-08,,23638.0,,24435200.0,,,0.244352,,
2016-12-09,,18126.0,,23641400.0,,,0.236414,,
2016-12-10,,9008.0,,23501000.0,,,0.23501,,
2016-12-11,2.0,20208.0,0.001,23295500.0,0.001,0.232955,0.232955,1.0,0.232955
2016-12-12,2.0,40733.0,0.001,22882700.0,0.001,0.008466599,0.228827,1.0,0.008466599
2016-12-13,2.0,18928.0,0.003,22883300.0,0.001,0.0228604167,0.228833,3.0,0.228146501
2016-12-14,,25330.0,,23361600.0,,,0.233616,,
2016-12-15,,15290.0,,22106200.0,,,0.221062,,
2016-12-16,,31752.0,,22117200.0,,,0.221172,,
2016-12-17,,18214.0,,24446600.0,,,0.244466,,
2016-12-18,,21916.0,,23988900.0,,,0.239889,,
2016-12-19,18.0,39801.0,0.026,22858500.0,0.001,0.2053836225,0.228585,26.0,6.330204405
