Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-07-21,4.0,,,,,3.0,
2017-07-22,,,,,,,
2017-07-23,,,,,,,
2017-07-24,18.0,,,,,10.0,
2017-07-25,14.0,,,,,15.0,
2017-07-26,63.0,,,,,68.0,
2017-07-27,94.0,,,,,113.0,
2017-07-28,76.0,,,,,91.0,
2017-07-29,27.0,,,,,49.0,
2017-07-30,,,,,,,
2017-07-31,,,,,,,
2017-08-01,25.0,,,,,20.0,
2017-08-02,22.0,,,,,19.0,
2017-08-03,151.0,,,,,164.0,
2017-08-04,18.0,,,,,19.0,
2017-08-05,9.0,,,,,6.0,
2017-08-06,8.0,,,,,5.0,
2017-08-07,25.0,,,,,28.0,
2017-08-08,17.0,,,,,48.0,
2017-08-09,17.0,,,,,20.0,
2017-08-10,7.0,,,,,6.0,
2017-08-11,11.0,,,,,9.0,
2017-08-12,6.0,,,,,4.0,
2017-08-13,15.0,,,,,17.0,
2017-08-14,22.0,,,,,23.0,
2017-08-15,12.0,,,,,22.0,
2017-08-16,19.0,,,,,17.0,
2017-08-17,21.0,,,,,18.0,
2017-08-18,10.0,,,,,7.0,
2017-08-19,24.0,,,,,19.0,
2017-08-20,17.0,,,,,15.0,
2017-08-21,37.0,,,,,36.0,
2017-08-22,33.0,,,,,41.0,
2017-08-23,33.0,,,,,31.0,
2017-08-24,521.0,,,,,369.0,
2017-08-25,613.0,,,,,513.0,
2017-08-26,472.0,,,,,359.0,
2017-08-27,431.0,10689000.0,0.0,1118.022333,1.06,340.0,3846887.40552
2017-08-28,189.0,2767610.0,0.0,980.78745,1.09,147.0,1701011.3278
2017-08-29,111.0,4040230.0,0.0,794.481293073,0.933622,98.0,517213.320045
2017-08-30,153.0,2348320.0,0.0,684.20036305,0.88867,140.0,460016.798018
2017-08-31,76.0,2638570.0,0.0,660.503455425,0.641001,68.0,308055.324886
2017-09-01,158.0,15663800.0,0.0,578.998325078,0.608858,151.0,413872.473038
2017-09-02,279.0,10974200.0,39179189.6417,1042.10305085,1.57,256.0,1919155.50958
2017-09-03,380.0,30155700.0,45356489.6296,786.3430575,1.82,398.0,1861557.39663
2017-09-04,407.0,16344800.0,73693030.4,1453.458198,2.96,460.0,29576810.4574
2017-09-05,265.0,16728900.0,45650220.562,36.616,1.84,601.0,1697393.24931
2017-09-06,265.0,8262150.0,29281001.9252,434.86658,1.18,315.0,1907081.05199
2017-09-07,177.0,8630600.0,25211847.25,185.2138,1.01,185.0,238052.420605
2017-09-08,448.0,15172300.0,39107109.3101,434.06575,1.57,560.0,2661762.11465
2017-09-09,310.0,4611730.0,32288598.4663,323.7,1.3,403.0,646456.964247
2017-09-10,312.0,6472840.0,40163448.2342,483.0,1.61,460.0,1708296.73349
2017-09-11,516.0,13896400.0,39606030.0,483.0515241,1.59,648.0,12879453.338
2017-09-12,708.0,20894100.0,52649831.3556,455.4922396,2.12,917.0,2452027.66372
2017-09-13,343.0,5015140.0,45426335.9691,586.60784,1.82,423.0,2386234.49839
2017-09-14,285.0,5627240.0,47457252.4359,387.6,1.9,340.0,674243.877844
2017-09-15,266.0,4709050.0,38579906.763,310.0,1.55,303.0,516214.671331
2017-09-16,204.0,2172600.0,43464519.3642,304.255,1.75,224.0,751594.28706
2017-09-17,153.0,1102610.0,43004930.2353,264.336907,1.73,174.0,507040.184333
2017-09-18,170.0,1501820.0,42115349.0166,347.349925,1.69,202.0,616677.316936
2017-09-19,205.0,2457140.0,45413958.3026,477.703226,1.82,256.0,681748.078062
2017-09-20,175.0,1736010.0,37721133.0233,295.42036,1.52,194.0,298504.891137
2017-09-21,183.0,1456350.0,31577269.9206,278.9161427,1.27,201.0,357053.820212
2017-09-22,119.0,1572810.0,32063681.5772,193.1775,1.29,135.0,136843.249268
2017-09-23,127.0,2115510.0,36931537.8757,257.17368,1.48,136.0,129433.163501
2017-09-24,127.0,1746370.0,44293781.5912,356.0,1.78,137.0,438596.676498
2017-09-25,193.0,2975160.0,44799812.1818,360.0,1.8,207.0,381965.470006
2017-09-26,351.0,10433800.0,54845374.4667,464.480412,2.2,353.0,839598.14973
2017-09-27,532.0,19088400.0,71297844.5915,461.38092,2.86,622.0,1822294.21787
2017-09-28,965.0,36777800.0,99815004.7568,432.24592,4.01,1065.0,9639977.28437
2017-09-29,580.0,23391200.0,154893832.318,622.0,6.22,622.0,4727674.13304
2017-09-30,415.0,21174400.0,136686694.483,594.29799,5.49,427.0,6260399.61798
2017-10-01,481.0,25880700.0,133788447.053,559.4230794,5.37,517.0,1992851.13383
2017-10-02,678.0,22049700.0,184512030.398,740.0367,7.41,768.0,4848020.61302
2017-10-03,483.0,17561700.0,205016433.371,823.0,8.23,495.0,2975128.04367
2017-10-04,448.0,17154400.0,196215094.652,906.2,7.88,427.0,2299148.41312
2017-10-05,321.0,8563830.0,184568162.829,736.9245,7.41,320.0,1312216.56736
