Date,activeaddresses,exchangevolume(usd),fees,marketcap(usd),medianfee,mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2015-03-29,1348,,382.0,,0.0,,,1371,
2015-03-30,2,,9.0,,9.0,,,1,
2015-03-31,312,,24319.286752,,6.0,,,533,
2015-04-01,421,65525.0,31835.690282,3604864.46281,6.0,0.4,0.0004,719,151901.457445
2015-04-02,257,28549.0,23423.028267,2176099.45223,10.0,2.42e-10,0.000242,1369,72930.3325174
2015-04-03,245,20678.0,67380.666269,2783449.07419,10.0,3.09e-10,0.000309,5945,34347.932092
2015-04-04,212,23550.0,52142.913658,2785266.06498,10.0,3.1e-10,0.00031,4555,30479.063047
2015-04-05,187,26800.0,73618.754782,2447282.48276,10.0,2.72e-10,0.000272,6673,43122.7310276
2015-04-06,205,22512.0,45846.435994,2085875.87543,10.0,2.32e-10,0.000232,3975,32179.2230263
2015-04-07,152,14437.0,82416.440551,2586848.26556,10.0,2.88e-10,0.000288,7741,31120.4602542
2015-04-08,177,6933.0,97923.23669,2203742.76316,10.0,2.45e-10,0.000245,9372,24228.546341
2015-04-09,134,10014.0,18737.571264,2053667.25,10.0,0.00228,0.000228,1961,8772.51658569
2015-04-10,161,16846.0,60601.545202,2012463.36,2.0,0.001792,0.000224,23680,17480.8240754
2015-04-11,133,22846.0,42899.94626,1578285.27607,2.0,0.0014,0.000175,11845,23658.745822
2015-04-12,106,5569.0,57469.537305,1471169.89726,2.0,0.001304,0.000163,23852,7015.13965592
2015-04-13,133,11803.0,149287.568054,1316306.58993,2.0,0.001168,0.000146,26883,11968.3615232
2015-04-14,148,14654.0,80038.608966,1254360.52941,2.0,0.001112,0.000139,29089,14184.6818416
2015-04-15,122,8196.0,49501.202844,1399869.52258,2.0,0.001248,0.000156,15755,11045.6914459
2015-04-16,108,5317.0,65892.258322,1399107.97546,2.0,0.00124,0.000155,9597,7704.10921579
2015-04-17,97,4556.0,51457.901307,1512208.23952,2.0,0.001344,0.000168,17148,7340.04543153
2015-04-18,112,9117.0,31304.997764,1502243.17021,2.0,0.001336,0.000167,5960,12027.3454541
2015-04-19,111,7193.0,43481.515713,1270035.91837,2.0,0.001128,0.000141,12612,9201.62098129
2015-04-20,112,6681.0,51329.301024,1319916.31579,2.0,0.001176,0.000147,16081,11351.7399436
2015-04-21,106,3912.0,44614.386702,1195427.29927,2.0,0.001064,0.000133,13488,6391.4188904
2015-04-22,79,2353.0,24345.965281,1236216.52174,2.0,0.001096,0.000137,4586,7884.18346879
2015-04-23,99,2117.0,36118.60195,1245599.08029,2.0,0.001104,0.000138,8635,7845.87747884
2015-04-24,79,3058.0,19824.935988,1228931.1,10.0,0.00137,0.000137,2146,17442.0616674
2015-04-25,82,2480.0,18521.272197,1344994.26429,10.0,0.00149,0.000149,1534,8424.51165724
2015-04-26,62,2074.0,19341.907226,1260047.01493,10.0,0.0014,0.00014,1514,7153.70823152
2015-04-27,173,6660.0,27952.527184,1204239.09202,2.0,0.001072,0.000134,4897,10221.1537035
2015-04-28,70,3358.0,30735.801465,1438018.79195,2.0,0.00128,0.00016,8180,12300.6316232
2015-04-29,75,2013.0,15198.641932,1342860.97959,10.0,0.00149,0.000149,1783,9778.10904425
2015-04-30,36,959.0,31681.386858,1324146.03822,2.0,0.001176,0.000147,10926,1113.50273371
2015-05-01,37,692.0,16103.325719,1409041.78846,10.0,0.00157,0.000157,1474,2628.63572373
2015-05-02,34,1543.0,15447.883896,1377906.15484,10.0,0.00153,0.000153,1468,1152.87762368
2015-05-03,49,4417.0,17059.201942,1394700.40268,10.0,0.00155,0.000155,1495,3608.13217818
2015-05-04,39,2595.0,17191.159173,1338815.3245,10.0,0.00149,0.000149,1495,4507.96387493
2015-05-05,47,3974.0,31755.993137,1359433.7234,4.0,0.001208,0.000151,5546,3622.6703517
2015-05-06,36,1125.0,15785.636344,1264678.3007,10.0,0.00141,0.000141,1486,2610.98877657
2015-05-07,55,2475.0,16253.613231,1281793.03846,10.0,0.00142,0.000142,1579,6443.3564012
2015-05-08,58,1043.0,15911.782755,1406309.80645,10.0,0.00156,0.000156,1501,6150.97636624
2015-05-09,36,623.0,15143.712372,1394869.8,10.0,0.00155,0.000155,1468,3985.73230196
2015-05-10,36,1774.0,27300.048408,1353620.86093,2.0,0.0012,0.00015,7142,5836.8097942
2015-05-11,38,3367.0,15945.953815,1358833.4129,10.0,0.00151,0.000151,2056,4161.26635796
2015-05-12,54,4765.0,17010.736102,1392404.45455,10.0,0.00155,0.000155,1496,4526.50390797
2015-05-13,43,4187.0,16837.888004,1482468.96226,10.0,0.00165,0.000165,1495,4655.36643324
2015-05-14,53,1647.0,16479.544478,1430812.18125,10.0,0.00159,0.000159,1416,2786.97121895
2015-05-15,29,1260.0,8395.453318,1438270.2439,10.0,0.0016,0.00016,775,581.825308332
2015-05-16,61,4958.0,18541.813576,1471751.76923,10.0,0.00164,0.000164,1515,10450.5510443
2015-05-17,28,1049.0,11319.169529,1392140.25,10.0,0.00155,0.000155,1020,1083.07633804
2015-05-18,44,12653.0,16537.614775,1437997.63314,10.0,0.0016,0.00016,1341,5780.04580622
2015-05-19,79,9163.0,21366.134724,1489867.47368,10.0,0.00166,0.000166,1551,18791.5003758
2015-05-20,48,8928.0,19588.920028,1536789.92442,10.0,0.00171,0.000171,1492,12379.1855281
2015-05-21,73,7586.0,18782.280401,1549953.0,10.0,0.00172,0.000172,1519,11781.5693714
2015-05-22,58,4136.0,13990.42309,1552267.9322,10.0,0.00172,0.000172,1228,6968.29547876
2015-05-23,52,4560.0,13020.943241,1593450.0,10.0,0.00177,0.000177,992,7896.80412154
2015-05-24,46,5675.0,15210.555611,1593638.95055,10.0,0.00177,0.000177,1156,22278.6929815
2015-05-25,57,6871.0,17596.188115,1635589.01124,10.0,0.00182,0.000182,1482,9685.5258993
2015-05-26,42,3845.0,16713.596004,1601028.29508,10.0,0.00178,0.000178,1474,3552.95994056
2015-05-27,57,8659.0,18420.394968,1650937.75127,10.0,0.00183,0.000183,1507,12745.1587819
2015-05-28,66,7217.0,15560.900657,1754256.81122,10.0,0.00195,0.000195,1193,11046.8072669
2015-05-29,65,7999.0,19429.412991,1767788.2623,10.0,0.00196,0.000196,1409,8736.52945248
2015-05-30,64,7228.0,11116.213866,1650659.01081,10.0,0.00183,0.000183,861,5696.56063789
2015-05-31,33,4684.0,16185.960802,1662140.33898,10.0,0.00185,0.000185,1353,7140.16666975
2015-06-01,26,3525.0,14453.273995,1594077.61765,10.0,0.00177,0.000177,1387,510.810250356
2015-06-02,30,5642.0,16767.234563,1532681.79775,10.0,0.0017,0.00017,1474,3236.19048572
2015-06-03,39,1820.0,16082.727355,1604190.30508,10.0,0.00178,0.000178,1484,8783.50045283
2015-06-04,25,2220.0,16398.258281,1592462.82558,10.0,0.00177,0.000177,1472,2823.24848098
2015-06-05,27,4105.0,15626.607398,1548043.24022,10.0,0.00172,0.000172,1462,2196.88025871
2015-06-06,38,3364.0,16245.379246,1610156.59412,10.0,0.00179,0.000179,1490,4129.3036805
2015-06-07,33,3360.0,17045.028629,1527331.60714,10.0,0.0017,0.00017,1485,3576.26359757
2015-06-08,22,3110.0,12914.977757,1516235.36842,10.0,0.00168,0.000168,1219,1056.28255824
2015-06-09,52,8723.0,12340.187717,1533800.67568,10.0,0.00171,0.000171,912,9606.55331899
2015-06-10,45,4577.0,16822.332763,1343068.47059,10.0,0.00149,0.000149,1516,1536.77872778
2015-06-11,108,4653.0,17801.144604,1378144.39865,10.0,0.00153,0.000153,1612,1864.83792111
2015-06-12,36,3589.0,15974.65612,1332378.0,10.0,0.00148,0.000148,1412,4150.6737289
2015-06-13,44,2980.0,16735.631597,1335643.66452,10.0,0.00148,0.000148,1407,6413.94548271
2015-06-14,31,2903.0,11139.287141,1397268.0,10.0,0.00155,0.000155,968,2641.24329268
2015-06-15,43,9550.0,17810.017632,1399393.77551,10.0,0.00155,0.000155,1494,6758.49575303
2015-06-16,38,6374.0,15509.80994,1326572.1,10.0,0.00147,0.000147,1416,7876.51584639
2015-06-17,40,8668.0,16678.259669,1443564.0,10.0,0.0016,0.00016,1453,3154.50761559
2015-06-18,16,3683.0,15041.811541,1443951.62791,10.0,0.0016,0.00016,1435,1075.71791377
2015-06-19,29,6743.0,15527.660438,1555834.76129,10.0,0.00173,0.000173,1425,4866.22692049
2015-06-20,28,1488.0,11233.44289,1394638.00633,10.0,0.00155,0.000155,529,887.184807556
2015-06-21,29,616.0,16146.466674,1421258.08696,30.0,0.00158,0.000158,514,1830.67608365
2015-06-22,25,4900.0,15344.331841,1451740.09615,31.0,0.00161,0.000161,503,1075.82874532
2015-06-23,20,2518.0,13574.496485,1401991.74684,31.0,0.00156,0.000156,430,1881.78606619
2015-06-24,26,1656.0,9339.630814,1423121.19231,30.0,0.00158,0.000158,292,5501.93984846
2015-06-25,47,2791.0,14035.949168,1408284.93506,27.0,0.00156,0.000156,487,8380.35799964
2015-06-26,31,3547.0,13115.673886,1389802.13514,28.0,0.00154,0.000154,394,6659.05330999
2015-06-27,26,4043.0,17094.507999,1329005.12102,30.5,0.00148,0.000148,510,3816.421864
2015-06-28,26,1838.0,16150.613706,1412693.23026,30.0,0.00157,0.000157,512,1746.31980217
2015-06-29,29,2007.0,14948.657866,1364124.0,29.5,0.00152,0.000152,494,1086.82129644
2015-06-30,15,5197.0,13890.232821,1352943.1677,30.0,0.0015,0.00015,443,976.64005278
2015-07-01,27,2224.0,16722.801842,1460104.85915,30.0,0.00162,0.000162,509,1945.12737848
2015-07-02,33,1323.0,15890.292235,1281413.95804,29.0,0.00142,0.000142,512,5211.19452269
2015-07-03,14,3873.0,15533.848012,1291356.0,31.0,0.00143,0.000143,487,2733.71828335
2015-07-04,14,1575.0,16266.085333,1296680.17021,29.0,0.00144,0.000144,513,1818.4356674
2015-07-05,27,3717.0,16925.957132,1266668.5814,28.5,0.00141,0.000141,526,3587.1055407
2015-07-06,15,521.0,15740.946132,1151552.0,30.0,0.00128,0.000128,500,1748.41933575
2015-07-07,18,3977.0,13163.24,1137354.08451,29.0,0.00126,0.000126,413,6111.38270319
2015-07-08,21,2407.0,11292.352789,1275475.75155,32.0,0.00142,0.000142,335,2346.71263294
2015-07-09,19,1678.0,13324.152529,1449935.8125,29.0,0.00161,0.000161,439,1026.91968297
2015-07-10,22,3166.0,14881.462584,1294912.75168,29.0,0.00144,0.000144,481,1272.14192117
2015-07-11,93,5422.0,17106.447224,1308631.30435,26.0,0.00145,0.000145,573,2627.53814636
2015-07-12,26,3108.0,16613.845403,1453300.8535,29.0,0.00161,0.000161,513,3251.2817344
2015-07-13,22,3229.0,15016.55194,1413738.0,30.0,0.00157,0.000157,502,4639.38651535
2015-07-14,19,970.0,14130.815493,1410200.82911,29.0,0.00157,0.000157,469,1272.30811863
2015-07-15,15,746.0,14855.845709,1422912.77027,30.0,0.00158,0.000158,482,438.208009035
2015-07-16,12,1869.0,14966.552072,1333585.26761,30.0,0.00148,0.000148,490,1186.59261915
2015-07-17,15,191.0,15422.036922,1275118.06711,29.0,0.00142,0.000142,494,589.653108836
