,activeaddresses,exchangevolume(usd),fees,marketcap(usd),price(usd),txcount,txvolume(usd)
2014-08-05,,30316.0,,936316.681967,0.002976,,
2014-08-06,,35820.0,,863077.158449,0.002373,,
2014-08-07,,142864.0,,1158973.02199,0.002686,,
2014-08-08,,93708.0,,1090403.24089,0.002493,,
2014-08-09,,233579.0,,1363031.75524,0.002884,,
2014-08-10,,352737.0,,1800928.18127,0.003497,,
2014-08-11,,479942.0,,2891385.48705,0.004566,,
2014-08-12,,345441.0,,3069167.44641,0.003592,,
2014-08-13,,256302.0,,2445518.87559,0.002619,,
2014-08-14,,169177.0,,2706109.39488,0.002763,,
2014-08-15,,135243.0,,2596557.07699,0.002566,,
2014-08-16,,116834.0,,2467401.67564,0.002401,,
2014-08-17,,61889.0,,2598081.23021,0.002507,,
2014-08-18,,104237.0,,2436286.49877,0.002336,,
2014-08-19,,66941.0,,2115252.32914,0.002028,,
2014-08-20,,96584.0,,2318500.82812,0.002223,,
2014-08-21,,76029.0,,2595462.86192,0.002488,,
2014-08-22,,50589.0,,2495118.0535,0.002392,,
2014-08-23,,43776.0,,2459989.56102,0.002358,,
2014-08-24,,37470.0,,2333663.05511,0.002237,,
2014-08-25,,38512.0,,2332284.91851,0.002236,,
2014-08-26,,99823.0,,2316314.95853,0.002221,,
2014-08-27,,60132.0,,2379373.01716,0.002281,,
2014-08-28,,90044.0,,2368397.21101,0.00227,,
2014-08-29,,43049.0,,2277735.18589,0.002184,,
2014-08-30,,39116.0,,2314044.95763,0.002218,,
2014-08-31,,22844.0,,2283992.54731,0.00219,,
2014-09-01,,27975.0,,2149765.52687,0.002061,,
2014-09-02,,23793.0,,2095005.96698,0.002008,,
2014-09-03,,36081.0,,2228280.41671,0.001998,,
2014-09-04,,58031.0,,2306456.03333,0.002059,,
2014-09-05,,26119.0,,2396117.00288,0.00213,,
2014-09-06,,31676.0,,2353748.52283,0.002082,,
2014-09-07,,34744.0,,2340130.77299,0.00206,,
2014-09-08,,105569.0,,2331906.09659,0.002042,,
2014-09-09,,51289.0,,2600046.3292,0.002265,,
2014-09-10,,59878.0,,2516076.37796,0.002179,,
2014-09-11,,113300.0,,2605071.35386,0.002244,,
2014-09-12,,117052.0,,2918445.08086,0.0025,,
2014-09-13,,111452.0,,3560039.36134,0.003032,,
2014-09-14,,113315.0,,3656459.10703,0.003096,,
2014-09-15,,72903.0,,3415101.95304,0.002874,,
2014-09-16,,86555.0,,3618751.44849,0.003031,,
2014-09-17,,118073.0,,3586169.00391,0.002988,,
2014-09-18,,205474.0,,3703698.98438,0.003081,,
2014-09-19,,204649.0,,4184919.14773,0.00346,,
2014-09-20,,186971.0,,4769227.8804,0.003936,,
2014-09-21,,145626.0,,4409412.82333,0.00361,,
2014-09-22,,178810.0,,4241942.02685,0.003466,,
2014-09-23,,120447.0,,4910526.45448,0.004007,,
2014-09-24,,163121.0,,4909514.45861,0.003966,,
2014-09-25,,81902.0,,4851767.57584,0.003878,,
2014-09-26,,117908.0,,4528665.44262,0.0036,,
2014-09-27,,44492.0,,3852203.92277,0.003044,,
2014-09-28,,77804.0,,4156602.98614,0.003262,,
2014-09-29,,32858.0,,4058980.70672,0.00317,,
2014-09-30,,21131.0,,4156295.60137,0.003227,,
2014-10-01,,70180.0,,4177007.33924,0.003221,,
2014-10-02,,30542.0,,3772321.63866,0.002888,,
2014-10-03,,34169.0,,3617966.37947,0.002743,,
2014-10-04,,45969.0,,3448029.87431,0.002604,,
2014-10-05,,29396.0,,3232570.17972,0.002441,,
2014-10-06,,34446.0,,3156967.08003,0.002384,,
2014-10-07,,35420.0,,3429085.55946,0.002578,,
2014-10-08,,28232.0,,3242592.87848,0.00242,,
2014-10-09,,11066.0,,3345661.5458,0.002475,,
2014-10-10,,14307.0,,3213184.02079,0.002356,,
2014-10-11,,34909.0,,3174897.05137,0.002308,,
2014-10-12,,76978.0,,3233047.48194,0.002338,,
2014-10-13,,44927.0,,3113176.16355,0.00224,,
2014-10-14,,32533.0,,3228302.03997,0.002309,,
2014-10-15,,46516.0,,3307237.64489,0.002352,,
2014-10-16,,39044.0,,3073890.27981,0.002173,,
2014-10-17,,22242.0,,2959906.90054,0.002081,,
2014-10-18,,27435.0,,2889827.86595,0.002022,,
2014-10-19,,18945.0,,2957186.28374,0.002058,,
2014-10-20,,38282.0,,2919128.20415,0.002021,,
2014-10-21,,26101.0,,2931589.37391,0.002022,,
2014-10-22,,19376.0,,3011277.28319,0.002062,,
