Date,activeaddresses,averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,paymentcount,price(usd),txcount
2014-04-18,42,56163.1423729,885,332259,,4.458444e-06,15562.5089059,,1e-06,24,,4
2014-04-19,376,69769.4033923,1356,641393,,1.4336883e-05,23801.3951725,,1e-06,63,,11
2014-04-20,221,84092.5301645,1641,659774,,4.18468e-06,28784.4066141,,1.031781e-06,31,,4
2014-04-21,459,117482.115314,1639,636743,,3.1e-05,28704.210263,,1e-06,161,,30
2014-04-22,1421,238052.536054,1470,679633,,6.5767774e-05,25691.3900291,,1.0629755e-06,296,,52
2014-04-23,2854,255662.599072,1509,854872,,4.0771005e-05,26319.9130692,,1e-06,161,,31
2014-04-24,630,273815.853979,1445,600547,,1.6241643e-05,25198.1871295,,1.1127085e-06,84,,12
2014-04-25,5959,302515.096618,1449,1928254,,9.2618908e-05,24884.4868379,,1e-06,515,,79
2014-04-26,3449,332938.176623,1540,920395,,2.9074567e-05,26758.3248003,,1.423198e-06,134,,21
2014-04-27,6954,424868.539465,1533,1849742,,7.4111529e-05,26382.7361275,,1e-06,401,,61
2014-04-28,14029,521936.945139,1440,4212750,,0.000216570374,24336.6838258,,1e-06,1146,,184
2014-04-29,3432,631001.997372,1522,1862334,,6.6502016e-05,26118.1745457,,1e-06,415,,62
2014-04-30,2282,603804.636492,1414,814140,,4.4881118e-05,24407.160069,,1e-06,277,,39
2014-05-01,3658,653168.906574,1445,926068,,4.1641844e-05,24914.672919,,1.179078e-06,186,,31
2014-05-02,8244,685280.300597,1507,1451275,,7.2584789e-05,25829.4261746,,1.0392415e-06,396,,58
2014-05-03,5732,984977.912214,1572,1227309,,6.3421411e-05,26972.8569803,,1e-06,318,,50
2014-05-04,10728,1232411.89247,1581,3363456,,0.000145804741,26604.3648314,,1e-06,812,,124
2014-05-05,11502,2129424.23569,1625,2236580,,0.000120088801,27695.3819505,,1.108276e-06,630,,93
2014-05-06,17653,3528827.63788,1737,3986191,,0.000215076687,29218.9546337,,1e-06,1208,,181
2014-05-07,7443,7793570.86085,1272,1530329,,6.6404248e-05,21600.9221066,,1.1286455e-06,362,,52
2014-05-08,2705,5896073.68585,1477,918663,,3.4487867e-05,25209.1352227,,1.006106e-06,175,,27
2014-05-09,17875,7012152.68088,1548,2555204,,0.000250752187,25923.6843732,,1.331354e-06,1184,,182
2014-05-10,11517,8317205.65847,1505,2068910,,0.000197527155,25377.057812,,1.344174e-06,965,,144
2014-05-11,15635,10448040.6749,1458,2728369,,0.000185351031,24454.0394319,,1.310285e-06,867,,134
2014-05-12,46312,10550651.5975,1436,5515018,,0.000379837223,23880.5763741,,1.280109e-06,1747,,281
2014-05-13,12263,11670863.082,1573,2520551,,0.000169998825,26342.7693006,,1e-06,915,,137
2014-05-14,7827,17186615.6756,1495,1642226,,0.000136227647,25184.1022096,,1.171653e-06,711,,104
2014-05-15,12614,16816771.9867,1431,2524727,,0.000151437244,23833.9730096,,1.042706e-06,777,,121
2014-05-16,13441,23279618.1983,1664,2329739,,0.000146496221,27769.1173868,,1.026486e-06,828,,117
2014-05-17,13480,36316493.7263,1520,3415261,,0.000579485114,25057.2646576,,1e-06,2739,,225
2014-05-18,13030,41926663.1115,1399,1558154,,0.0003021997,23455.7536221,,1.268066e-06,5313,,114
2014-05-19,46147,45051814.1228,1547,6339589,,0.000646562581,25285.8793307,,1.2340925e-06,10364,,488
2014-05-20,42314,78873633.7189,1672,4557540,,0.000714106807,27634.2920977,,1.2554115e-06,20265,,460
2014-05-21,48255,104812428.629,1430,4089846,246540.0,0.000468826264,23625.7903198,2134331.63125,1.289769e-06,30693,2.47,347
2014-05-22,101585,97759566.8894,1401,6838373,132918.0,0.000657220138,22666.1091519,1404960.34286,1.330447e-06,77897,1.59,477
2014-05-23,118412,99181359.6247,1447,8499038,266852.0,0.000911483436,23167.7956052,1864516.55405,1.333303e-06,78276,2.05,661
2014-05-24,167516,130468591.315,1599,12588343,248028.0,0.002842246267,24975.8373414,2727957.12432,1.2798e-06,117383,2.92,1026
2014-05-25,162895,145871208.534,1362,13957477,283545.0,0.002369143303,20133.313716,3851302.40764,1.1727075e-06,102566,4.04,1486
2014-05-26,273991,140766538.174,1490,17545340,220148.0,0.014979522317,21236.7283498,3141241.1457,1e-06,203749,3.22,1985
2014-05-27,246233,164342431.021,1511,18136422,97603.0,3.04746212718,21302.6208872,3016037.32127,1.1720355e-06,149162,3.03,2084
2014-05-28,117810,209742783.114,1531,8688239,177716.0,4.99131557173,24305.3341399,2284719.0837,0.005151329006,70700,2.24,1341
2014-05-29,112694,210795340.141,1290,8238290,109157.0,6.11866208503,20042.8486729,2292417.21429,0.005000172716,65294,2.21,1862
2014-05-30,96809,162978948.527,1430,7552070,119296.0,5.73523327804,23352.4411997,1784401.83439,0.005068195348,59201,1.68,1396
2014-05-31,103182,185088636.47,1607,7823659,117399.0,5.12380070104,26268.4725099,1721373.35052,0.00546,54882,1.58,1071
2014-06-01,102051,261133131.137,1439,7900506,130602.0,5.49229620917,23103.3780211,2156810.6092,0.005473742726,62008,1.94,1150
2014-06-02,95086,226714411.824,1387,6227820,47672.0,8.26006948906,22811.0128622,1998471.86127,0.00564,63189,1.76,1493
2014-06-03,124655,234513962.49,1432,9741537,91332.0,11.752766976,23083.0253993,2006426.21244,0.00567,73704,1.73,2084
2014-06-04,140202,228184448.288,1519,10268772,51886.0,13.0910605947,24583.6422659,2278234.9116,0.0057211551095,89488,1.93,2256
2014-06-05,197591,248133262.089,1366,12405702,49319.6666667,14.3678023443,21992.6395304,2036325.72538,0.00565,133997,1.7,2582
2014-06-06,251639,246171894.813,1429,15496464,46753.3333333,16.7579042011,22828.0838587,1794416.53916,0.0056607176945,172909,1.47,3056
2014-06-07,212294,221904132.333,1413,12953851,44187.0,12.4380620699,22557.924894,1552507.35294,0.005728560324,153474,1.24,2156
2014-06-08,230961,228051232.656,1431,13585434,40634.0,13.6288046815,22983.8943081,1727213.19403,0.0056775378445,168058,1.36,2434
2014-06-09,284362,215808429.351,1434,16822499,56500.0,14.5268217814,22759.2689002,1729629.125,0.0057,202384,1.33,2661
